,posicion,juego,dinero,jugadores,torneos,fecha
1098,7.0,Hearthstone,47060.65,63,17,2015-02-01
1099,8.0,Super Smash Bros. Melee,36593.31,107,34,2015-02-01
1100,9.0,Heroes of Newerth,32844.94,67,5,2015-02-01
1101,10.0,Super Smash Bros. for Wii U,27136.21,69,19,2015-02-01
1102,11.0,Halo 2 Anniversary,21385.0,16,2,2015-02-01
1103,12.0,Heroes of the Storm,16649.66,77,18,2015-02-01
1104,13.0,Ultra Street Fighter IV,9480.4,20,8,2015-02-01
1105,14.0,Point Blank,6451.62,5,1,2015-02-01
1106,15.0,Attack on Titan Tribute Game,6000.0,4,1,2015-02-01
1107,16.0,Guild Wars 2,4268.07,10,8,2015-02-01
1108,17.0,Project M,3701.94,12,2,2015-02-01
1109,18.0,Guilty Gear Xrd -SIGN-,3594.53,11,3,2015-02-01
1110,19.0,Age of Empires,3015.0,12,3,2015-02-01
1111,20.0,Age of Empires II,3000.0,8,1,2015-02-01
1112,21.0,Super Smash Bros.,2609.0,18,3,2015-02-01
1113,22.0,Ultimate Marvel vs. Capcom 3,2600.0,11,3,2015-02-01
1114,23.0,FIFA 15,2583.37,31,28,2015-02-01
1115,24.0,Tekken Tag Tournament 2,2500.0,4,2,2015-02-01
1116,25.0,Chess.com,2499.99,10,1,2015-02-01
1117,26.0,Super Smash Bros. Brawl,2370.0,15,2,2015-02-01
1118,27.0,CrossFire,2173.58,26,5,2015-02-01
1119,28.0,Quake Live,1117.08,16,3,2015-02-01
1120,29.0,Killer Instinct (2013),1080.0,6,2,2015-02-01
1121,30.0,Battlefield 4,1027.4,15,5,2015-02-01
1122,31.0,Dead or Alive 5: Last Round,820.0,3,1,2015-02-01
1123,32.0,Injustice: Gods Among Us,550.0,3,1,2015-02-01
1124,33.0,Soul Calibur V,500.0,3,1,2015-02-01
1125,34.0,BlazBlue: Chronophantasma,485.58,6,2,2015-02-01
1126,35.0,NHL 15,391.9,3,1,2015-02-01
1127,36.0,S.K.I.L.L. - Special Force 2,337.2,10,1,2015-02-01
1128,37.0,Under Night In-Birth EXE: Late,240.0,3,1,2015-02-01
1129,38.0,Street Fighter III: 3rd Strike,239.0,3,1,2015-02-01
1130,39.0,Persona 4 Arena Ultimax,210.0,3,1,2015-02-01
1131,40.0,King of Fighters XIII,190.0,3,1,2015-02-01
1132,41.0,Mortal Kombat 9,190.0,3,1,2015-02-01
1133,1.0,Call of Duty: Advanced Warfare,1048225.17,156,37,2015-03-01
1134,2.0,Counter-Strike: Global Offensive,444870.73,376,40,2015-03-01
1135,3.0,League of Legends,437666.18,356,32,2015-03-01
1136,4.0,World of Tanks,352537.35,65,3,2015-03-01
1137,5.0,StarCraft II,302139.48,142,65,2015-03-01
1138,6.0,Heroes of Newerth,219114.67,79,6,2015-03-01
1139,7.0,Hearthstone,183585.26,107,27,2015-03-01
1140,8.0,Dota 2,143801.15,153,14,2015-03-01
1141,9.0,Age of Empires II,120000.0,172,2,2015-03-01
1142,10.0,Halo 2 Anniversary,100000.0,32,1,2015-03-01
1143,11.0,Guild Wars 2,54712.23,21,11,2015-03-01
1144,12.0,Heroes of the Storm,44523.46,110,27,2015-03-01
1145,13.0,Ultra Street Fighter IV,37883.36,46,11,2015-03-01
1146,14.0,StarCraft: Brood War,37756.8,6,3,2015-03-01
1147,15.0,Super Smash Bros. Melee,16539.99,107,36,2015-03-01
1148,16.0,FIFA 15,10292.74,32,39,2015-03-01
1149,17.0,Battlefield 4,7594.2,21,7,2015-03-01
1150,18.0,Attack on Titan Tribute Game,6000.0,4,1,2015-03-01
1151,19.0,Super Smash Bros. for Wii U,5824.71,61,16,2015-03-01
1152,20.0,Point Blank,5527.83,14,1,2015-03-01
1153,21.0,CrossFire,2445.28,35,6,2015-03-01
1154,22.0,iRacing.com,2250.67,102,3,2015-03-01
1155,23.0,TrackMania 2: Stadium,1245.34,5,2,2015-03-01
1156,24.0,Project M,1160.76,7,3,2015-03-01
1157,25.0,Quake Live,1157.45,18,5,2015-03-01
1158,26.0,Chess.com,1000.02,7,1,2015-03-01
1159,27.0,Evolve,648.76,20,4,2015-03-01
1160,28.0,SMITE,496.69,20,4,2015-03-01
1161,29.0,S.K.I.L.L. - Special Force 2,270.47,10,1,2015-03-01
1162,30.0,Street Fighter X Tekken,100.0,3,1,2015-03-01
1163,31.0,BlazBlue: Chronophantasma,0.0,8,1,2015-03-01
1164,32.0,Dead or Alive 5: Last Round,0.0,8,1,2015-03-01
1165,33.0,Guilty Gear Xrd -SIGN-,0.0,15,2,2015-03-01
1166,34.0,Injustice: Gods Among Us,0.0,6,1,2015-03-01
1167,35.0,Killer Instinct (2013),0.0,8,1,2015-03-01
1168,36.0,King of Fighters XIII,0.0,8,1,2015-03-01
1169,37.0,Marvel vs. Capcom 2,0.0,4,1,2015-03-01
1170,38.0,Melty Blood: Actress Again,0.0,8,1,2015-03-01
1171,39.0,Persona 4 Arena Ultimax,0.0,8,1,2015-03-01
1172,40.0,Soul Calibur V,0.0,8,1,2015-03-01
1173,41.0,Tekken Tag Tournament 2,0.0,8,1,2015-03-01
1174,42.0,Ultimate Marvel vs. Capcom 3,0.0,25,2,2015-03-01
1175,43.0,Under Night In-Birth EXE: Late,0.0,8,1,2015-03-01
1176,1.0,League of Legends,1349012.57,684,44,2015-04-01
1177,2.0,Counter-Strike: Global Offensive,470797.23,793,55,2015-04-01
1178,3.0,StarCraft II,369644.76,174,72,2015-04-01
1179,4.0,Dota 2,321125.48,235,30,2015-04-01
1180,5.0,World of Tanks,302270.79,60,2,2015-04-01
1181,6.0,CrossFire,188013.58,68,6,2015-04-01
1182,7.0,Hearthstone,124414.0,84,23,2015-04-01
1183,8.0,SMITE,93134.52,72,7,2015-04-01
1184,9.0,Call of Duty: Advanced Warfare,74415.6,132,24,2015-04-01
1185,10.0,Ultra Street Fighter IV,58897.58,45,11,2015-04-01
1186,11.0,Heroes of the Storm,45710.39,129,29,2015-04-01
1187,12.0,Battlefield 4,42353.29,40,6,2015-04-01
1188,13.0,Halo 2 Anniversary,29478.8,40,2,2015-04-01
1189,14.0,Super Smash Bros. Melee,27253.84,134,45,2015-04-01
1190,15.0,Team Fortress 2,22875.84,75,4,2015-04-01
1191,16.0,Point Blank,20981.6,40,4,2015-04-01
1192,17.0,FIFA Online 3,20124.0,8,1,2015-04-01
1193,18.0,FIFA 15,16608.94,39,32,2015-04-01
1194,19.0,Age of Empires II,9000.0,9,1,2015-04-01
1195,20.0,Mortal Kombat X,7670.0,13,4,2015-04-01
1196,21.0,ShootMania Storm,7028.67,14,3,2015-04-01
1197,22.0,Attack on Titan Tribute Game,6000.0,4,1,2015-04-01
1198,23.0,World of WarCraft,6000.0,9,1,2015-04-01
1199,24.0,StarCraft: Brood War,5733.25,6,2,2015-04-01
1200,25.0,Super Smash Bros. for Wii U,5258.0,37,10,2015-04-01
1201,26.0,Heroes of Newerth,4885.44,35,3,2015-04-01
1202,27.0,Guild Wars 2,3118.94,0,6,2015-04-01
1203,28.0,TrackMania 2: Stadium,3071.42,17,5,2015-04-01
1204,29.0,Call of Duty 4: Modern Warfare,2703.33,0,1,2015-04-01
1205,30.0,Wolfenstein: Enemy Territory,2107.3,18,1,2015-04-01
1206,31.0,Gears of War 3,2000.0,12,1,2015-04-01
1207,32.0,NHL 15,1765.26,0,1,2015-04-01
1208,33.0,Age of Empires,1230.0,16,1,2015-04-01
1209,34.0,Evolve,1027.65,31,5,2015-04-01
1210,35.0,Chess.com,1000.0,5,1,2015-04-01
1211,36.0,Quake Live,658.94,9,5,2015-04-01
1212,37.0,Age of Empires III,610.0,8,1,2015-04-01
1213,38.0,TrackMania 2: Canyon,540.66,3,1,2015-04-01
1214,39.0,Trackmania 2: Valley,540.66,3,1,2015-04-01
1215,40.0,Project M,319.72,23,6,2015-04-01
1216,41.0,WarCraft III,129.46,2,1,2015-04-01
1217,42.0,BlazBlue: Chronophantasma,0.0,13,2,2015-04-01
1218,43.0,Dead or Alive 5: Last Round,0.0,8,1,2015-04-01
1219,44.0,Guilty Gear Xrd -SIGN-,0.0,14,2,2015-04-01
1220,45.0,Guilty Gear XX Accent Core Plus R,0.0,8,1,2015-04-01
1221,46.0,Killer Instinct (2013),0.0,8,1,2015-04-01
1222,47.0,King of Fighters XIII,0.0,8,1,2015-04-01
1223,48.0,Marvel vs. Capcom 2,0.0,7,1,2015-04-01
1224,49.0,Persona 4 Arena Ultimax,0.0,8,1,2015-04-01
1225,50.0,Skullgirls Encore,0.0,8,1,2015-04-01
1226,51.0,Street Fighter III: 3rd Strike,0.0,4,1,2015-04-01
1227,52.0,Super Smash Bros.,0.0,8,1,2015-04-01
1228,53.0,Super Street Fighter II Turbo,0.0,4,1,2015-04-01
1229,54.0,Tekken Tag Tournament 2,0.0,8,1,2015-04-01
1230,55.0,Ultimate Marvel vs. Capcom 3,0.0,21,3,2015-04-01
1231,56.0,Under Night In-Birth EXE: Late,0.0,12,2,2015-04-01
1232,1.0,Dota 2,1149751.95,317,29,2015-05-01
1233,2.0,League of Legends,563512.99,312,32,2015-05-01
1234,3.0,Counter-Strike: Global Offensive,281660.88,532,57,2015-05-01
1235,4.0,Call of Duty: Advanced Warfare,188798.48,205,43,2015-05-01
1236,5.0,Hearthstone,162151.36,103,26,2015-05-01
1237,6.0,Attack on Titan Tribute Game,156000.0,19,5,2015-05-01
1238,7.0,Magic: The Gathering Online,116000.0,16,1,2015-05-01
1239,8.0,StarCraft II,98844.67,171,67,2015-05-01
1240,9.0,Heroes of the Storm,86586.63,113,26,2015-05-01
1241,10.0,FIFA 15,36936.96,48,39,2015-05-01
1242,11.0,Super Smash Bros. Melee,31469.76,110,47,2015-05-01
1243,12.0,Heroes of Newerth,26167.0,77,9,2015-05-01
1244,13.0,Ultra Street Fighter IV,21073.77,33,12,2015-05-01
1245,14.0,Super Smash Bros. for Wii U,20057.38,96,31,2015-05-01
1246,15.0,Evolve,16227.6,48,8,2015-05-01
1247,16.0,Mortal Kombat X,14345.27,19,6,2015-05-01
1248,17.0,Battlefield Hardline,13463.28,20,1,2015-05-01
1249,18.0,Killer Instinct (2013),11175.27,11,2,2015-05-01
1250,19.0,FIFA Online 3,5936.58,4,1,2015-05-01
1251,20.0,Point Blank,4973.15,15,1,2015-05-01
1252,21.0,Skullgirls Encore,3183.1,11,2,2015-05-01
1253,22.0,Guilty Gear Xrd -SIGN-,2477.9,11,2,2015-05-01
1254,23.0,CrossFire,2445.28,30,6,2015-05-01
1255,24.0,Project M,1492.67,14,3,2015-05-01
1256,25.0,WarCraft III,1346.7,9,7,2015-05-01
1257,26.0,Ultimate Marvel vs. Capcom 3,1157.03,11,2,2015-05-01
1258,27.0,Battlefield 4,1119.86,15,6,2015-05-01
1259,28.0,Age of Empires II,1000.0,4,1,2015-05-01
1260,29.0,Chess.com,1000.0,6,1,2015-05-01
1261,30.0,Age of Empires,924.0,16,1,2015-05-01
1262,31.0,Divekick,700.0,3,1,2015-05-01
1263,32.0,Under Night In-Birth EXE: Late,640.0,8,1,2015-05-01
1264,33.0,King of Fighters XIII,629.21,6,2,2015-05-01
1265,34.0,Tekken Tag Tournament 2,590.0,3,1,2015-05-01
1266,35.0,Team Fortress 2,500.0,0,1,2015-05-01
1267,36.0,Legend of Glory,472.66,0,1,2015-05-01
1268,37.0,Persona 4 Arena Ultimax,380.0,3,1,2015-05-01
1269,38.0,Reflex,377.0,2,1,2015-05-01
1270,39.0,Injustice: Gods Among Us,320.0,3,1,2015-05-01
1271,40.0,S.K.I.L.L. - Special Force 2,274.8,10,1,2015-05-01
1272,41.0,Age of Mythology,250.0,1,1,2015-05-01
1273,42.0,Super Smash Bros.,210.0,6,3,2015-05-01
1274,43.0,Dead or Alive 5: Last Round,172.23,3,1,2015-05-01
1275,44.0,Ultimate Mortal Kombat 3,150.0,3,1,2015-05-01
1276,45.0,SMITE,134.44,5,1,2015-05-01
1277,46.0,Quake Live,100.0,2,1,2015-05-01
1278,47.0,StarCraft: Brood War,75.0,4,1,2015-05-01
1279,1.0,Dota 2,1071907.2,258,22,2015-06-01
1280,2.0,Counter-Strike: Global Offensive,603399.15,563,55,2015-06-01
1281,3.0,StarCraft II,445537.54,187,55,2015-06-01
1282,4.0,Hearthstone,176823.5,107,29,2015-06-01
1283,5.0,Heroes of the Storm,156983.15,215,30,2015-06-01
1284,6.0,Call of Duty: Advanced Warfare,145722.98,298,47,2015-06-01
1285,7.0,SMITE,128000.0,59,3,2015-06-01
1286,8.0,Evolve,101066.21,39,6,2015-06-01
1287,9.0,League of Legends,95878.76,147,25,2015-06-01
1288,10.0,Heroes of Newerth,73427.93,56,6,2015-06-01
1289,11.0,Halo 2 Anniversary,51148.17,32,2,2015-06-01
1290,12.0,CrossFire,47445.28,34,7,2015-06-01
1291,13.0,Ultra Street Fighter IV,44334.97,27,12,2015-06-01
1292,14.0,Pro Evolution Soccer 2015,26544.76,3,1,2015-06-01
1293,15.0,FIFA 15,25173.42,39,36,2015-06-01
1294,16.0,Super Smash Bros. Melee,24152.42,95,38,2015-06-01
1295,17.0,Mortal Kombat X,19661.46,20,7,2015-06-01
1296,18.0,Super Smash Bros. for Wii U,17586.22,87,23,2015-06-01
1297,19.0,Killer Instinct (2013),15950.0,8,1,2015-06-01
1298,20.0,Point Blank,8490.1,9,2,2015-06-01
1299,21.0,Attack on Titan Tribute Game,6000.0,4,1,2015-06-01
1300,22.0,Call of Duty: Black Ops 2,5000.0,4,1,2015-06-01
1301,23.0,Project M,3066.67,18,2,2015-06-01
1302,24.0,Ultimate Marvel vs. Capcom 3,1940.0,11,2,2015-06-01
1303,25.0,Chess.com,1874.99,13,1,2015-06-01
1304,26.0,TrackMania 2: Stadium,1727.17,17,2,2015-06-01
1305,27.0,StarCraft: Brood War,1636.5,9,3,2015-06-01
1306,28.0,Guilty Gear Xrd -SIGN-,1260.0,10,2,2015-06-01
1307,29.0,Battlefield 4,1011.14,15,5,2015-06-01
1308,30.0,Super Smash Bros.,780.0,7,2,2015-06-01
1309,31.0,World of Tanks,745.55,12,2,2015-06-01
1310,32.0,Tekken Tag Tournament 2,610.0,3,1,2015-06-01
1311,33.0,S.K.I.L.L. - Special Force 2,557.01,16,2,2015-06-01
1312,34.0,Persona 4 Arena Ultimax,550.0,6,2,2015-06-01
1313,35.0,Divekick,410.0,3,1,2015-06-01
1314,36.0,WarCraft III,360.93,6,7,2015-06-01
1315,37.0,Quake Live,100.0,2,1,2015-06-01
1316,38.0,Age of Mythology,56.0,1,1,2015-06-01
1317,39.0,BlazBlue: Chronophantasma Extend,0.0,3,1,2015-06-01
1318,1.0,Counter-Strike: Global Offensive,654388.2,822,63,2015-07-01
1319,2.0,Dota 2,583115.71,264,18,2015-07-01
1320,3.0,League of Legends,505875.44,438,29,2015-07-01
1321,4.0,StarCraft II,319483.37,182,67,2015-07-01
1322,5.0,Heroes of the Storm,275935.67,278,36,2015-07-01
1323,6.0,SMITE,177747.02,46,5,2015-07-01
1324,7.0,Mortal Kombat X,163481.91,23,8,2015-07-01
1325,8.0,Hearthstone,151333.71,110,37,2015-07-01
1326,9.0,Halo 2 Anniversary,150000.0,32,1,2015-07-01
1327,10.0,Call of Duty: Advanced Warfare,95374.72,203,41,2015-07-01
1328,11.0,Ultra Street Fighter IV,72870.0,11,7,2015-07-01
1329,12.0,WarCraft III,61711.23,32,11,2015-07-01
1330,13.0,Killer Instinct (2013),53970.0,8,1,2015-07-01
1331,14.0,Quake Live,43336.2,16,8,2015-07-01
1332,15.0,Super Smash Bros. Melee,40693.4,98,41,2015-07-01
1333,16.0,Tekken 7,34580.0,8,1,2015-07-01
1334,17.0,Super Smash Bros. for Wii U,33412.44,97,25,2015-07-01
1335,18.0,FIFA Online 3,26667.0,6,1,2015-07-01
1336,19.0,Guilty Gear Xrd -SIGN-,19680.0,8,1,2015-07-01
1337,20.0,Point Blank,15940.0,20,2,2015-07-01
1338,21.0,Team Fortress 2,15295.6,44,2,2015-07-01
1339,22.0,FIFA 15,14788.33,34,36,2015-07-01
1340,23.0,Persona 4 Arena Ultimax,14370.0,8,1,2015-07-01
1341,24.0,Ultimate Marvel vs. Capcom 3,9060.0,10,1,2015-07-01
1342,25.0,Heroes of Newerth,8740.18,45,4,2015-07-01
1343,26.0,Battlefield 4,8043.3,41,7,2015-07-01
1344,27.0,Attack on Titan Tribute Game,6000.0,4,1,2015-07-01
1345,28.0,Project M,1980.0,14,4,2015-07-01
1346,29.0,CrossFire,1901.88,25,4,2015-07-01
1347,30.0,Chess.com,1725.02,11,1,2015-07-01
1348,31.0,NHL 15,1000.0,0,1,2015-07-01
1349,32.0,Gears of War 3,700.0,2,1,2015-07-01
1350,33.0,Evolve,660.28,26,4,2015-07-01
1351,34.0,S.K.I.L.L. - Special Force 2,556.67,17,2,2015-07-01
1352,35.0,Street Fighter X Tekken,500.0,3,1,2015-07-01
1353,36.0,World of WarCraft,442.96,11,4,2015-07-01
1354,37.0,Brawlhalla,300.0,6,1,2015-07-01
1355,38.0,StarCraft: Brood War,177.45,5,3,2015-07-01
1356,1.0,Dota 2,18463252.88,196,16,2015-08-01
1357,2.0,League of Legends,1334844.31,649,31,2015-08-01
1358,3.0,Counter-Strike: Global Offensive,568263.74,534,65,2015-08-01
1359,4.0,Heroes of the Storm,373748.34,280,32,2015-08-01
1360,5.0,Hearthstone,239839.5,102,25,2015-08-01
1361,6.0,Call of Duty: Advanced Warfare,190436.47,207,53,2015-08-01
1362,7.0,StarCraft II,98511.83,116,50,2015-08-01
1363,8.0,S.K.I.L.L. - Special Force 2,58126.02,46,3,2015-08-01
1364,9.0,Super Smash Bros. for Wii U,55245.9,134,41,2015-08-01
1365,10.0,Super Smash Bros. Melee,53662.7,167,62,2015-08-01
1366,11.0,Guild Wars 2,50000.0,20,1,2015-08-01
1367,12.0,StarCraft: Brood War,38615.0,23,6,2015-08-01
1368,13.0,Vainglory,26319.0,24,1,2015-08-01
1369,14.0,FIFA 15,18581.85,39,38,2015-08-01
1370,15.0,Team Fortress 2,16391.51,31,3,2015-08-01
1371,16.0,Point Blank,15444.01,25,1,2015-08-01
1372,17.0,Battlefield 4,13711.31,19,6,2015-08-01
1373,18.0,Ultra Street Fighter IV,13308.22,27,13,2015-08-01
1374,19.0,WarCraft III,12683.22,16,6,2015-08-01
1375,20.0,Mortal Kombat X,12360.9,19,9,2015-08-01
1376,21.0,Project M,12030.89,61,15,2015-08-01
1377,22.0,Halo 5: Guardians,11524.0,8,1,2015-08-01
1378,23.0,World of WarCraft,10556.5,17,6,2015-08-01
1379,24.0,Super Smash Bros.,7715.47,31,5,2015-08-01
1380,25.0,Attack on Titan Tribute Game,7200.0,6,2,2015-08-01
1381,26.0,Super Smash Bros. Brawl,6770.0,27,2,2015-08-01
1382,27.0,FIFA Online 3,5574.13,4,1,2015-08-01
1383,28.0,Halo 2 Anniversary,4617.07,16,1,2015-08-01
1384,29.0,World of Tanks,2918.5,156,7,2015-08-01
1385,30.0,Dead or Alive 5: Last Round,1880.0,3,1,2015-08-01
1386,31.0,Chess.com,1874.99,13,1,2015-08-01
1387,32.0,Heroes of Newerth,1830.01,20,3,2015-08-01
1388,33.0,TrackMania 2: Stadium,1505.34,3,1,2015-08-01
1389,34.0,CrossFire,1358.5,22,5,2015-08-01
1390,35.0,Ultimate Marvel vs. Capcom 3,1335.9,7,4,2015-08-01
1391,36.0,Rocket League,1296.91,21,11,2015-08-01
1392,37.0,SMITE,1072.06,16,6,2015-08-01
1393,38.0,Age of Empires III,1000.0,4,1,2015-08-01
1394,39.0,Street Fighter III: 3rd Strike,870.0,3,1,2015-08-01
1395,40.0,Evolve,824.45,30,5,2015-08-01
1396,41.0,Guilty Gear Xrd -SIGN-,680.0,3,2,2015-08-01
1397,42.0,Reflex,550.0,5,1,2015-08-01
1398,43.0,Skullgirls Encore,520.0,3,1,2015-08-01
1399,44.0,Killer Instinct (2013),360.0,3,1,2015-08-01
1400,45.0,Soul Calibur V,330.0,3,1,2015-08-01
1401,46.0,Age of Empires II,300.0,3,1,2015-08-01
1402,47.0,Under Night In-Birth EXE: Late,280.0,3,1,2015-08-01
1403,48.0,Tekken Tag Tournament 2,270.0,3,2,2015-08-01
1404,49.0,Brawlhalla,250.0,3,1,2015-08-01
1405,50.0,BlazBlue: Chronophantasma Extend,210.0,3,1,2015-08-01
1406,51.0,Quake Live,200.0,2,2,2015-08-01
1407,52.0,Persona 4 Arena Ultimax,180.0,3,1,2015-08-01
1408,53.0,King of Fighters XIII,150.0,3,1,2015-08-01
1409,54.0,Splatoon,50.0,0,1,2015-08-01
1410,1.0,Counter-Strike: Global Offensive,654817.45,580,66,2015-09-01
1411,2.0,StarCraft II,347855.17,125,48,2015-09-01
1412,3.0,Hearthstone,283534.62,38,10,2015-09-01
1413,4.0,Call of Duty: Advanced Warfare,269077.34,191,37,2015-09-01
1414,5.0,H1Z1,173328.0,20,2,2015-09-01
1415,6.0,Heroes of the Storm,165406.12,164,16,2015-09-01
1416,7.0,Dota 2,146011.16,175,12,2015-09-01
1417,8.0,World of WarCraft,100449.24,32,5,2015-09-01
1418,9.0,League of Legends,98555.35,112,10,2015-09-01
1419,10.0,CrossFire,71495.68,45,8,2015-09-01
1420,11.0,Vainglory,70467.0,40,1,2015-09-01
1421,12.0,Super Smash Bros. Melee,62222.0,124,50,2015-09-01
1422,13.0,Heroes of Newerth,54711.86,68,8,2015-09-01
1423,14.0,World of Tanks,40000.0,14,1,2015-09-01
1424,15.0,Ultra Street Fighter IV,37845.0,36,13,2015-09-01
1425,16.0,Tekken 7,21300.0,6,1,2015-09-01
1426,17.0,iRacing.com,21000.0,5,1,2015-09-01
1427,18.0,Super Smash Bros. for Wii U,18457.17,79,27,2015-09-01
1428,19.0,Project M,9716.3,21,4,2015-09-01
1429,20.0,StarCraft: Brood War,9086.48,14,6,2015-09-01
1430,21.0,Point Blank,6167.92,18,1,2015-09-01
1431,22.0,Attack on Titan Tribute Game,6000.0,4,1,2015-09-01
1432,23.0,Rocket League,2796.14,19,14,2015-09-01
1433,24.0,NHL '94,2691.2,16,2,2015-09-01
1434,25.0,Team Fortress 2,2663.92,27,1,2015-09-01
1435,26.0,FIFA 15,2535.31,29,30,2015-09-01
1436,27.0,Grey Goo,2000.0,4,1,2015-09-01
1437,28.0,Chess.com,1875.0,11,1,2015-09-01
1438,29.0,Mortal Kombat X,1490.0,6,2,2015-09-01
1439,30.0,Halo 2 Anniversary,1038.41,12,1,2015-09-01
1440,31.0,Reflex,1035.0,3,1,2015-09-01
1441,32.0,Battlefield 4,1013.97,10,5,2015-09-01
1442,33.0,Ultimate Marvel vs. Capcom 3,910.0,3,1,2015-09-01
1443,34.0,S.K.I.L.L. - Special Force 2,844.9,25,3,2015-09-01
1444,35.0,Quake Live,755.0,6,4,2015-09-01
1445,36.0,Brawlhalla,450.0,8,3,2015-09-01
1446,37.0,SMITE,409.49,10,4,2015-09-01
1447,38.0,WarCraft III,370.07,3,4,2015-09-01
1448,39.0,Age of Empires II,170.0,7,2,2015-09-01
1449,40.0,Super Smash Bros. Brawl,160.0,3,1,2015-09-01
1450,41.0,Killer Instinct (2013),140.0,2,1,2015-09-01
1451,42.0,Guilty Gear Xrd -SIGN-,130.0,2,1,2015-09-01
1452,1.0,League of Legends,2187887.97,321,25,2015-10-01
1453,2.0,Dota 2,728072.42,211,18,2015-10-01
1454,3.0,Counter-Strike: Global Offensive,449414.28,779,94,2015-10-01
1455,4.0,Heroes of the Storm,308219.66,230,23,2015-10-01
1456,5.0,Call of Duty: Advanced Warfare,278813.96,188,28,2015-10-01
1457,6.0,CrossFire,206563.08,87,8,2015-10-01
1458,7.0,StarCraft II,205731.67,132,69,2015-10-01
1459,8.0,Hearthstone,163549.2,81,23,2015-10-01
1460,9.0,Point Blank,100000.0,56,1,2015-10-01
1461,10.0,World of Tanks,100000.0,28,1,2015-10-01
1462,11.0,World of WarCraft,100000.0,31,1,2015-10-01
1463,12.0,SMITE,72335.51,72,5,2015-10-01
1464,13.0,Age of Empires II,60100.0,123,4,2015-10-01
1465,14.0,Super Smash Bros. Melee,55293.98,142,45,2015-10-01
1466,15.0,KartRider,54188.0,12,1,2015-10-01
1467,16.0,Ultra Street Fighter IV,33993.69,31,10,2015-10-01
1468,17.0,Super Smash Bros. for Wii U,33459.92,110,28,2015-10-01
1469,18.0,WarCraft III,27364.65,15,8,2015-10-01
1470,19.0,Heroes of Newerth,23348.81,60,8,2015-10-01
1471,20.0,iRacing.com,16000.0,5,1,2015-10-01
1472,21.0,Mortal Kombat X,13461.9,13,3,2015-10-01
1473,22.0,Evolve,11054.1,15,1,2015-10-01
1474,23.0,Rocket League,7839.48,41,20,2015-10-01
1475,24.0,Battlefield 4,4383.02,30,6,2015-10-01
1476,25.0,StarCraft: Brood War,3726.85,25,14,2015-10-01
1477,26.0,Ultimate Marvel vs. Capcom 3,3278.4,7,4,2015-10-01
1478,27.0,Grey Goo,2000.0,4,1,2015-10-01
1479,28.0,Chess.com,1999.99,10,2,2015-10-01
1480,29.0,Brawlhalla,1600.0,46,2,2015-10-01
1481,30.0,Project M,1511.0,27,6,2015-10-01
1482,31.0,Team Fortress 2,1500.0,24,1,2015-10-01
1483,32.0,Guilty Gear Xrd -SIGN-,1292.69,14,4,2015-10-01
1484,33.0,FIFA 16,1035.18,11,4,2015-10-01
1485,34.0,Shards of War,1029.21,20,1,2015-10-01
1486,35.0,Rising Thunder,1000.0,3,1,2015-10-01
1487,36.0,Tetris,1000.0,4,1,2015-10-01
1488,37.0,FIFA 15,842.36,10,4,2015-10-01
1489,38.0,Dead or Alive 5: Last Round,730.0,8,1,2015-10-01
1490,39.0,Splatoon,720.0,3,1,2015-10-01
1491,40.0,Project Cars,675.0,6,12,2015-10-01
1492,41.0,Persona 4 Arena Ultimax,670.0,8,1,2015-10-01
1493,42.0,Tekken Tag Tournament 2,560.0,6,2,2015-10-01
1494,43.0,Nitroplus Blasterz: Heroines Infinite Duel,464.0,3,1,2015-10-01
1495,44.0,BlazBlue: Chronophantasma Extend,413.17,6,2,2015-10-01
1496,45.0,Killer Instinct (2013),340.0,3,1,2015-10-01
1497,46.0,King of Fighters XIII,300.0,3,1,2015-10-01
1498,47.0,Quake Live,300.0,4,3,2015-10-01
1499,48.0,TrackMania 2: Stadium,280.51,2,1,2015-10-01
1500,49.0,Under Night In-Birth EXE: Late,230.0,3,1,2015-10-01
1501,50.0,Guilty Gear XX Accent Core Plus R,120.0,3,1,2015-10-01
1502,51.0,Street Fighter III: 3rd Strike,115.86,3,1,2015-10-01
1503,52.0,Skullgirls Encore,90.0,3,1,2015-10-01
1504,53.0,Soul Calibur V,90.0,3,1,2015-10-01
1505,54.0,Capcom vs. SNK 2,61.79,3,1,2015-10-01
1506,55.0,Dengeki Bunko: Fighting Climax,60.0,3,1,2015-10-01
1507,56.0,QuakeWorld,55.09,1,1,2015-10-01
1508,1.0,Dota 2,3523821.23,285,22,2015-11-01
1509,2.0,Counter-Strike: Global Offensive,1276097.88,851,90,2015-11-01
1510,3.0,Heroes of the Storm,622759.75,189,24,2015-11-01
1511,4.0,SMITE,573500.0,115,5,2015-11-01
1512,5.0,League of Legends,426937.66,328,26,2015-11-01
1513,6.0,Hearthstone,394940.51,68,15,2015-11-01
1514,7.0,StarCraft II,391554.12,98,48,2015-11-01
1515,8.0,Heroes of Newerth,303797.09,127,15,2015-11-01
1516,9.0,FIFA Online 3,300000.0,9,1,2015-11-01
1517,10.0,World of WarCraft,253500.0,37,3,2015-11-01
1518,11.0,Super Smash Bros. Melee,124612.43,212,72,2015-11-01
1519,12.0,Blade & Soul,103401.12,16,1,2015-11-01
1520,13.0,Vainglory,66606.54,12,1,2015-11-01
