,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
484,2020-10-07,HERO CHARLY,558,477897,23973.0,876.0,Call of Duty: Warzone
485,2020-10-20,Neebs Gaming,176,467436,22971.0,961.0,Call of Duty: Warzone
486,2020-10-30,jackfrags,396,451525,17817.0,1147.0,Call of Duty: Warzone
487,2020-10-24,jackfrags,938,414022,18755.0,674.0,Call of Duty: Warzone
488,2020-10-28,jackfrags,1114,409896,15329.0,695.0,Call of Duty: Warzone
489,2020-10-20,Soki,604,388307,20922.0,737.0,Call of Duty: Warzone
490,2020-10-29,Born2Kill,537,380491,32567.0,1024.0,Call of Duty: Warzone
491,2020-10-27,Neebs Gaming,181,379591,19876.0,711.0,Call of Duty: Warzone
492,2020-10-02,Soki,853,377842,14564.0,451.0,Call of Duty: Warzone
493,2020-10-13,Soki,1127,375419,15444.0,638.0,Call of Duty: Warzone
494,2020-10-04,jackfrags,308,367038,15702.0,1137.0,Call of Duty: Warzone
495,2020-10-26,AlphaSniper97,639,360153,26085.0,513.0,Call of Duty: Warzone
496,2020-10-04,Soki,858,296149,12495.0,404.0,Call of Duty: Warzone
497,2020-10-12,Top Call of Duty Plays,1026,246283,3990.0,140.0,Call of Duty: Warzone
498,2020-10-28,Gabo Rumbos,350,238425,10105.0,814.0,Call of Duty: Warzone
499,2020-10-22,Soki,735,215305,11256.0,341.0,Call of Duty: Warzone
500,2020-10-21,MrDalekJD,491,214535,5564.0,354.0,Call of Duty: Warzone
501,2020-10-26,DefendTheHouse,532,195667,7275.0,419.0,Call of Duty: Warzone
502,2020-10-14,LetsPlay,6685,192726,2328.0,350.0,Call of Duty: Warzone
503,2020-10-15,RedCloud,800,184291,4484.0,817.0,Call of Duty: Warzone
504,2020-10-07,Soki,967,171164,10526.0,485.0,Call of Duty: Warzone
505,2020-10-12,DefendTheHouse,670,146340,6882.0,491.0,Call of Duty: Warzone
506,2020-10-16,WhosImmortal,648,125409,4489.0,509.0,Call of Duty: Warzone
507,2020-10-07,GTX 1050 Ti,711,115419,2480.0,255.0,Call of Duty: Warzone
508,2020-10-21,Frank Fonts,288,90217,4464.0,255.0,Call of Duty: Warzone
509,2020-10-20,staycation,1169,86043,2873.0,338.0,Call of Duty: Warzone
510,2020-10-19,GameNews,154,72467,1622.0,119.0,Call of Duty: Warzone
511,2020-10-26,Dinero con Alex,317,71095,1005.0,274.0,Call of Duty: Warzone
512,2020-10-23,TrueGameData,659,68711,5756.0,578.0,Call of Duty: Warzone
513,2020-10-24,staycation,999,58661,2243.0,156.0,Call of Duty: Warzone
514,2020-10-15,Tech Imperium,845,51159,491.0,292.0,Call of Duty: Warzone
515,2020-10-15,AESTHETIC WAVES,124,50240,784.0,27.0,Call of Duty: Warzone
516,2020-10-02,staycation,1071,49270,1679.0,153.0,Call of Duty: Warzone
517,2020-10-14,GTX 1050 Ti,816,45092,1266.0,118.0,Call of Duty: Warzone
518,2020-10-07,oqueioquei,810,39589,2150.0,50.0,Call of Duty: Warzone
519,2020-10-01,Bricks and Pieces Animation,90,37819,1435.0,90.0,Call of Duty: Warzone
520,2020-10-23,Hobbit Gamer,602,34766,844.0,221.0,Call of Duty: Warzone
521,2020-10-19,JEUXACTU,154,31538,991.0,101.0,Call of Duty: Warzone
522,2020-10-17,Syndicate,736,29276,1072.0,70.0,Call of Duty: Warzone
523,2020-10-23,Dead Squirrel,1293,28871,2345.0,125.0,Call of Duty: Warzone
524,2020-10-21,EliteShot,18570,28683,885.0,12.0,Call of Duty: Warzone
525,2020-10-06,Mix Gaming PH,193,27987,331.0,106.0,Call of Duty: Warzone
526,2020-10-24,Jegs TV,811,27853,226.0,101.0,Call of Duty: Warzone
527,2020-10-14,Frank Fonts,411,26385,782.0,79.0,Call of Duty: Warzone
528,2020-10-02,BCC Fortnite,570,25627,1140.0,45.0,Call of Duty: Warzone
529,2020-10-23,CliPS BROERS,49,24668,815.0,13.0,Call of Duty: Warzone
530,2020-10-20,Eradicate,329,23403,343.0,20.0,Call of Duty: Warzone
531,2020-10-23,Yankee Edits,874,23039,760.0,99.0,Call of Duty: Warzone
532,2020-10-30,Heart of Battle,1581,22895,527.0,153.0,Call of Duty: Warzone
533,2020-10-20,Isaac97,746,22288,323.0,12.0,Call of Duty: Warzone
534,2020-10-15,legos45,513,21652,181.0,127.0,Call of Duty: Warzone
535,2020-10-15,SQUiD G,14312,19395,443.0,5.0,Call of Duty: Warzone
536,2020-10-03,Frame One,1143,18501,206.0,36.0,Call of Duty: Warzone
537,2020-10-05,Rosengamer,423,18630,249.0,107.0,Call of Duty: Warzone
538,2020-10-25,Noteb,1303,18141,156.0,105.0,Call of Duty: Warzone
539,2020-10-28,ArturoFM,755,17818,124.0,65.0,Call of Duty: Warzone
540,2020-10-07,Gen Kunla,643,17285,122.0,16.0,Call of Duty: Warzone
541,2020-10-11,Craz7JuaN11,183,16160,376.0,22.0,Call of Duty: Warzone
542,2020-10-04,HR Plays,464,16029,147.0,25.0,Call of Duty: Warzone
543,2020-10-09,Luis Santiago,78,16008,212.0,20.0,Call of Duty: Warzone
544,2020-10-31,Budget PC Gamers,459,15584,214.0,61.0,Call of Duty: Warzone
545,2020-10-23,Tech Imperium,806,15523,189.0,113.0,Call of Duty: Warzone
546,2020-10-09,Codename RedDragon,401,15493,93.0,81.0,Call of Duty: Warzone
547,2020-10-24,TheGamingRevolution,745,13744,561.0,59.0,Call of Duty: Warzone
548,2020-10-16,sikhwarrior,427,13591,1458.0,77.0,Call of Duty: Warzone
549,2021-01-14,jackfrags,1289,617653,19211.0,1044.0,Call of Duty: Warzone
550,2021-01-26,Fandom Games,335,585519,21473.0,1013.0,Call of Duty: Warzone
551,2021-01-05,jackfrags,578,575860,27296.0,1588.0,Call of Duty: Warzone
552,2021-01-18,jackfrags,1024,546324,19168.0,1023.0,Call of Duty: Warzone
553,2021-01-05,Soki,947,523585,15466.0,368.0,Call of Duty: Warzone
554,2021-01-03,jackfrags,566,478134,27519.0,2956.0,Call of Duty: Warzone
555,2021-01-13,jackfrags,941,468007,15435.0,1009.0,Call of Duty: Warzone
556,2021-01-22,jackfrags,987,466632,16743.0,614.0,Call of Duty: Warzone
557,2021-01-27,Soki,1004,462956,16499.0,464.0,Call of Duty: Warzone
558,2021-01-18,Soki,982,439215,15041.0,385.0,Call of Duty: Warzone
559,2021-01-13,Soki,811,425686,30862.0,2184.0,Call of Duty: Warzone
560,2021-01-12,jackfrags,1228,422054,22767.0,1736.0,Call of Duty: Warzone
561,2021-01-16,Soki,1056,408198,17766.0,983.0,Call of Duty: Warzone
562,2021-01-15,WhosImmortal,631,401854,9784.0,945.0,Call of Duty: Warzone
563,2021-01-04,Soki,824,389339,20640.0,2081.0,Call of Duty: Warzone
564,2021-01-25,Soki,1068,384962,14197.0,550.0,Call of Duty: Warzone
565,2021-01-27,WhosImmortal,553,364651,9286.0,704.0,Call of Duty: Warzone
566,2021-01-23,Soki,964,363519,12396.0,319.0,Call of Duty: Warzone
567,2021-01-21,jackfrags,961,359366,16004.0,763.0,Call of Duty: Warzone
568,2021-01-16,jackfrags,747,358428,14185.0,836.0,Call of Duty: Warzone
569,2021-01-23,jackfrags,654,356760,14336.0,1109.0,Call of Duty: Warzone
570,2021-01-10,jackfrags,756,336896,13766.0,455.0,Call of Duty: Warzone
571,2021-01-04,Get Hyped Gaming,141,337211,3669.0,242.0,Call of Duty: Warzone
