,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
80,2017-09-28,LOLiTO FDEZ,1330.0,376505,10620.0,652.0,Fortnite
81,2017-09-26,iGPU Gamer,101.0,339317,1784.0,656.0,Fortnite
82,2017-09-16,RevenantL0L,2875.0,312664,6310.0,574.0,Fortnite
83,2017-09-10,3DJuegos.com,354.0,290330,4140.0,263.0,Fortnite
84,2017-09-18,Myth,1296.0,286590,6954.0,836.0,Fortnite
85,2017-09-18,dakotaz,1253.0,266598,4579.0,316.0,Fortnite
86,2017-09-26,CrypticFox,1857.0,262433,2098.0,565.0,Fortnite
87,2017-09-12,Game Informer,133.0,255273,1989.0,1215.0,Fortnite
88,2017-09-12,IGN,263.0,250796,2034.0,431.0,Fortnite
89,2017-09-28,Obligated,261.0,247246,1824.0,381.0,Fortnite
90,2017-09-25,Drews Wrld,338.0,240653,1977.0,81.0,Fortnite
91,2017-09-26,MasterOv Games,736.0,236503,3317.0,489.0,Fortnite
92,2017-09-27,dakotaz,807.0,234616,5016.0,568.0,Fortnite
93,2017-09-04,Gona89,617.0,232422,8771.0,399.0,Fortnite
94,2017-09-26,Manucraft,5298.0,212404,7270.0,783.0,Fortnite
95,2017-09-27,Jon Sandman,1476.0,204312,6970.0,1436.0,Fortnite
96,2017-09-30,zWORMz Gaming,683.0,197773,1170.0,508.0,Fortnite
97,2017-09-26,Xodaaaa,1604.0,177023,6455.0,348.0,Fortnite
98,2017-09-27,Vicio ONE MORE TIME!!!!,1127.0,176609,4331.0,281.0,Fortnite
99,2017-09-27,TechFixIT,74.0,164191,692.0,333.0,Fortnite
100,2017-10-01,KYRSP33DY,1210.0,158829,4307.0,142.0,Fortnite
101,2017-09-27,Kolash,333.0,152609,2072.0,786.0,Fortnite
102,2017-09-16,MAVATTACK,840.0,149544,5775.0,187.0,Fortnite
103,2017-10-01,ahailbeats,61.0,148490,3530.0,167.0,Fortnite
104,2017-09-13,CTKahuna,947.0,138736,2711.0,1079.0,Fortnite
105,2017-09-27,NTaPii Official,1297.0,135443,877.0,283.0,Fortnite
106,2017-09-27,CultOfMush,408.0,133083,1174.0,189.0,Fortnite
107,2017-09-25,Plech,3677.0,128403,3720.0,338.0,Fortnite
108,2017-09-26,BaronVonGames,1355.0,123824,1923.0,226.0,Fortnite
109,2017-09-21,Gona89,784.0,116060,5225.0,306.0,Fortnite
110,2017-09-14,Makina,1656.0,114784,3253.0,207.0,Fortnite
111,2017-09-13,Gona89,784.0,113297,4752.0,228.0,Fortnite
112,2017-09-28,VERTiiGO GAMING,909.0,106311,3565.0,530.0,Fortnite
113,2017-09-29,NoahJAFK,3644.0,95175,2027.0,149.0,Fortnite
114,2017-09-06,SlyGumbi,216.0,94929,635.0,49.0,Fortnite
115,2017-09-22,KNekroGamer,1651.0,94041,2811.0,267.0,Fortnite
116,2017-09-25,Samara Games,5717.0,93675,3423.0,174.0,Fortnite
117,2017-10-24,Ali-A,1219.0,11708919,357179.0,11505.0,Fortnite
118,2017-10-14,NerdOut!,235.0,8748651,77361.0,5197.0,Fortnite
119,2017-10-21,Ali-A,1105.0,8382441,154596.0,8515.0,Fortnite
120,2017-10-25,Fe4RLess,638.0,7712516,142090.0,13758.0,Fortnite
