,unnamed: 0.1,publishedat,channeltitle,duration,viewcount,likecount,commentcount,juego
8269,473,2021-11-17,Arshia.f7,213.0,516392,8379.0,79.0,League of Legends
8270,474,2021-11-01,SkinSpotlights,227.0,504875,5164.0,257.0,League of Legends
8271,475,2021-11-01,SkinSpotlights,204.0,494749,5965.0,247.0,League of Legends
8272,476,2021-11-28,Wonski,125.0,451389,10939.0,667.0,League of Legends
8273,477,2021-11-05,Typical Gamer,13743.0,440767,11554.0,178.0,League of Legends
8274,478,2021-11-06,LLA,21212.0,438573,7268.0,135.0,League of Legends
8275,479,2021-11-09,Riot Forge - LATAM,91.0,422023,3018.0,213.0,League of Legends
8276,480,2021-11-30,League of Legends: Wild Rift,843.0,402419,34671.0,5420.0,League of Legends
8277,481,2021-11-15,SkinSpotlights,189.0,399614,5398.0,295.0,League of Legends
8278,482,2021-11-02,SkinSpotlights,178.0,393763,8029.0,471.0,League of Legends
8279,483,2021-11-09,Jay's Content & Creations,141.0,390408,8372.0,67.0,League of Legends
8280,484,2021-11-13,MatthewGameTube ,91.0,366445,10036.0,295.0,League of Legends
8281,485,2021-11-28,GO!! Light Up!,190.0,362070,17688.0,300.0,League of Legends
8282,486,2021-11-13,Joseju,224.0,356832,43490.0,921.0,League of Legends
8283,487,2021-11-03,SQUPO,530.0,320410,4899.0,290.0,League of Legends
8284,488,2021-11-19,Yuste Esports,1000.0,306484,16344.0,191.0,League of Legends
8285,489,2021-11-04,IGN,19.0,298071,6426.0,640.0,League of Legends
8286,490,2021-11-09,Kballero Rap,142.0,299086,11214.0,432.0,League of Legends
8287,491,2021-11-16,Riot Games Community,204.0,295921,11487.0,770.0,League of Legends
8288,492,2022-02-01,League of Legends,145.0,3028193,108468.0,9109.0,League of Legends
8289,493,2022-02-07,Powdersity,3974.0,2122590,26424.0,225.0,League of Legends
8290,494,2022-02-16,League of Legends,184.0,1087675,32546.0,1371.0,League of Legends
8291,495,2022-02-03,Th3Venom,32.0,1074119,42700.0,643.0,League of Legends
8292,496,2022-02-13,Mobile Legends Comparisons,242.0,932062,18659.0,4287.0,League of Legends
8293,497,2022-02-28,Ryscu,253.0,837088,37549.0,660.0,League of Legends
8294,498,2022-02-01,SkinSpotlights,225.0,594011,12146.0,800.0,League of Legends
8295,499,2022-02-12,Galaxy,205.0,563645,6368.0,27.0,League of Legends
8296,500,2022-02-01,League of Legends Latinoamerica,145.0,491203,29715.0,1572.0,League of Legends
