"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","5068043760","68971380","280837","2330","116484","117478","1598","73.48",""
"2","","PUBG: BATTLEGROUNDS","2739051960","72737340","148584","2888","114736","63492","1686","37.66",""
"3","","Dota 2","2487534660","18219240","337968","933","28415","57661","422","136.53",""
"4","","Hearthstone","1686598740","8778300","86315","337","20548","39095","203","192.13",""
"5","","Overwatch","1364959980","58968180","68705","3561","148384","31640","1366","23.15",""
"6","","Counter-Strike: Global Offensive","1309767300","33971880","284324","1474","98244","30360","787","38.55",""
"7","","E3 2017","859943760","1632000","1105343","2142","5199","19933","37","526.93",""
"8","","Grand Theft Auto V","835739220","22898580","76057","1320","74434","19372","530","36.5",""
"9","","IRL","785086680","11085840","62089","419","33253","18198","256","70.82",""
"10","","World of Warcraft","614220720","27186240","50661","2504","38995","14237","630","22.59",""
"11","","Friday the 13th: The Game","480914760","17687340","48556","1110","51344","11147","409","27.19",""
"12","","Heroes of the Storm","450865260","9065280","63642","387","18376","10451","210","49.74",""
"13","","RuneScape","404408460","5433600","62246","200","9488","9374","125","74.43",""
"14","","FIFA 17","387013620","8579460","64637","479","29238","8971","198","45.11",""
"15","","Tekken 7","377850780","5781600","57509","508","25874","8758","134","65.35",""
"16","","Black Desert","345465300","7579260","45596","343","11905","8008","175","45.58",""
"17","","Minecraft","312661560","17170080","44423","711","55027","7247","398","18.21",""
"18","","Destiny","307300680","38180760","22483","1931","55773","7123","885","8.05",""
"19","","Rocket League","281939400","8143800","207485","335","37620","6535","188","34.62",""
"20","","Darkest Dungeon","281891220","2616660","56136","199","5934","6534","60","107.73",""
"21","","Talk Shows & Podcasts","275664240","3540840","70935","306","12073","6389","82","77.85",""
"22","","Z1: Battle Royale","248899680","15256620","36447","720","27193","5769","353","16.31",""
"23","","Tom Clancy's Rainbow Six Siege","218110080","20193720","15550","909","63014","5055","468","10.8",""
"24","","Creative","214117920","12759660","21516","510","25978","4963","295","16.78",""
"25","","StarCraft II","211600200","2984520","38472","117","4752","4904","69","70.9",""
"26","","Path of Exile","183896520","3787800","24993","285","5474","4262","87","48.55",""
"27","","World of Tanks","178340700","6236340","15464","322","9848","4133","144","28.6",""
"28","","Final Fantasy XIV Online","174396300","9678360","30609","1396","11566","4042","224","18.02",""
"29","","SMITE","167856540","5960220","24810","251","13585","3890","138","28.16",""
"30","","Gwent: The Witcher Card Game","158359560","2563800","29172","147","5760","3670","59","61.77",""
"31","","Casino_old","135148380","806160","13713","41","677","3132","18","167.64",""
"32","","Poker","133362480","1883880","18518","103","2138","3091","43","70.79",""
"33","","Magic: The Gathering","124386060","1021620","21442","67","1314","2883","23","121.75",""
"34","","NBA 2K17","124131900","9728940","15442","467","32547","2877","225","12.76",""
"35","","Arma 3","117185220","4248780","13518","261","8296","2716","98","27.58",""
"36","","Call of Duty: Black Ops III","101042880","21245700","44101","926","81472","2342","492","4.76",""
"37","","Clash Royale","95235000","1404240","41262","80","3525","2207","32","67.82",""
"38","","Street Fighter V","95061960","1383540","53802","101","4122","2203","32","68.71",""
"39","","Ark: Survival Evolved","85804260","6926340","13626","308","14830","1988","160","12.39",""
"40","","Dead by Daylight","84121260","5948400","12687","306","12175","1949","137","14.14",""
"41","","Call of Duty: Infinite Warfare","83457900","6960480","26398","348","23126","1934","161","11.99",""
"42","","Rust","83189940","3775020","10757","219","8234","1928","87","22.04",""
"43","","Injustice 2","74417100","2237220","38376","134","9066","1725","51","33.26",""
"44","","Diablo III","71253600","4230420","16920","690","12738","1651","98","16.84",""
"45","","DayZ","70971480","2162760","41308","117","4211","1645","50","32.82",""
"46","","The Witcher 3: Wild Hunt","70951380","3405420","11080","158","8898","1644","78","20.83",""
"47","","The Elder Scrolls Online","69361920","3922080","28769","215","9896","1607","90","17.68",""
"48","","Super Smash Bros. for Wii U","67786800","895500","29750","65","1745","1571","20","75.7",""
"49","","Shadowverse","66802380","1313520","17844","123","2313","1548","30","50.86",""
"50","","Super Smash Bros. Melee","66589440","792180","53335","51","2338","1543","18","84.06",""
"51","","Dungeons & Dragons","66050700","1229340","37554","97","1814","1531","28","53.73",""
"52","","Oxygen Not Included","65856360","928500","14413","44","1912","1526","21","70.93",""
"53","","Super Mario 64","59245740","889920","12810","58","1656","1373","20","66.57",""
"54","","Miscreated","59191620","683940","30317","63","2371","1372","15","86.55",""
"55","","Paladins","58856820","5196420","16389","222","19920","1364","120","11.33",""
"56","","Squad","58328820","683700","43467","43","1895","1352","15","85.31",""
"57","","Music","56984040","3221880","12906","110","4989","1320","74","17.69",""
"58","","Paragon","55716720","4162080","38339","174","7542","1291","96","13.39",""
"59","","Pokémon Sun/Moon","55289880","1717200","13407","98","1951","1281","39","32.2",""
"60","","Dark Souls III","53984760","4610220","36119","189","14537","1251","106","11.71",""
"61","","Super Mario Maker","53442600","705240","10623","38","782","1238","16","75.78",""
"62","","7 Days to Die","52715760","3902040","13888","196","7909","1221","90","13.51",""
"63","","Summoners War: Sky Arena","52139940","947880","35599","49","1054","1208","21","55.01",""
"64","","XCOM 2","50343180","796800","8345","42","1582","1166","18","63.18",""
"65","","Gears of War 4","49451580","2124960","39697","121","6057","1146","49","23.27",""
"66","","Warcraft III","48390360","1156320","18423","61","1286","1121","26","41.85",""
"67","","Tibia","46020240","1653540","21317","85","1854","1066","38","27.83",""
"68","","The Elder Scrolls: Legends","44147820","761400","12732","41","1775","1023","17","57.98",""
"69","","The Legend of Zelda: Breath of the Wild","41108340","1759260","8703","200","3270","952","40","23.37",""
"70","","Mario Kart 8","40902420","960840","44433","75","3089","948","22","42.57",""
"71","","Call of Duty: Modern Warfare Remastered","40672860","3641820","8894","278","14849","942","84","11.17",""
"72","","Games + Demos","40431540","938040","24897","39","2237","937","21","43.1",""
"73","","Retro","38985780","2362260","6246","94","2722","903","54","16.5",""
"74","","Battlefield 1","38411700","6765480","4010","301","28990","890","156","5.68",""
"75","","The Binding of Isaac: Repentance","34939860","1113360","8147","57","3140","809","25","31.38",""
"76","","Cities: Skylines","34483740","813900","26538","48","2312","799","18","42.37",""
"77","","Halo 5: Guardians","33152940","2589540","8332","143","6784","768","60","12.8",""
