"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","6026585400","452198040","465998","21968","884315","139698","10482","13.33",""
"2","","League of Legends","5545683120","118735440","548157","4008","172848","128550","2752","46.71",""
"3","","Grand Theft Auto V","4983359280","43655460","256096","1868","79087","115515","1011","114.15",""
"4","","Just Chatting","3518271000","51773400","219754","1848","135011","81554","1200","67.96",""
"5","","Hearthstone","2062882260","11735940","278075","1572","25124","47818","272","175.77",""
"6","","Counter-Strike: Global Offensive","1851202020","50733300","313013","2295","127669","42911","1176","36.49",""
"7","","Dota 2","1769926500","27029040","146659","1330","36752","41027","626","65.48",""
"8","","Overwatch","1716087780","47281380","185196","2534","102724","39779","1095","36.3",""
"9","","Apex Legends","1505941680","120598020","199116","5000","259932","34908","2795","12.49",""
"10","","PUBG: BATTLEGROUNDS","1241251020","50817720","134191","1937","73993","28772","1177","24.43",""
"11","","World of Warcraft","1038289740","37913460","99545","2475","44269","24067","878","27.39",""
"12","","Sekiro: Shadows Die Twice","764560080","21809040","91302","1456","63530","17722","505","35.06",""
"13","","Auto Chess","621285120","8535660","51914","348","12964","14401","197","72.79",""
"14","","FIFA 19","606759840","14829840","109147","944","42988","14064","343","40.91",""
"15","","Tom Clancy's Rainbow Six Siege","496318800","43768980","48981","1791","122071","11504","1014","11.34",""
"16","","Dead by Daylight","493078380","24175920","42579","914","42838","11429","560","20.4",""
"17","","Call of Duty: Black Ops 4","461295720","51044940","72152","4238","104618","10692","1183","9.04",""
"18","","Magic: The Gathering","414989700","6141360","49051","431","11202","9619","142","67.57",""
"19","","Mortal Kombat 11","409943760","7857780","202719","2195","30095","9502","182","52.17",""
"20","","Escape from Tarkov","397110480","13202220","44420","921","14174","9205","306","30.08",""
"21","","Minecraft","368841480","25790220","36014","1222","70852","8549","597","14.3",""
"22","","Music","338584980","14085300","24250","457","14476","7848","326","24.04",""
"23","","Old School RuneScape","332104800","6909540","30328","273","9655","7698","160","48.06",""
"24","","Rocket League","321969060","15827340","67750","710","60861","7463","366","20.34",""
"25","","Days Gone","315184560","6805620","132741","1857","19698","7306","157","46.31",""
"26","","Anno 1800","314645160","5185680","73394","854","9585","7293","120","60.68",""
"27","","Slots","294036540","2319960","29675","112","2451","6815","53","126.74",""
"28","","StarCraft II","283476420","4107360","37817","166","7008","6571","95","69.02",""
"29","","Super Smash Bros. Ultimate","269111520","6446580","64983","771","13277","6238","149","41.74",""
"30","","Tom Clancy's The Division 2","257196780","21789960","32467","1719","48582","5961","505","11.8",""
"31","","Talk Shows & Podcasts","251278260","4252920","32822","185","12269","5824","98","59.08",""
"32","","Twitch Presents","250638360","251820","22261","7","18","5809","5","995.31",""
"33","","Path of Exile","249140400","9921240","25487","461","13510","5775","229","25.11",""
"34","","Art","242287920","16140120","14446","582","28685","5616","374","15.01",""
"35","","World War Z","221717460","7961820","135162","1182","30069","5139","184","27.85",""
"36","","Poker","217407600","3168300","38930","223","3531","5039","73","68.62",""
"37","","Risk of Rain 2","203975820","10333740","46400","766","30128","4728","239","19.74",""
"38","","Destiny 2","189593880","16613160","16638","856","29317","4394","385","11.41",""
"39","","ASMR","177076500","2283480","22549","75","1469","4104","52","77.55",""
"40","","World of Tanks","163728840","7067880","14132","384","9549","3795","163","23.17",""
"41","","Black Desert","147789300","7665300","7387","279","8491","3425","177","19.28",""
"42","","The Elder Scrolls Online","141978300","5120160","22789","219","8130","3291","118","27.73",""
"43","","NBA 2K19","140350920","13577400","33120","694","35572","3253","314","10.34",""
"44","","Warcraft III","135705720","2347080","29812","96","2627","3145","54","57.82",""
"45","","Games + Demos","122013480","2226120","39016","105","6534","2828","51","54.81",""
"46","","Sea of Thieves","119727960","7185300","79473","1450","15761","2775","166","16.66",""
"47","","Final Fantasy XIV Online","115953000","9675780","15815","564","13186","2687","224","11.98",""
"48","","Chess","114429660","1056480","32143","72","1511","2652","24","108.31",""
"49","","Retro","112836720","5246460","13121","199","6315","2615","121","21.51",""
"50","","SMITE","112639620","7730460","11127","349","14557","2611","179","14.57",""
"51","","Dungeons & Dragons","112412820","2343000","66686","219","4047","2605","54","47.98",""
"52","","Rust","111779760","6256380","14509","365","11367","2591","145","17.87",""
"53","","Heroes of the Storm","108109560","4717500","16873","194","7331","2506","109","22.92",""
"54","","Special Events","107407080","780000","50096","73","2734","2489","18","137.7",""
"55","","Borderlands","106336680","4856760","30059","834","12746","2464","112","21.89",""
"56","","Outward","105621600","3073080","34644","212","5947","2448","71","34.37",""
"57","","World of Warships","105448620","3277080","17142","166","4796","2444","75","32.18",""
"58","","Tibia","105284520","4279620","6898","185","3999","2440","99","24.6",""
"59","","Battlefield V","100437300","7545960","40641","508","31553","2328","174","13.31",""
"60","","MLB The Show 19","97442460","1870920","17406","127","8365","2258","43","52.08",""
"61","","Enter the Gungeon","93280620","2484060","28321","178","8651","2162","57","37.55",""
"62","","Forager","88611180","1890600","40990","193","5046","2054","43","46.87",""
"63","","Street Fighter V","87366480","1856220","43837","81","3663","2025","43","47.07",""
"64","","Tropico 6","85819200","1231140","19312","132","2888","1989","28","69.71",""
"65","","My Summer Car","83314020","272100","34932","21","649","1931","6","306.19",""
