"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"77","","Games + Demos","144046620","17825940","51063","717","92811","3339","413","8.08",""
"78","","Garena Free Fire","143480580","7926360","30719","396","54188","3325","183","18.1",""
"79","","Politics","139238100","1649880","23583","83","2871","3227","38","84.39",""
"80","","No Man's Sky","137660940","4576080","41545","357","11026","3191","106","30.08",""
"81","","Street Fighter V","136852500","2892180","114405","117","5800","3172","67","47.32",""
"82","","Pummel Party","136521900","916260","128779","86","5924","3164","21","149",""
"83","","Food & Drink","134947260","2090700","69446","102","10597","3128","48","64.55",""
"84","","Brawlhalla","132375120","4416480","46127","209","27629","3068","102","29.97",""
"85","","Dread Hunger","130487040","648540","42581","41","812","3024","15","201.2",""
"86","","Slay the Spire","130444140","2248260","29857","110","8264","3023","52","58.02",""
"87","","New World","129923940","5076060","28359","236","6974","3011","117","25.6",""
"88","","World of Warships","129762300","3234960","25782","165","4696","3007","74","40.11",""
"89","","F1 2021","129422340","7365420","89697","923","26194","3000","170","17.57",""
"90","","Tibia","128741520","6157920","6007","288","4816","2984","142","20.91",""
"91","","Diablo III","128157240","4222440","35735","750","7630","2970","97","30.35",""
"92","","eBaseball Pawafuru Puroyakyu 2022","128101740","518220","46879","106","865","2969","12","247.2",""
"93","","StarCraft II","127492980","2453460","17516","94","4126","2955","56","51.96",""
"94","","League of Legends: Wild Rift","126563340","5955900","31310","226","22478","2933","138","21.25",""
"95","","Midnight Ghost Hunt","124283100","1890660","82634","220","7564","2880","43","65.74",""
"96","","Animal Crossing: New Horizons","121821540","4579440","10564","180","9343","2823","106","26.6",""
"97","","Kirby and the Forgotten Land","121511400","5146800","18087","477","13531","2816","119","23.61",""
"98","","The Elder Scrolls Online","119125560","4445280","62197","213","8722","2761","103","26.8",""
"99","","Roblox","111063480","22276500","68134","1006","154043","2574","516","4.99",""
"100","","eFootball 2022","110537400","2889660","47457","285","10769","2562","66","38.25",""
