"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","13890898860","169712820","890132","6761","368108","321995","3934","81.85",""
"2","","Grand Theft Auto V","7776520800","105178620","462977","5026","123262","180262","2438","73.94",""
"3","","League of Legends","6156731280","145216980","3087270","5296","192692","142715","3366","42.4",""
"4","","Counter-Strike: Global Offensive","4798883580","57095880","1933313","2603","97574","111239","1323","84.05",""
"5","","Apex Legends","3521880780","209180160","284849","11947","247467","81638","4848","16.84",""
"6","","VALORANT","3521156520","158727780","201652","5767","226858","81621","3679","22.18",""
"7","","Minecraft","3356959740","106093980","604094","4923","227396","77815","2459","31.64",""
"8","","Fortnite","3010684920","194156220","371676","7997","329946","69788","4500","15.51",""
"9","","Teamfight Tactics","2239203780","26267280","112329","1108","44746","51905","608","85.25",""
"10","","Dota 2","2224391580","44871060","223679","1949","36951","51562","1040","49.57",""
"11","","Call of Duty: Warzone","2153734680","111283980","264556","6016","121583","49924","2579","19.35",""
"12","","FIFA 22","2133769680","46064220","243893","2800","80957","49461","1067","46.32",""
"13","","Call of Duty: Vanguard","2006261100","122031420","329920","15131","152204","46505","2828","16.44",""
"14","","Pokémon Brilliant Diamond/Shining Pearl","1510877640","32376900","247407","6002","45976","35022","750","46.67",""
"15","","Dead by Daylight","1374450360","86348820","116915","3978","106571","31860","2001","15.92",""
"16","","World of Warcraft","1242851700","47502420","122036","3555","38257","28809","1101","26.16",""
"17","","Slots","1167709620","4726140","73350","184","4140","27067","109","247.07",""
"18","","Battlefield 2042","1160391600","39656640","346829","4579","66621","26898","919","29.26",""
"19","","Music","1131471360","49648080","89272","1869","44507","26227","1150","22.79",""
"20","","Halo Infinite","1041669840","53151480","251579","9971","124265","24146","1232","19.6",""
"21","","Hearthstone","1027093740","7792140","55834","365","9527","23808","180","131.81",""
"22","","Sports","995051940","5397660","794311","344","9005","23065","125","184.35",""
"23","","Age of Empires IV","871895640","8614560","126868","591","13835","20210","199","101.21",""
"24","","Rocket League","864256680","42477840","140185","1922","111657","20033","984","20.35",""
"25","","Lost Ark","864207300","16167660","271304","3164","20345","20032","374","53.45",""
"26","","Crab Game","842424960","12623160","286942","1006","71834","19527","292","66.74",""
"27","","New World","819567300","34665540","70068","2016","35996","18997","803","23.64",""
"28","","Genshin Impact","711448380","39227580","412487","3456","64965","16491","909","18.14",""
"29","","Special Events","698422440","2405700","785211","491","5405","16189","55","290.32",""
"30","","ASMR","697276020","8659740","30533","270","5066","16163","200","80.52",""
"31","","PUBG: BATTLEGROUNDS","672395340","25442640","126328","920","25888","15586","589","26.43",""
"32","","Forza Horizon 5","651766140","33489180","103730","3851","78257","15108","776","19.46",""
"33","","Animal Crossing: New Horizons","635772360","17182980","74837","1609","28338","14737","398","37",""
"34","","Escape from Tarkov","633554460","28412220","72074","1053","22008","14686","658","22.3",""
"35","","Path of Exile","619328220","12785040","38080","600","7940","14356","296","48.44",""
"36","","Rust","562612800","14105640","97090","831","17565","13041","326","39.89",""
"37","","Art","535094160","30997920","42462","1083","50321","12403","718","17.26",""
"38","","Tom Clancy's Rainbow Six Siege","533611680","29235540","102732","1539","59928","12369","677","18.25",""
"39","","Final Fantasy XIV Online","521026800","25559640","87538","1389","26773","12077","592","20.38",""
"40","","Among Us","507423660","7294140","418698","661","32847","11762","169","69.57",""
"41","","Overwatch","494324520","27786600","40771","1078","47800","11458","644","17.79",""
"42","","Mario Party Superstars","443891160","3613740","181405","390","10912","10289","83","122.83",""
"43","","Chess","428334420","2971020","156656","152","4814","9928","68","144.17",""
"44","","Talk Shows & Podcasts","398669700","10144920","188079","555","12075","9241","235","39.3",""
"45","","Arcane","388864560","1483080","1834286","4075","7093","9014","34","262.2",""
"46","","Clash Royale","387294660","4833360","95317","229","14456","8977","112","80.13",""
"47","","Hunt: Showdown","363072480","11868900","86051","712","12747","8416","275","30.59",""
"48","","Destiny 2","327403140","26328300","37928","1360","34533","7589","610","12.44",""
"49","","Old School RuneScape","308908860","6199020","29474","247","5245","7160","143","49.83",""
"50","","Phasmophobia","289570980","20572980","97372","3728","68071","6712","476","14.08",""
"51","","Poker","284330100","4426080","26500","255","3296","6590","102","64.24",""
"52","","SMITE","278544000","9801660","63028","434","12874","6456","227","28.42",""
"53","","Diablo II: Resurrected","278262240","11830380","34589","490","8952","6450","274","23.52",""
"54","","DayZ","261038220","10929960","27004","508","11879","6050","253","23.88",""
"55","","Garena Free Fire","259441380","11742480","27256","569","14933","6013","272","22.09",""
"56","","World of Tanks","254657160","8283240","33917","503","8232","5903","192","30.74",""
"57","","Call Of Duty: Modern Warfare","248446920","125387340","30053","6239","164882","5759","2906","1.98",""
"58","","Super Smash Bros. Ultimate","246201120","6144720","80165","373","12934","5707","142","40.07",""
"59","","Retro","245354940","9168840","18118","344","9787","5687","212","26.76",""
"60","","NBA 2K22","243511080","22085700","30019","1163","29197","5644","511","11.03",""
"61","","Farming Simulator 22","238266660","6622140","52504","1458","10257","5523","153","35.98",""
"62","","Magic: The Gathering","238097880","4144140","21958","297","5552","5519","96","57.45",""
"63","","iRacing","232729320","3957660","25094","506","4787","5394","91","58.8",""
"64","","Crypto","225136860","4456860","38375","170","2545","5218","103","50.51",""
"65","","Brawlhalla","223198740","4598100","73984","214","15650","5173","106","48.54",""
"66","","The Elder Scrolls V: Skyrim","216951480","7616580","34621","491","11935","5029","176","28.48",""
"67","","Black Desert","194002020","6761580","20815","247","5381","4497","156","28.69",""
"68","","Super Mario 64","189407220","2118600","92356","103","3612","4390","49","89.4",""
"69","","Virtual Casino","188016000","967440","33438","59","1141","4358","22","194.34",""
"70","","Heroes of Might and Magic III: The Restoration of Erathia","184869180","1407780","17127","71","800","4285","32","131.32",""
"71","","Elden Ring","182430900","471660","267951","470","1532","4228","10","386.78",""
"72","","Sea of Thieves","181743900","12115080","23962","680","20613","4212","280","15",""
"73","","I'm Only Sleeping","178981620","3393420","22875","214","3036","4148","78","52.74",""
"74","","Pools, Hot Tubs, and Beaches","177861840","2518740","91282","87","2103","4122","58","70.62",""
"75","","Dark Souls III","177570780","9790200","24570","414","17550","4116","226","18.14",""
"76","","Fall Guys","173776140","6148140","87316","513","25428","4028","142","28.26",""
"77","","StarCraft II","169066920","2565480","29996","100","3012","3919","59","65.9",""
"78","","Animals, Aquariums, and Zoos","168552960","5129580","27679","167","973","3907","118","32.86",""
"79","","Ruined King: A League of Legends Story","165085020","3328080","107930","765","7769","3826","77","49.6",""
"80","","Games + Demos","162901260","20040420","38590","770","43420","3776","464","8.13",""
"81","","Super Auto Pets","160557000","1098660","72375","90","3734","3721","25","146.14",""
"82","","VRChat","160347240","5551320","25145","326","9751","3716","128","28.88",""
"83","","Grand Theft Auto: San Andreas – The Definitive Edition","156636480","4636860","109101","916","12738","3630","107","33.78",""
"84","","League of Legends: Wild Rift","153670920","5578080","60670","211","6887","3562","129","27.55",""
"85","","World of Warships","151906320","3613980","24961","189","3507","3521","83","42.03",""
"86","","Jurassic World Evolution 2","151898820","3039780","86318","690","5238","3521","70","49.97",""
"87","","Back 4 Blood","146766600","12013620","27004","927","30880","3402","278","12.22",""
"88","","Tabletop RPGs","144324420","1240800","112687","108","2377","3345","28","116.32",""
"89","","Food & Drink","143217480","2113020","141715","128","6175","3319","48","67.78",""
"90","","Dark Souls","140899680","4601640","15051","248","8425","3266","106","30.62",""
"91","","Dungeons & Dragons","139982700","4545360","107179","416","7479","3244","105","30.8",""
"92","","Axie Infinity","135162180","3581040","23424","168","4248","3133","83","37.74",""
"93","","The Binding of Isaac: Repentance","130709940","3168360","48108","162","6339","3029","73","41.25",""
"94","","Red Dead Redemption 2","129340080","12947580","28601","555","19226","2998","300","9.99",""
"95","","The Legend of Zelda: Breath of the Wild","127110540","2741280","24285","125","4736","2946","63","46.37",""
"96","","Mount & Blade II: Bannerlord","124094400","1010040","25752","53","1341","2876","23","122.86",""
"97","","Roblox","120055320","22002000","41585","1004","55517","2782","510","5.46",""
"98","","MIR4","116580540","5658900","15307","327","5297","2702","131","20.6",""
"99","","Madden NFL 22","116451060","12190140","41864","782","20198","2699","282","9.55",""
"100","","Myth of Empires","116152500","1826520","32228","194","2028","2692","42","63.59",""
