"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"78","","The Elder Scrolls: Legends","23511300","990300","18331","60","2364","527","22","23.74",""
"79","","Worms W.M.D","23319060","171060","32084","48","771","523","3","136.32",""
"80","","Super Mario 64","22651020","595260","17064","31","1130","508","13","38.05",""
"81","","Diablo II: Lord of Destruction","22580580","441960","5240","25","664","506","9","51.09",""
"82","","Kartrider","22236300","218400","6280","26","503","498","4","101.81",""
"83","","Warframe","21661320","4107360","12660","174","11344","485","92","5.27",""
"84","","Blade & Soul","20597160","1597620","4935","80","2064","462","35","12.89",""
"85","","Final Fantasy XIV: Heavensward","20514060","2219820","10803","174","5481","460","49","9.24",""
"86","","Team Fortress 2","20366160","1186800","6742","58","3994","456","26","17.16",""
"87","","ABZÛ","20300520","344280","28205","116","2587","455","7","58.97",""
"88","","Euro Truck Simulator 2","19988340","1757460","28765","100","4052","448","39","11.37",""
"89","","M.U.G.E.N","19800240","67920","749","4","46","444","1","291.52",""
"90","","Summoners War: Sky Arena","19737000","571740","1845","33","578","442","12","34.52",""
"91","","Bloodborne","19662660","1892100","3351","88","5460","441","42","10.39",""
"92","","Life is Strange","19569540","745440","21098","53","3967","438","16","26.25",""
"93","","Vainglory","19445460","491040","13119","25","601","436","11","39.6",""
"94","","Evolve","19338000","1287300","14306","72","4494","433","28","15.02",""
"95","","Gears of War: Ultimate Edition","18734700","1082760","7332","63","3274","420","24","17.3",""
"96","","The Legend of Zelda: Majora's Mask","18683280","229740","2522","17","395","419","5","81.32",""
"97","","Casino Games","18556140","277500","8915","21","316","416","6","66.87",""
"98","","Tibia","18494400","818280","5612","39","1040","414","18","22.6",""
"99","","Pokémon Red/Blue","18080640","551520","5698","34","1128","405","12","32.78",""
"100","","The Culling","17912520","385500","4370","27","948","401","8","46.47",""
