"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14914406880","188998500","1117874","8817","413135","334553","4239","78.91",""
"2","","Fortnite","6521533500","433861680","1585293","129860","667652","146288","9732","15.03",""
"3","","League of Legends","5784789900","197831820","318449","7979","247003","129761","4437","29.24",""
"4","","World of Warcraft","5412148800","140630880","411898","11273","108723","121403","3154","38.48",""
"5","","Minecraft","4328557140","164179320","591932","7060","346527","97096","3682","26.36",""
"6","","Call of Duty: Warzone","3950697900","147634320","343398","7996","174916","88620","3311","26.76",""
"7","","Cyberpunk 2077","3820985400","155251020","1126038","35125","232288","85710","3482","24.61",""
"8","","Grand Theft Auto V","3702547860","108456120","262859","6530","172265","83054","2432","34.14",""
"9","","Counter-Strike: Global Offensive","3645421260","85581900","387473","3961","154721","81772","1919","42.6",""
"10","","Escape from Tarkov","3423720300","59927880","418894","3710","45168","76799","1344","57.13",""
"11","","Among Us","3026121780","53890260","493501","3332","178817","67880","1208","56.15",""
"12","","FIFA 21","2586631560","54121140","304406","3646","102912","58022","1214","47.79",""
"13","","Dota 2","2572899840","37869360","243589","1506","30337","57714","849","67.94",""
"14","","VALORANT","2542506480","130449600","286887","4958","197181","57032","2926","19.49",""
"15","","Apex Legends","2128336320","152162880","149460","5828","208690","47741","3413","13.99",""
"16","","Hearthstone","1543217940","11716800","84878","480","14402","34616","262","131.71",""
"17","","Rocket League","1341221040","74768880","139113","3372","265728","30085","1677","17.94",""
"18","","Music","1313591040","46990560","152685","2892","45618","29465","1054","27.95",""
"19","","Dead by Daylight","1198904340","62908380","79655","2857","83419","26893","1411","19.06",""
"20","","Rust","1152551700","15113820","330443","877","21980","25853","339","76.26",""
"21","","Call of Duty: Black Ops Cold War","1092680760","109793580","103314","5757","176857","24510","2462","9.95",""
"22","","Slots","964243140","5576880","103703","226","4584","21629","125","172.9",""
"23","","Special Events","874440600","3807180","2058657","6896","12314","19615","85","229.68",""
"24","","Overwatch","815826600","47925660","95650","2056","82400","18300","1075","17.02",""
"25","","Genshin Impact","763280760","39604620","98644","3349","60414","17121","888","19.27",""
"26","","Chess","726428580","4586700","96998","203","10640","16294","102","158.38",""
"27","","PUBG: BATTLEGROUNDS","674827380","39954780","78588","1364","43142","15137","896","16.89",""
"28","","Garena Free Fire","670853040","14317140","301456","612","20425","15048","321","46.86",""
"29","","Tom Clancy's Rainbow Six Siege","662444100","62958660","63981","2589","124865","14859","1412","10.52",""
"30","","Teamfight Tactics","620639640","14516820","43424","510","27691","13921","325","42.75",""
"31","","Call Of Duty: Modern Warfare","601007640","247763580","43174","11277","299053","13481","5557","2.43",""
"32","","Art","545122560","33108180","109763","1130","53957","12227","742","16.46",""
"33","","Eternal Return","519515280","8913960","85642","568","10967","11653","199","58.28",""
"34","","DayZ","486891600","14169000","59851","605","17342","10921","317","34.36",""
"35","","Destiny 2","482553120","46425240","55622","2931","56761","10824","1041","10.39",""
"36","","Phasmophobia","415322040","38354280","88767","2373","110260","9316","860","10.83",""
"37","","World of Tanks","412246620","12833580","38278","655","11872","9247","287","32.12",""
"38","","Sports","380241480","2723580","173946","154","4990","8529","61","139.61",""
"39","","Fall Guys","368448600","14727900","307786","1210","53766","8264","330","25.02",""
"40","","Talk Shows & Podcasts","360521100","8863380","83184","563","13955","8087","198","40.68",""
"41","","ASMR","352323000","5402100","17094","168","3629","7903","121","65.22",""
"42","","NBA 2K21","344682420","31872600","151940","1555","46862","7731","714","10.81",""
"43","","Poker","335646840","4996140","92878","336","4671","7529","112","67.18",""
"44","","Black Desert","285860760","9596700","37514","554","8159","6412","215","29.79",""
"45","","Sea of Thieves","252076380","19119900","57023","1151","33662","5654","428","13.18",""
"46","","Magic: The Gathering","250794600","4621080","42987","210","6185","5625","103","54.27",""
"47","","StarCraft II","244338960","3709260","37263","135","4549","5480","83","65.87",""
"48","","Old School RuneScape","238229160","7341000","22012","282","6652","5343","164","32.45",""
"49","","Immortals Fenyx Rising","233772720","4948800","96012","696","8385","5243","111","47.24",""
"50","","Path of Exile","233176440","7047780","30439","949","5413","5230","158","33.09",""
"51","","Retro","231481020","8674080","25701","313","9292","5192","194","26.69",""
"52","","Tibia","229872720","8795940","9912","384","5407","5156","197","26.13",""
"53","","Raft","227422560","6265800","65152","450","17047","5101","140","36.3",""
"54","","VRChat","221993160","6061860","51764","393","10451","4979","135","36.62",""
"55","","SMITE","210655320","12012540","12971","555","16680","4725","269","17.54",""
"56","","Final Fantasy XIV Online","206698020","26129220","29413","2459","21285","4636","586","7.91",""
"57","","World of Warships","204708840","4664880","62728","198","4202","4591","104","43.88",""
"58","","Demon's Souls","201586020","6291240","48928","401","11023","4521","141","32.04",""
"59","","Hunt: Showdown","194387400","7365420","35387","368","9150","4360","165","26.39",""
"60","","Mario Kart 8","183809040","2202840","83507","149","7923","4123","49","83.44",""
"61","","Jackbox Party Packs","182361240","3747180","118380","380","18471","4090","84","48.67",""
"62","","Madden NFL 21","182359980","15096720","109879","880","27007","4090","338","12.08",""
"63","","Pokémon Sword/Shield","182256660","8526840","23832","362","11567","4088","191","21.37",""
"64","","League of Legends: Wild Rift","180201480","4119840","82519","285","6200","4042","92","43.74",""
"65","","Super Smash Bros. Ultimate","179941200","8683080","107534","1459","16888","4036","194","20.72",""
"66","","Aim Gods","175198800","1109700","108965","576","3704","3929","24","157.88",""
"67","","MapleStory","167150340","6075600","20464","427","6435","3749","136","27.51",""
"68","","Dungeons & Dragons","165843120","4586700","72421","464","7672","3720","102","36.16",""
"69","","Assassin's Creed Valhalla","164868600","15215460","37260","1073","31710","3698","341","10.84",""
"70","","Age of Empires II","163312140","2936580","33090","142","4223","3663","65","55.61",""
"71","","Animal Crossing: New Horizons","155164740","6434820","38420","337","13072","3480","144","24.11",""
"72","","Heroes of Might and Magic III: The Restoration of Erathia","154743120","1054800","18960","56","734","3471","23","146.7",""
"73","","Spelunky 2","151639980","1281780","24251","74","2650","3401","28","118.3",""
"74","","Stardew Valley","151501920","9298560","30624","715","23020","3398","208","16.29",""
"75","","Back 4 Blood","144621720","1396920","155656","1310","6390","3244","31","103.53",""
"76","","Hades","141882840","7722420","74738","384","19608","3182","173","18.37",""
"77","","Games + Demos","137712000","3473640","65959","132","8066","3089","77","39.64",""
"78","","Super Smash Bros. Melee","136210140","1734900","72236","108","3429","3055","38","78.51",""
"79","","The Elder Scrolls Online","135507720","5644080","29125","251","6811","3039","126","24.01",""
"80","","Food & Drink","134426640","2592480","90833","135","8311","3015","58","51.85",""
"81","","Science & Technology","128738460","10250760","11872","360","8805","2887","229","12.56",""
"82","","Yakuza: Like a Dragon","128589900","3509820","29447","206","3992","2884","78","36.64",""
"83","","Virtual Casino","126227880","727920","19296","43","1041","2831","16","173.41",""
"84","","Football Manager 2021","124230720","2421360","24131","146","2673","2786","54","51.31",""
"85","","Super Mario Maker 2","122699760","2058180","72927","114","3099","2752","46","59.62",""
"86","","Ark: Survival Evolved","119070840","16239660","14509","695","22907","2670","364","7.33",""
"87","","Dark Souls III","115342380","10506240","12053","467","20488","2587","235","10.98",""
"88","","Warcraft III","112595460","2103600","24979","89","1830","2525","47","53.53",""
"89","","Legends of Runeterra","106688160","2025660","37120","160","3375","2393","45","52.67",""
"90","","Heroes of the Storm","105685080","4327080","7890","163","5078","2370","97","24.42",""
"91","","F1 2020","103032540","4782840","73381","548","13025","2311","107","21.54",""
"92","","Tabletop RPGs","102918840","1003320","77909","107","1861","2308","22","102.58",""
"93","","Red Dead Redemption 2","100598460","16646340","27213","739","27546","2256","373","6.04",""
"94","","Spellbreak","100070580","2516160","78725","212","7972","2244","56","39.77",""
"95","","Clash Royale","99677820","1721580","21148","75","3757","2235","38","57.9",""
"96","","Roblox","97140180","17244660","127222","692","41648","2179","386","5.63",""
"97","","Don't Starve Together","97036020","3783000","13977","158","8416","2176","84","25.65",""
"98","","The Sims 4","97032420","5324820","33657","245","15294","2176","119","18.22",""
"99","","Marbles On Stream","95362740","3334320","14132","153","11921","2139","74","28.6",""
"100","","Bloons TD 6","94234080","1620900","66316","132","5600","2113","36","58.14",""
