"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","188346672480","2127292920","2309980","10463","3023620","358386","4047","88.54",""
"2","","League of Legends","93401976720","1677126840","3145012","8924","1099549","177725","3191","55.69",""
"3","","Grand Theft Auto V","84857222520","1432075440","727079","6992","1577887","161466","2724","59.25",""
"4","","VALORANT","69586121040","2588534580","1197406","13550","1837811","132408","4925","26.88",""
"5","","Counter-Strike: Global Offensive","41987036940","593396340","1687805","2748","753916","79893","1129","70.76",""
"6","","Apex Legends","39508657020","2387643180","559133","13296","1918841","75177","4543","16.55",""
"7","","Fortnite","37248402060","2634680700","1024567","60854","4009545","70876","5013","14.14",""
"8","","Minecraft","32865211740","1190426940","2189881","6347","2324663","62536","2265","27.61",""
"9","","Dota 2","31935192900","452403720","1037857","2353","238175","60766","860","70.59",""
"10","","Call of Duty: Warzone","26298360600","1440771120","618010","12842","1071785","50040","2741","18.25",""
"11","","World of Warcraft","24454305420","630931080","800359","12297","249437","46531","1200","38.76",""
"12","","Slots","23383780620","70318140","284606","429","41174","44494","133","332.54",""
"13","","Lost Ark","20449934880","409832100","1273854","12784","279979","38912","779","49.9",""
"14","","Escape from Tarkov","18334077900","485309400","690725","5313","201013","34886","923","37.78",""
"15","","Elden Ring","17294172420","753587700","908307","22969","796342","32907","1433","22.95",""
"16","","Rust","16308322620","205518840","917741","1352","217350","31031","391","79.35",""
"17","","Dead by Daylight","15226435560","915346080","155860","4960","636528","28972","1741","16.63",""
"18","","Teamfight Tactics","14491290840","189074700","140778","1461","227959","27574","359","76.64",""
"19","","Overwatch 2","14146285080","482026020","633993","12678","853366","26917","917","29.35",""
"20","","Music","14064256260","568978920","228912","2644","390851","26761","1082","24.72",""
"21","","FIFA 22","12753131160","357336240","785790","5823","767177","24266","679","35.69",""
"22","","Hearthstone","12365730420","90369960","137028","687","79182","23529","171","136.83",""
"23","","Sports","11776665120","71333100","670136","908","179798","22408","135","165.09",""
"24","","Special Events","8928628200","35995200","3366021","8741","127320","16989","68","248.05",""
"25","","FIFA 23","8795209680","159021660","487770","5980","330616","16735","302","55.31",""
"26","","Genshin Impact","8431290300","568055760","614342","6499","516616","16043","1080","14.84",""
"27","","Rocket League","7782714420","455874120","348465","2322","928636","14808","867","17.07",""
"28","","Fall Guys","7781104260","268430640","417781","6833","1030557","14805","510","28.99",""
"29","","ASMR","7740292920","100218180","52844","366","117388","14728","190","77.23",""
"30","","PUBG: BATTLEGROUNDS","7424414520","391171980","169794","1901","391392","14127","744","18.98",""
"31","","Virtual Casino","6886695120","27714480","275327","192","19061","13104","52","248.49",""
"32","","Call of Duty: Modern Warfare II","6461490060","626381700","759147","22803","1004990","12294","1191","10.32",""
"33","","Tom Clancy's Rainbow Six Siege","6359795700","366073500","267799","2013","667079","12101","696","17.37",""
"34","","Art","6214263960","370254720","63932","2021","336514","11824","704","16.78",""
"35","","Path of Exile","5984705400","98838840","260801","2927","48695","11387","188","60.55",""
"36","","Destiny 2","5583326640","424122600","451907","19199","353223","10623","807","13.16",""
"37","","Overwatch","5212769640","252992160","1459249","2725","324662","9918","481","20.6",""
"38","","World of Tanks","5121039540","96840600","68851","635","74067","9744","184","52.88",""
"39","","Final Fantasy XIV Online","4418177160","301829760","94670","3455","127213","8406","574","14.64",""
"40","","DayZ","4167103620","143390400","109745","636","148854","7929","272","29.06",""
"41","","Chess","4136080440","31788780","113009","172","47587","7870","60","130.11",""
"42","","Talk Shows & Podcasts","3996229860","121579860","142296","653","127531","7604","231","32.87",""
"43","","Pools, Hot Tubs, and Beaches","3861880260","34568460","93029","196","41652","7348","65","111.72",""
"44","","Old School RuneScape","3802626600","77737860","64684","594","39125","7235","147","48.92",""
"45","","I'm Only Sleeping","3695333040","73219380","61985","359","45639","7031","139","50.47",""
"46","","Poker","3544946280","48113220","71390","395","27230","6745","91","73.68",""
"47","","Sea of Thieves","3529157820","183452880","131802","1278","277541","6715","349","19.24",""
"48","","New World","3270712440","91539840","198821","2025","68360","6223","174","35.73",""
"49","","Retro","3256869960","113648400","39288","668","50990","6197","216","28.66",""
"50","","Ark: Survival Evolved","3188234100","172248900","174919","1035","250620","6066","327","18.51",""
"51","","Among Us","3147566820","66326280","311180","596","367118","5989","126","47.46",""
"52","","SMITE","3146511360","105640440","150372","627","97157","5987","201","29.79",""
"53","","Pokémon Scarlet/Violet","3070779900","99675000","315303","10530","96738","5843","189","30.81",""
"54","","Red Dead Redemption 2","3032544300","175831500","101851","890","287754","5770","334","17.25",""
"55","","VRChat","2985882420","68806800","128943","609","89876","5681","130","43.4",""
"56","","Project Zomboid","2916240720","66366360","125605","521","91972","5549","126","43.94",""
"57","","Clash Royale","2906630520","40981980","630752","304","344085","5530","77","70.92",""
"58","","Pokémon Legends: Arceus","2821814340","101399280","478946","7471","111119","5369","192","27.83",""
"59","","Black Desert","2731419840","89849880","69163","462","43192","5197","170","30.4",""
"60","","God of War Ragnarök","2655438780","125891820","480655","11583","169951","5052","239","21.09",""
"61","","Phasmophobia","2514168000","191861640","97940","2606","428448","4783","365","13.1",""
"62","","Albion Online","2495245320","29175840","29256","192","21639","4747","55","85.52",""
"63","","Super Smash Bros. Ultimate","2469551940","59474460","160081","507","56592","4699","113","41.52",""
"64","","Magic: The Gathering","2406983820","41240100","31403","297","35608","4580","78","58.37",""
"65","","Yu-Gi-Oh! Master Duel","2362797660","74014260","105489","1293","127594","4495","140","31.92",""
"66","","Travel & Outdoors","2299724700","56169240","123097","189","97250","4375","106","40.94",""
"67","","The Cycle: Frontier","2186797380","55579500","98080","1011","71315","4161","105","39.35",""
"68","","Call Of Duty: Modern Warfare","2176313220","908096340","51255","4147","1240890","4141","1727","2.4",""
"69","","Monster Hunter Rise","2089730520","119376720","112194","2788","93965","3976","227","17.51",""
"70","","Hunt: Showdown","2017646820","124460280","74621","829","82232","3839","236","16.21",""
"71","","Tibia","1990941840","86939160","16639","591","20785","3788","165","22.9",""
"72","","Heroes of Might and Magic III: The Restoration of Erathia","1976327220","15222060","20772","97","4497","3760","28","129.83",""
"73","","Mario Kart 8 Deluxe","1928746200","38218920","324642","1165","73694","3670","72","50.47",""
"74","","Roblox","1918015980","290905620","135740","1263","1204632","3649","553","6.59",""
"75","","MultiVersus","1882407540","85238400","184916","3691","372212","3581","162","22.08",""
"76","","Halo Infinite","1875028740","110556480","129916","2061","233130","3567","210","16.96",""
"77","","Games + Demos","1846058220","265692120","101700","7386","1006034","3512","505","6.95",""
"78","","NBA 2K22","1802183400","211041600","260517","1412","330235","3429","401","8.54",""
"79","","StarCraft II","1792224000","28508460","50271","145","22317","3410","54","62.87",""
"80","","Dying Light 2: Stay Human","1768349280","94055520","633277","8669","184635","3364","178","18.8",""
"81","","The Sims 4","1752055380","70328040","87543","529","146119","3333","133","24.91",""
"82","","Garena Free Fire","1744640580","102473760","185967","519","491007","3319","194","17.03",""
"83","","NBA 2K23","1696490160","141417060","352152","7180","193378","3228","269","12",""
"84","","God of War","1694946120","96569700","116534","1655","231929","3225","183","17.55",""
"85","","Trackmania","1685427360","13175400","186003","333","17746","3207","25","127.92",""
"86","","World of Warships","1664553960","40016520","25782","215","26433","3167","76","41.6",""
"87","","Tower of Fantasy","1647487260","59431260","276098","6305","84766","3134","113","27.72",""
"88","","Cult of the Lamb","1631799780","55363440","157382","2919","101400","3104","105","29.47",""
"89","","Crypto","1612649220","47745540","49846","251","20696","3068","90","33.78",""
"90","","Call of Duty: Vanguard","1610470440","231161640","64799","1820","363793","3064","439","6.97",""
"91","","Vampire Survivors","1600382040","26228760","140383","340","81523","3045","49","61.02",""
"92","","Food & Drink","1598000580","23041860","281352","117","75167","3040","43","69.35",""
"93","","Raft","1581490500","52411860","209125","900","121990","3009","99","30.17",""
"94","","Politics","1524219300","16406940","164056","190","22925","2900","31","92.9",""
"95","","MapleStory","1499453700","46557000","35358","344","20423","2853","88","32.21",""
"96","","The Quarry","1460260980","24544020","354599","1637","60328","2778","46","59.5",""
"97","","League of Legends: Wild Rift","1373785140","67526580","40295","285","172392","2614","128","20.34",""
"98","","Pokémon Community Game","1332232380","12603600","320431","106","8077","2534","23","105.7",""
"99","","Dark and Darker","1325200320","12337020","151562","1052","28736","2521","23","107.42",""
"100","","Super People","1303557960","44971500","142409","1406","78356","2480","85","28.99",""
