"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","7886192940","490009200","687062","17450","974227","176899","10991","16.09",""
"2","","League of Legends","4880996340","88548360","1029879","2773","144072","109488","1986","55.12",""
"3","","Dota 2","4186586040","26366220","749471","1102","36075","93911","591","158.79",""
"4","","World of Warcraft","3371437980","85449720","590245","15619","95903","75626","1916","39.46",""
"5","","IRL","2924798220","41430420","264068","1406","132462","65607","929","70.6",""
"6","","Hearthstone","2268642480","13986600","251577","1932","30887","50889","313","162.2",""
"7","","PUBG: BATTLEGROUNDS","2128823640","81403860","143941","2918","137405","47752","1826","26.15",""
"8","","Overwatch","1385429700","59008920","135822","2413","137844","31077","1323","23.48",""
"9","","Counter-Strike: Global Offensive","1301873940","45621960","187317","1846","121482","29203","1023","28.54",""
"10","","Grand Theft Auto V","916414440","27615360","60680","1214","70607","20556","619","33.18",""
"11","","Tom Clancy's Rainbow Six Siege","850676220","49285260","211067","2018","142627","19082","1105","17.26",""
"12","","Monster Hunter: World","685818000","40351140","128595","5262","66815","15383","905","17",""
"13","","Dead by Daylight","611255280","33409740","146848","1453","82430","13711","749","18.3",""
"14","","Casino_old","573549600","3269520","56607","120","1785","12865","73","175.42",""
"15","","SCUM","438686820","5343300","217830","2803","17061","9840","119","82.1",""
"16","","Escape from Tarkov","405456180","12846120","51782","508","13694","9095","288","31.56",""
"17","","Destiny 2","377270700","29426940","91330","1511","53602","8462","660","12.82",""
"18","","Call of Duty: Black Ops 4","367587900","12270360","168872","3680","42041","8245","275","29.96",""
"19","","Heroes of the Storm","340383000","7849620","61037","299","13432","7635","176","43.36",""
"20","","StarCraft II","321117780","4135080","50931","142","6797","7203","92","77.66",""
"21","","Minecraft","320164980","18362100","44143","877","47426","7181","411","17.44",""
"22","","Music","314564700","11235000","30978","335","11441","7056","252","28",""
"23","","Street Fighter V","313586820","2530380","194902","195","5754","7034","56","123.93",""
"24","","Talk Shows & Podcasts","312853680","2998680","346483","198","8595","7017","67","104.33",""
"25","","Old School RuneScape","273675780","5943900","22048","215","8117","6138","133","46.04",""
"26","","Always On","269755680","572940","57919","20","40","6051","12","470.83",""
"27","","Creative","261909720","18368280","25717","660","34491","5875","412","14.26",""
"28","","Poker","243983580","2997120","24856","156","2925","5472","67","81.41",""
"29","","Rocket League","233059920","14257800","58691","536","63782","5227","319","16.35",""
"30","","No Man's Sky","230398740","10619040","37987","850","24967","5168","238","21.7",""
"31","","Graveyard Keeper","224904540","3192180","48576","248","6063","5044","71","70.45",""
"32","","Magic: The Gathering","215536080","2724420","31242","138","4891","4834","61","79.11",""
"33","","FIFA 18","199054500","9004560","76550","533","31646","4465","201","22.11",""
"34","","Call of Duty: WWII","197994420","4850340","148960","290","37006","4441","108","40.82",""
"35","","World of Tanks","180641520","6870720","16269","330","9067","4052","154","26.29",""
"36","","Warframe","176794500","13101660","72775","551","25573","3965","293","13.49",""
"37","","Path of Exile","175251120","5090280","66801","1616","7826","3931","114","34.43",""
"38","","Madden NFL 19","160112280","13031460","25629","1560","32300","3591","292","12.29",""
"39","","We Happy Few","158496120","2738040","46964","306","7679","3555","61","57.89",""
"40","","Dragon Ball FighterZ","158035980","2256900","241067","192","9580","3544","50","70.02",""
"41","","Dead Cells","146930940","4251600","42483","342","14910","3295","95","34.56",""
"42","","Warcraft III","142187520","1880640","39861","88","2077","3189","42","75.61",""
"43","","Black Desert","138368400","6812220","14794","232","8320","3103","152","20.31",""
"44","","Tekken 7","130649940","2235900","178753","84","7845","2930","50","58.43",""
"45","","Super Smash Bros. Melee","129663180","930600","179128","54","2580","2908","20","139.33",""
"46","","Rust","114775800","5395140","24740","344","9678","2574","121","21.27",""
"47","","Ark: Survival Evolved","111565560","6927240","27787","279","8919","2502","155","16.11",""
"48","","SMITE","106165800","7088400","15783","321","15276","2381","159","14.98",""
"49","","Dungeons & Dragons","96482220","2177580","40680","175","3468","2164","48","44.31",""
"50","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","92982960","2298480","7621","177","1794","2085","51","40.45",""
"51","","NBA 2K18","92450280","6628440","61960","356","20172","2073","148","13.95",""
"52","","Games + Demos","90820500","1550160","27100","72","4519","2037","34","58.59",""
"53","","Boxing Fight","89806800","45360","1097362","302","547","2014","1","1979.87",""
"54","","Enter the Gungeon","89471460","2404380","22871","131","8182","2006","53","37.21",""
"55","","I Wanna Be The Boshy","89352180","174120","22046","19","673","2004","3","513.16",""
"56","","Realm Royale Reforged","88067100","4405620","119238","278","11073","1975","98","19.99",""
"57","","They Are Billions","85100460","587820","14868","35","1209","1908","13","144.77",""
"58","","The Elder Scrolls Online","84247080","4481760","12138","189","8121","1889","100","18.8",""
"59","","Overcooked! 2","80671140","1428060","56366","237","6713","1809","32","56.49",""
"60","","The Elder Scrolls: Legends","79477260","958080","44757","39","961","1782","21","82.95",""
"61","","Terraria","77811180","2145720","7349","95","6091","1745","48","36.26",""
"62","","Tibia","73520100","3481260","6267","135","3734","1649","78","21.12",""
"63","","Retro","72085500","4166640","7597","159","4875","1616","93","17.3",""
"64","","Pokémon Ultra Sun/Ultra Moon","71558040","2310120","23879","105","3384","1605","51","30.98",""
"65","","Hunt: Showdown","70670340","2952060","28348","214","7129","1585","66","23.94",""
"66","","Slay the Spire","69463320","1067940","12648","56","3529","1558","23","65.04",""
"67","","Super Smash Bros. for Wii U","69301980","1084200","47374","188","2354","1554","24","63.92",""
"68","","Call of Duty: Black Ops III","67743420","11451600","8978","494","52365","1519","256","5.92",""
"69","","Two Point Hospital","67442340","748500","46234","578","3262","1512","16","90.1",""
"70","","Sea of Thieves","66427020","5143200","28368","529","11118","1490","115","12.92",""
"71","","Gwent: The Witcher Card Game","64213620","1011180","33225","51","1497","1440","22","63.5",""
"72","","StarCraft","63637980","723840","56781","31","1164","1427","16","87.92",""
"73","","osu!","60273000","8048700","7207","289","29110","1352","180","7.49",""
"74","","For Honor","59660280","4776960","25956","312","18026","1338","107","12.49",""
"75","","Dark Souls III","58784280","4238280","10996","186","11870","1318","95","13.87",""
"76","","Quake Champions","58204500","2390820","14662","136","7029","1305","53","24.34",""
"77","","Rend","57494700","1219980","28195","150","1908","1289","27","47.13",""
"78","","Super Mario Maker","55560960","671460","4968","36","749","1246","15","82.75",""
"79","","Bloodborne","55433400","2066700","15424","85","6178","1243","46","26.82",""
"80","","The Sims 4","55254540","2361780","11416","101","7994","1239","52","23.4",""
"81","","The Legend of Zelda: Ocarina of Time","55016220","1573260","8829","124","2051","1234","35","34.97",""
"82","","Fate/Grand Order","54271560","878520","19501","67","1510","1217","19","61.78",""
"83","","Yakuza 0","53542980","1968060","20115","203","3790","1201","44","27.21",""
"84","","MapleStory","53433060","2573640","21223","104","3309","1198","57","20.76",""
"85","","Death's Gambit","52577160","973020","36456","202","2962","1179","21","54.04",""
"86","","VRChat","51499680","3584760","6735","193","5277","1155","80","14.37",""
"87","","The Elder Scrolls V: Skyrim","49257960","4154580","11072","154","10780","1104","93","11.86",""
"88","","Cyberpunk 2077","47848380","46320","453069","226","456","1073","1","1033",""
"89","","Arma 3","47430960","3641040","24231","221","6632","1063","81","13.03",""
"90","","Final Fantasy XIV Online","47095500","5312160","7477","433","8097","1056","119","8.87",""
"91","","Diablo III","46161000","3475200","7816","153","8412","1035","77","13.28",""
