"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","5959942140","81799440","379399","2868","129423","133690","1834","72.86",""
"2","","Counter-Strike: Global Offensive","4342608720","41676360","1233293","2177","110118","97411","934","104.2",""
"3","","Dota 2","2342185680","21574800","231960","877","33380","52538","483","108.56",""
"4","","Hearthstone","2259063660","10763640","97854","415","24800","50674","241","209.88",""
"5","","Overwatch","1542027780","58365840","88338","2423","149853","34590","1309","26.42",""
"6","","Z1: Battle Royale","1223996820","28974000","70909","1139","47926","27456","649","42.24",""
"7","","World of Warcraft","772251480","32825760","45003","2634","43302","17322","736","23.53",""
"8","","Resident Evil 7: Biohazard","614879220","17108940","224481","3497","58099","13792","383","35.94",""
"9","","Minecraft","603291120","21646140","91193","1134","68114","13532","485","27.87",""
"10","","FIFA 17","549042300","10965180","144454","717","36055","12315","245","50.07",""
"11","","Talk Shows & Podcasts","488500860","4675140","314999","697","16797","10957","104","104.49",""
"12","","RuneScape","431179080","5544420","48173","209","8757","9672","124","77.77",""
"13","","Destiny","384565140","68563860","20422","3088","77673","8626","1537","5.61",""
"14","","SMITE","359866380","8949120","103551","405","21572","8072","200","40.21",""
"15","","World of Tanks","346105320","9099960","35956","430","15530","7763","204","38.03",""
"16","","For Honor","332219460","3883920","146765","1633","16258","7452","87","85.54",""
"17","","Heroes of the Storm","329321700","6715500","32608","253","11915","7387","150","49.04",""
"18","","Tom Clancy's Rainbow Six Siege","318673620","22676520","31152","1043","67517","7148","508","14.05",""
"19","","StarCraft II","314994240","3378960","39537","136","5433","7065","75","93.22",""
"20","","Creative","301942320","13121280","33280","479","26789","6773","294","23.01",""
"21","","IRL","285205020","3431160","43932","204","12905","6397","76","83.12",""
"22","","Arma 3","261172920","6906660","43375","422","10912","5858","154","37.81",""
"23","","Grand Theft Auto V","257619060","23093700","44491","1100","88229","5778","518","11.16",""
"24","","Dead by Daylight","257526300","8251800","21384","382","12214","5776","185","31.21",""
"25","","Poker","247300920","2619720","36492","139","2779","5547","58","94.4",""
"26","","The Binding of Isaac: Repentance","225269940","2927160","65155","382","7553","5053","65","76.96",""
"27","","Conan Exiles","197544420","766860","174794","847","3318","4431","17","257.6",""
"28","","NBA 2K17","189007560","12679800","23852","655","41451","4239","284","14.91",""
"29","","Path of Exile","181741440","4808520","23304","185","6110","4076","107","37.8",""
"30","","Pokémon Sun/Moon","162247560","2231820","10651","103","2670","3639","50","72.7",""
"31","","Call of Duty: Infinite Warfare","155990880","8063460","23273","662","40815","3499","180","19.35",""
"32","","Rocket League","141650520","9077460","35737","426","42155","3177","203","15.6",""
"33","","Dark Souls III","140138400","5861700","271174","232","18173","3143","131","23.91",""
"34","","Tom Clancy's The Division","131490780","10964700","25517","457","25175","2949","245","11.99",""
"35","","Ark: Survival Evolved","130058760","11550060","18756","483","24488","2917","259","11.26",""
"36","","Diablo III","129825300","7931520","16772","905","16173","2912","177","16.37",""
"37","","Clash Royale","125348700","1946160","27037","95","5877","2811","43","64.41",""
"38","","Battlefield 1","123128340","15742380","14614","717","63244","2761","353","7.82",""
"39","","Super Smash Bros. Melee","118311360","764820","152438","57","2374","2653","17","154.69",""
"40","","Street Fighter V","117736620","2262720","17394","107","6005","2641","50","52.03",""
"41","","The Forest","112096920","2722440","28096","178","8342","2514","61","41.18",""
"42","","Magic: The Gathering","109864080","828720","21464","49","1159","2464","18","132.57",""
"43","","Black Desert","109285740","4470660","11389","164","5891","2451","100","24.45",""
"44","","Borderlands 2","109224840","2747640","206508","304","6101","2450","61","39.75",""
"45","","Rust","108432360","4560000","37539","299","9907","2432","102","23.78",""
"46","","Call of Duty: Modern Warfare Remastered","104411760","3769860","19383","221","23754","2342","84","27.7",""
"47","","Paladins","100521480","3685860","45152","175","12082","2254","82","27.27",""
"48","","Fallout 4","87581640","4890420","11484","205","14491","1964","109","17.91",""
"49","","DayZ","86044380","3268920","9537","174","5680","1930","73","26.32",""
"50","","Warcraft III","82814400","1284900","19563","60","1515","1857","28","64.45",""
"51","","Super Smash Bros. for Wii U","82457460","975300","75113","69","2022","1849","21","84.55",""
"52","","Bloodborne","74576640","3215040","16804","146","9087","1672","72","23.2",""
"53","","XCOM 2","73146720","1450980","13738","94","3123","1640","32","50.41",""
"54","","Super Mario Maker","70266240","902220","10311","45","1145","1576","20","77.88",""
"55","","Call of Duty: Black Ops III","66478020","15025200","21282","847","57836","1491","337","4.42",""
"56","","Halo 5: Guardians","64844460","3741420","25935","189","9863","1454","83","17.33",""
"57","","The Witcher 3: Wild Hunt","64055580","3193020","21902","142","8096","1436","71","20.06",""
"58","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","63450960","2467680","12981","149","1767","1423","55","25.71",""
"59","","The Legend of Zelda: The Wind Waker HD","62336220","165540","247477","20","378","1398","3","376.56",""
"60","","Music","61979820","1240680","20493","59","4623","1390","27","49.96",""
"61","","Dungeons & Dragons","61943580","862860","34792","89","1414","1389","19","71.79",""
"62","","Madden NFL 17","61520220","11886900","11986","742","32557","1379","266","5.18",""
