"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","67106132760","1467818880","1782765","6392","903868","127689","2792","45.72",""
"2","","Fortnite","63247725480","4315942680","1611930","67544","3140505","120348","8212","14.65",""
"3","","Just Chatting","45583983300","685053600","287294","3315","793331","86737","1303","66.54",""
"4","","Grand Theft Auto V","34734951840","468496620","304053","2729","522072","66093","891","74.14",""
"5","","Dota 2","30181354200","342919740","1045985","1601","199382","57429","652","88.01",""
"6","","Counter-Strike: Global Offensive","27472484100","651743700","833440","2895","772307","52274","1240","42.15",""
"7","","World of Warcraft","25294419540","699906660","1103295","19085","318030","48130","1331","36.14",""
"8","","Apex Legends","20839256940","1315442460","666868","18932","1360598","39653","2503","15.84",""
"9","","Overwatch","17045290620","577819020","321314","2813","543819","32433","1099","29.5",""
"10","","Hearthstone","15012961500","101190900","278075","1572","113116","28566","192","148.36",""
"11","","PUBG: BATTLEGROUNDS","14898951660","645480600","271355","2604","458157","28349","1228","23.08",""
"12","","Minecraft","10648633980","497376540","233472","2979","762104","20262","946","21.41",""
"13","","Teamfight Tactics","10575252300","171328380","358190","2966","217194","20122","326","61.73",""
"14","","Tom Clancy's Rainbow Six Siege","7618289040","568925220","223099","2486","706455","14496","1082","13.39",""
"15","","Dead by Daylight","6400908660","320072820","61337","1678","243092","12179","609","20",""
"16","","Slots","5974577880","38596860","200521","174","22804","11368","73","154.79",""
"17","","Call of Duty: Black Ops 4","5645824440","531893340","220935","4593","494062","10742","1012","10.61",""
"18","","Path of Exile","5538617280","134383140","257319","3094","86463","10538","255","41.22",""
"19","","FIFA 20","5044951020","74978100","249600","2047","101918","9599","142","67.29",""
"20","","Call of Duty: Warzone","4963310040","218690880","387902","13276","398587","9444","416","22.7",""
"21","","Escape from Tarkov","4942730040","166898160","224062","1347","75672","9405","317","29.62",""
"22","","FIFA 19","4872780900","123647160","284483","1434","195911","9271","235","39.41",""
"23","","Magic: The Gathering","4420343400","59089740","155987","431","51834","8411","112","74.81",""
"24","","Destiny 2","4269475260","322450920","228980","7288","263157","8123","613","13.24",""
"25","","Old School RuneScape","3653203680","73843860","83930","332","50933","6951","140","49.47",""
"26","","Music","3540259200","170572320","82015","557","83004","6736","324","20.76",""
"27","","StarCraft II","3481510140","45639780","85514","170","35029","6624","86","76.28",""
"28","","Rocket League","3461691420","195053040","240598","881","333984","6586","371","17.75",""
"29","","Super Smash Bros. Ultimate","3377422620","72622260","271926","799","59996","6426","138","46.51",""
"30","","Special Events","3369287460","14444340","1561858","5125","40445","6411","27","233.26",""
"31","","Talk Shows & Podcasts","3128706360","45803580","295875","609","71572","5953","87","68.31",""
"32","","Art","3056252760","189758640","26437","593","148676","5815","361","16.11",""
"33","","Sea of Thieves","3014058960","111073200","125641","1538","137037","5735","211","27.14",""
"34","","Poker","2970523320","39896700","52745","223","20646","5652","75","74.46",""
"35","","Sekiro: Shadows Die Twice","2707693140","68421960","279037","4679","145142","5152","130","39.57",""
"36","","Super Mario Maker 2","2593169160","31629180","84896","1028","23653","4934","60","81.99",""
"37","","Pokémon Sword/Shield","2286194520","47700960","187166","4414","41796","4350","90","47.93",""
"38","","World of Tanks","2269084080","88021080","61123","499","55668","4317","167","25.78",""
"39","","Auto Chess","2212101180","30225900","65070","348","33170","4209","57","73.19",""
"40","","ASMR","2083922880","30983100","22549","96","10888","3965","58","67.26",""
"41","","Black Desert","2013288660","92563560","62360","377","50653","3830","176","21.75",""
"42","","Final Fantasy XIV Online","1926634200","144201840","132239","2439","71694","3666","274","13.36",""
"43","","Rust","1878266400","88247220","41730","484","92969","3573","167","21.28",""
"44","","Resident Evil 2","1854480660","77936160","314244","6488","150055","3528","148","23.79",""
"45","","Monster Hunter: World","1714765620","101269200","75752","1113","121464","3262","192","16.93",""
"46","","Games + Demos","1596827220","27288060","205693","142","47731","3038","51","58.52",""
"47","","Warcraft III","1590070800","26388420","38299","130","16049","3025","50","60.26",""
"48","","The Elder Scrolls Online","1584982620","52084800","151951","331","48567","3015","99","30.43",""
"49","","Tom Clancy's The Division 2","1565110320","100529160","139221","3544","159268","2978","191","15.57",""
"50","","Borderlands 3","1376336700","67357020","360940","7217","95332","2618","128","20.43",""
"51","","Tibia","1356379020","50886360","17655","219","17875","2580","96","26.66",""
"52","","Death Stranding","1336587420","23634120","290087","2230","37855","2543","44","56.55",""
"53","","Street Fighter V","1305839760","21884220","194951","154","18005","2484","41","59.67",""
"54","","Chess","1246032300","11598300","35609","74","9459","2370","22","107.43",""
"55","","Mortal Kombat 11","1241327220","33459960","202719","2195","70707","2362","63","37.1",""
"56","","SMITE","1240876080","77683200","46442","349","72816","2361","147","15.97",""
"57","","Dota Underlords","1238297700","23275020","62860","611","38856","2356","44","53.2",""
"58","","DayZ","1228659360","62493900","47011","413","62791","2337","118","19.66",""
"59","","World of Warships","1212028020","39239700","17142","170","25230","2306","74","30.89",""
"60","","Atlas","1210946400","29934840","69614","637","17099","2304","56","40.45",""
"61","","Dungeons & Dragons","1194937080","27935340","68207","232","16082","2273","53","42.78",""
"62","","NBA 2K19","1186441560","112710720","43230","893","151084","2257","214","10.53",""
"63","","Tekken 7","1179205080","30769260","236556","200","37993","2243","58","38.32",""
"64","","Retro","1165648860","61317960","86249","211","28273","2218","116","19.01",""
"65","","Heroes of the Storm","1161084360","50941380","26111","205","40399","2209","96","22.79",""
"66","","Warframe","1134275640","86661180","419066","359","94431","2158","164","13.09",""
"67","","Ark: Survival Evolved","1109602260","83812380","33736","445","71912","2111","159","13.24",""
"68","","Diablo III","1093828500","61888620","41511","2018","76990","2081","117","17.67",""
"69","","Red Dead Redemption 2","994129440","94316280","128607","1898","151006","1891","179","10.54",""
"70","","NBA 2K20","975829440","55691940","57229","3034","65705","1856","105","17.52",""
"71","","Anthem","923456160","45026340","328923","4275","81298","1757","85","20.51",""
"72","","Dark Souls III","913732620","54922800","275893","311","90259","1738","104","16.64",""
"73","","Heroes of Might and Magic III: The Shadow of Death","870156300","7441260","18959","45","4066","1655","14","116.94",""
"74","","Star Wars Jedi: Fallen Order","850067520","24931140","200398","2908","69886","1617","47","34.1",""
"75","","Marbles On Stream","774333360","22106640","33925","119","26925","1473","42","35.03",""
"76","","Dark Souls","773153580","25781340","142283","163","36257","1471","49","29.99",""
"77","","Legends of Runeterra","764954400","6446100","236450","1098","16554","1455","12","118.67",""
"78","","Battlefield V","744202260","60176160","144098","1739","145494","1416","114","12.37",""
"79","","Travel & Outdoors","727926540","39502920","107430","239","172019","1385","75","18.43",""
"80","","VRChat","691690320","39160620","21051","281","34180","1316","74","17.66",""
"81","","osu!","690713820","98602740","20411","386","131035","1314","187","7.01",""
