"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","7415993100","183763200","421581","8390","252555","166352","4122","40.36",""
"2","","Just Chatting","6720239160","108513720","360279","4180","248185","150745","2434","61.93",""
"3","","Call of Duty: Warzone","5787571740","256362360","520918","13777","474044","129824","5750","22.58",""
"4","","Counter-Strike: Global Offensive","4007861940","90697140","828949","4667","197089","89902","2034","44.19",""
"5","","Fortnite","3974952360","285008400","289330","12948","497697","89164","6393","13.95",""
"6","","Grand Theft Auto V","3370444020","63365880","184708","3278","110705","75604","1421","53.19",""
"7","","Dota 2","2510948280","32653680","164524","1490","35212","56324","732","76.9",""
"8","","Animal Crossing: New Horizons","1849969620","27318480","244171","4403","40068","41497","612","67.72",""
"9","","Escape from Tarkov","1633977240","55693320","173904","2238","49014","36652","1249","29.34",""
"10","","Hearthstone","1434568560","10529580","108476","433","17509","32179","236","136.24",""
"11","","Minecraft","1378225800","70134360","225095","3744","183753","30915","1573","19.65",""
"12","","Apex Legends","1322141160","103359480","118822","3895","183683","29657","2318","12.79",""
"13","","World of Warcraft","1220240400","65773860","73509","4060","65578","27371","1475","18.55",""
"14","","FIFA 20","1189249380","25175400","227013","2196","62395","26676","564","47.24",""
"15","","Overwatch","935725920","52232400","194372","1983","98914","20989","1171","17.91",""
"16","","Path of Exile","835578480","17543880","117037","3236","17070","18743","393","47.63",""
"17","","PUBG: BATTLEGROUNDS","826530720","37393740","72358","1359","57987","18540","838","22.1",""
"18","","Teamfight Tactics","819050220","18314340","57503","1194","44779","18372","410","44.72",""
"19","","Tom Clancy's Rainbow Six Siege","784271640","68614080","69354","3068","152219","17592","1539","11.43",""
"20","","Dead by Daylight","714679860","35802660","50220","1458","55228","16031","803","19.96",""
"21","","Slots","698063940","4585500","90448","205","3783","15658","102","152.23",""
"22","","Rocket League","629883540","25342500","189258","1518","83660","14129","568","24.85",""
"23","","DOOM Eternal","616541340","19930620","140962","4196","48508","13829","447","30.93",""
"24","","Music","602946720","24546900","137303","1404","29752","13525","550","24.56",""
"25","","Nioh 2","563742120","9033660","123868","754","10544","12645","202","62.4",""
"26","","Destiny 2","556027920","37164300","85865","2334","50146","12472","833","14.96",""
"27","","RimWorld","392910180","3701640","40076","153","4834","8813","83","106.14",""
"28","","Art","348760500","22260180","24127","886","39865","7823","499","15.67",""
"29","","Poker","328511880","4660860","43768","361","4990","7369","104","70.48",""
"30","","Rust","299299740","9814500","24070","494","16495","6713","220","30.5",""
"31","","Old School RuneScape","299092980","6887280","21516","296","7750","6709","154","43.43",""
"32","","Half-Life: Alyx","286228620","3604260","303620","2399","11019","6420","80","79.41",""
"33","","Magic: The Gathering","280976760","4647120","16717","285","7508","6302","104","60.46",""
"34","","StarCraft II","255313140","4257480","78201","238","6087","5727","95","59.97",""
"35","","Mount & Blade II: Bannerlord","252499080","2201700","243038","1380","7274","5663","49","114.68",""
"36","","Ori and the Will of the Wisps","249981600","8526240","68414","1502","18078","5607","191","29.32",""
"37","","World of Tanks","240862260","9121620","23233","454","10943","5402","204","26.41",""
"38","","Tom Clancy's The Division 2","226870380","15895020","72816","1074","30434","5089","356","14.27",""
"39","","Age of Empires II: Definitive Edition","224673120","1967700","54835","135","3459","5039","44","114.18",""
"40","","Talk Shows & Podcasts","224639580","4617600","57359","248","9903","5039","103","48.65",""
"41","","NBA 2K20","223891020","19931700","40615","1159","44954","5022","447","11.23",""
"42","","Black Desert","214711980","10565580","13271","359","11948","4816","237","20.32",""
"43","","ASMR","213980700","3503040","25076","109","1408","4799","78","61.08",""
"44","","Super Mario Maker 2","185080560","2756700","19694","126","3865","4151","61","67.14",""
"45","","Super Smash Bros. Ultimate","184129440","6280440","40498","358","12335","4130","140","29.32",""
"46","","Ark: Survival Evolved","181470420","13530180","23061","625","16504","4070","303","13.41",""
"47","","Monster Hunter: World","179223120","13866120","22233","764","21266","4020","311","12.93",""
"48","","Games + Demos","174023460","3052620","57908","132","9135","3903","68","57.01",""
"49","","Pokémon Sword/Shield","172583040","6759180","18471","299","9303","3871","151","25.53",""
"50","","SMITE","171559620","7879860","12149","378","14324","3848","176","21.77",""
"51","","Chess","159333840","1502400","43863","117","2054","3574","33","106.05",""
"52","","Tibia","158869740","6202680","8955","295","4893","3563","139","25.61",""
"53","","Warcraft III","146486820","2838480","25982","124","3543","3285","63","51.61",""
"54","","World of Warships","140032800","3705480","11615","160","4587","3141","83","37.79",""
"55","","Sea of Thieves","128035140","10417500","32892","703","20210","2872","233","12.29",""
