"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","5303342940","73035000","553165","2945","113251","122933","1692","72.61",""
"2","","Counter-Strike: Global Offensive","4303392780","43298640","1059002","2119","97614","99754","1003","99.39",""
"3","","Dota 2","2561478600","19189920","341103","815","30056","59375","444","133.48",""
"4","","Hearthstone","2487427020","13799100","280643","1220","33921","57659","319","180.26",""
"5","","Dark Souls III","1078759020","44982120","103991","3238","94233","25006","1042","23.98",""
"6","","Call of Duty: Black Ops III","876517260","71326440","157156","3583","194704","20317","1653","12.29",""
"7","","World of Warcraft","460521720","17016540","55342","1011","27131","10675","394","27.06",""
"8","","Minecraft","456320340","24970560","61290","1398","72014","10577","578","18.27",""
"9","","Tom Clancy's The Division","423722160","32520420","37151","1651","72495","9822","753","13.03",""
"10","","Talk Shows & Podcasts","397383480","3288120","54860","181","11123","9211","76","120.85",""
"11","","World of Tanks","379948740","7329780","146906","341","12836","8807","169","51.84",""
"12","","Destiny","351225060","34130520","83004","2489","57812","8141","791","10.29",""
"13","","RuneScape","322056120","4488240","24109","171","7738","7465","104","71.76",""
"14","","Creative","256508040","8923440","38276","336","18246","5945","206","28.75",""
"15","","FIFA 16","255496560","9721440","84769","593","34861","5922","225","26.28",""
"16","","Heroes of the Storm","240952260","6667860","45892","325","12612","5585","154","36.14",""
"17","","StarCraft II","230651460","3249360","22631","139","5131","5346","75","70.98",""
"18","","Poker","215760420","2308620","18731","135","2340","5001","53","93.46",""
"19","","SMITE","211489260","10424880","23020","449","25390","4902","241","20.29",""
"20","","Street Fighter V","200021700","2656080","72891","204","7748","4636","61","75.31",""
"21","","Overwatch","198892140","4168920","38505","1129","9592","4610","96","47.71",""
"22","","Z1: Battle Royale","194312700","7270140","32008","280","10901","4504","168","26.73",""
"23","","Arma 3","187823220","5128260","37967","277","7708","4353","118","36.63",""
"24","","NBA 2K16","177596700","12729660","33636","730","35093","4116","295","13.95",""
"25","","The Culling","172414920","2552100","43594","124","5623","3996","59","67.56",""
"26","","Grand Theft Auto V","142371780","18828480","20608","992","66195","3300","436","7.56",""
"27","","Super Smash Bros. Melee","136979160","736860","63236","53","1992","3175","17","185.9",""
"28","","Magic: The Gathering","130059960","886500","27090","56","1073","3014","20","146.71",""
"29","","Enter the Gungeon","129389340","2904480","39857","307","9249","2999","67","44.55",""
"30","","Path of Exile","115915920","3499740","15518","173","4580","2686","81","33.12",""
"31","","Rocket League","115672320","10350840","34764","530","46316","2681","239","11.18",""
"32","","Tom Clancy's Rainbow Six Siege","98947140","8623020","35253","409","22162","2293","199","11.47",""
"33","","Warcraft III","98540760","1186020","26269","69","1311","2284","27","83.09",""
"34","","Super Mario Maker","94924200","1235520","19580","66","1679","2200","28","76.83",""
