"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","5662633560","81722640","530270","2903","129172","127021","1833","69.29",""
"2","","Counter-Strike: Global Offensive","2869971780","49806300","372654","2197","120849","64378","1117","57.62",""
"3","","Dota 2","2711153580","26003820","315083","1100","44074","60815","583","104.26",""
"4","","Hearthstone","2396169540","14154180","131357","517","36170","53749","317","169.29",""
"5","","Call of Duty: Black Ops III","969183420","69094680","71639","3620","214054","21740","1549","14.03",""
"6","","Minecraft","613863360","29400120","64432","1538","88820","13769","659","20.88",""
"7","","World of Warcraft","526287120","20578680","46130","1180","33375","11805","461","25.57",""
"8","","Z1: Battle Royale","473674260","12334140","41588","460","21396","10625","276","38.4",""
"9","","Talk Shows & Podcasts","461302140","3194100","84051","148","10779","10347","71","144.42",""
"10","","FIFA 16","419308500","12218760","145728","756","46462","9405","274","34.32",""
"11","","StarCraft II","394027560","4425180","60355","178","7133","8838","99","89.04",""
"12","","Diablo III","374140080","13109400","57383","2185","25458","8392","294","28.54",""
"13","","Destiny","353554380","33096900","18783","1741","60340","7930","742","10.68",""
"14","","Blade & Soul","316215060","11056740","67256","1099","22637","7093","248","28.6",""
"15","","World of Tanks","299617620","7701360","39358","368","16121","6720","172","38.9",""
"16","","Tom Clancy's Rainbow Six Siege","291962340","14528040","25742","694","42244","6549","325","20.1",""
"17","","RuneScape","277971420","4477680","18809","167","7628","6235","100","62.08",""
"18","","Tom Clancy's The Division","269756100","3707940","148710","2008","28361","6051","83","72.75",""
"19","","Grand Theft Auto V","240857760","24430320","32724","1197","85441","5402","548","9.86",""
"20","","SMITE","227322060","6842460","70542","296","15389","5099","153","33.22",""
"21","","Creative","190872420","7186560","69027","310","15551","4281","161","26.56",""
"22","","Poker","189063780","2186700","18034","126","2527","4241","49","86.46",""
"23","","Super Mario Maker","183467340","1650720","232989","77","2288","4115","37","111.14",""
"24","","Heroes of the Storm","181471740","6178620","34216","268","12972","4070","138","29.37",""
"25","","Darkest Dungeon","159873600","1990440","40249","158","4900","3586","44","80.32",""
"26","","Arma 3","152570280","5173140","32132","275","8771","3422","116","29.49",""
"27","","DayZ","139260720","4302900","30208","208","6985","3123","96","32.36",""
"28","","NBA 2K16","136526460","11766540","15285","678","34202","3062","263","11.6",""
"29","","Magic: The Gathering","131250540","836340","21482","50","1015","2944","18","156.93",""
"30","","Ark: Survival Evolved","117112500","5583600","19486","241","9575","2627","125","20.97",""
"31","","Halo 5: Guardians","110810640","4992240","40639","259","14525","2485","111","22.2",""
"32","","Super Smash Bros. Melee","107435880","638280","114935","55","1895","2409","14","168.32",""
"33","","Music","103161240","1898820","27359","88","4925","2314","42","54.33",""
"34","","Super Smash Bros. for Wii U","103130220","1264200","92079","95","2899","2313","28","81.58",""
"35","","Path of Exile","102119220","3782280","5337","157","5160","2290","84","27",""
"36","","Fallout 4","100916280","16178580","12713","781","51042","2263","362","6.24",""
"37","","Rocket League","94017840","9061680","68040","402","36282","2108","203","10.38",""
"38","","Dragon's Dogma: Dark Arisen","90671460","2094720","37730","381","4363","2033","46","43.29",""
"39","","The Legend of Zelda: Ocarina of Time","90522720","755160","15007","58","1206","2030","16","119.87",""
"40","","Punch Club","84650220","708180","43813","61","2345","1898","15","119.53",""
"41","","The Binding of Isaac: Repentance","81515340","1923540","14111","86","4543","1828","43","42.38",""
"42","","Rust","80774400","2864040","30867","137","6432","1811","64","28.2",""
"43","","Bloodborne","78021180","5183040","199060","257","17349","1750","116","15.05",""
"44","","The Elder Scrolls V: Skyrim","71554800","1928040","32296","82","4854","1605","43","37.11",""
"45","","Madden NFL 16","70757280","11314140","18054","649","31696","1587","253","6.25",""
"46","","Dark Souls","70568100","1814100","14051","89","3882","1582","40","38.9",""
"47","","XCOM: Enemy Within","69101520","964680","12424","44","1601","1550","21","71.63",""
"48","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","68595420","1606080","23981","87","1542","1538","36","42.71",""
"49","","Euro Truck Simulator 2","66587820","2876220","33826","168","7000","1493","64","23.15",""
"50","","The Legend of Zelda: Majora's Mask","60677340","262740","141110","22","460","1361","5","230.94",""
"51","","Pokémon Omega Ruby/Alpha Sapphire","59532960","1214220","11278","61","1428","1335","27","49.03",""
"52","","Duelyst","52203360","476340","21769","31","1172","1171","10","109.59",""
"53","","Garry's Mod","50878860","2100360","26432","133","8326","1141","47","24.22",""
"54","","Super Mario 64","49732380","540060","174067","31","1129","1115","12","92.09",""
"55","","osu!","46704240","4280100","9349","192","14698","1047","96","10.91",""
"56","","Star Wars Battlefront","44595300","5361900","7165","322","0","1000","120","8.32",""
"57","","Mortal Kombat X","43882920","1816500","31993","87","7840","984","40","24.16",""
"58","","Dark Souls II: Scholar of the First Sin","43407180","3519780","6539","141","9195","973","78","12.33",""
