"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","14888679180","205240200","2787896","8240","464702","333976","4603","72.54",""
"2","","Rust","11428109280","68825340","1373791","3249","91592","256350","1543","166.05",""
"3","","League of Legends","10246918500","261264000","689503","11606","294795","229854","5860","39.22",""
"4","","Escape from Tarkov","6650855460","95691360","441410","4268","67458","149189","2146","69.5",""
"5","","Fortnite","6078394980","443819040","997440","19348","689937","136348","9955","13.7",""
"6","","Minecraft","4804565400","215511780","931417","9892","443494","107774","4834","22.29",""
"7","","Call of Duty: Warzone","4803444480","198242700","424575","9097","225044","107748","4446","24.23",""
"8","","Grand Theft Auto V","4443641880","121966680","327587","5660","185072","99677","2735","36.43",""
"9","","Counter-Strike: Global Offensive","3653982300","100172280","592921","4598","178120","81964","2247","36.48",""
"10","","FIFA 21","3323107320","70824900","837094","7733","137198","74542","1588","46.92",""
"11","","VALORANT","3271781700","180077700","227959","7100","258468","73391","4039","18.17",""
"12","","World of Warcraft","2683085520","114411360","146763","6800","91451","60185","2566","23.45",""
"13","","Dota 2","2372756040","43292580","153186","1810","33400","53224","971","54.81",""
"14","","Apex Legends","2194771800","170197260","154317","7377","232847","49232","3817","12.9",""
"15","","Among Us","1874648280","39662580","269117","2436","139022","42051","889","47.26",""
"16","","Music","1563553380","52479960","139051","2873","53538","35072","1177","29.79",""
"17","","Hearthstone","1452496980","12230880","71807","502","15518","32581","274","118.76",""
"18","","Rocket League","1389155220","83745120","152575","3824","293877","31160","1878","16.59",""
"19","","Path of Exile","1275550860","21616620","295628","4123","16957","28612","484","59.01",""
"20","","Dead by Daylight","1222112820","69882720","73905","2752","94512","27413","1567","17.49",""
"21","","Chess","1100753340","6207720","152923","342","15850","24691","139","177.32",""
"22","","Slots","1085389800","6544560","65621","281","5223","24347","146","165.85",""
"23","","Tom Clancy's Rainbow Six Siege","1049666520","76254180","106881","3415","148541","23545","1710","13.77",""
"24","","Overwatch","925819680","56720100","61609","2069","94343","20767","1272","16.32",""
"25","","Genshin Impact","768824700","36664140","108838","2100","59438","17245","822","20.97",""
"26","","Teamfight Tactics","746130420","18351240","68462","1300","36735","16736","411","40.66",""
"27","","PUBG: BATTLEGROUNDS","717188520","43126680","157160","1521","46576","16087","967","16.63",""
"28","","Call of Duty: Black Ops Cold War","700805940","85231260","83962","4166","153514","15720","1911","8.22",""
"29","","Call Of Duty: Modern Warfare","673080540","296892000","41712","13547","362233","15098","6659","2.27",""
"30","","Art","620924280","38455620","38255","1381","62346","13928","862","16.15",""
"31","","Garena Free Fire","594977100","17482200","73508","771","26400","13346","392","34.03",""
"32","","SMITE","466071000","15546900","97040","873","20972","10454","348","29.98",""
"33","","Mario Kart 8","464309100","3708660","156188","340","11713","10415","83","125.2",""
"34","","Poker","460482180","6064740","62257","373","5675","10329","136","75.93",""
"35","","Stardew Valley","452937120","19004040","42766","767","37286","10160","426","23.83",""
"36","","Eternal Return","423766740","9304560","73707","430","12573","9505","208","45.54",""
"37","","Bloons TD 6","407470260","4596420","70898","235","13867","9140","103","88.65",""
"38","","Sports","407407200","3349560","147178","194","6803","9138","75","121.63",""
"39","","Talk Shows & Podcasts","398966580","9754380","98387","498","15929","8949","218","40.9",""
"40","","Destiny 2","382164240","36846360","22283","1826","46462","8572","826","10.37",""
"41","","ASMR","374146080","6080040","18382","190","4501","8392","136","61.54",""
"42","","World of Tanks","374086380","12656460","36501","672","12220","8391","283","29.56",""
"43","","NBA 2K21","357078360","37244640","38259","1840","55995","8009","835","9.59",""
"44","","HITMAN 3","341999580","4453920","202902","909","11193","7671","99","76.79",""
