"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","4880963880","74501760","323032","2562","36118","109487","1671","65.51",""
"2","","Hearthstone","3022497840","12454680","226842","691","11857","67799","279","242.68",""
"3","","Dota 2","2699072700","18126780","431587","816","8792","60544","406","148.9",""
"4","","Counter-Strike: Global Offensive","1834574760","35664840","240717","1731","27104","41152","800","51.44",""
"5","","Overwatch","1330731120","51468660","90315","2288","35354","29850","1154","25.86",""
"6","","Z1: Battle Royale","959527260","22208880","84161","882","10169","21523","498","43.2",""
"7","","World of Warcraft","725987040","27348360","52035","1678","14620","16285","613","26.55",""
"8","","Talk Shows & Podcasts","507964440","4509300","242891","271","4732","11394","101","112.65",""
"9","","Minecraft","480259440","19399980","72870","944","14232","10772","435","24.76",""
"10","","FIFA 17","472018440","10034880","62984","591","7465","10588","225","47.04",""
"11","","Destiny","386092020","88869420","28192","4151","28010","8660","1993","4.34",""
"12","","RuneScape","348041640","4743240","70300","215","2327","7807","106","73.38",""
"13","","Dead by Daylight","328740960","8329560","25607","445","3384","7374","186","39.47",""
"14","","Path of Exile","324044280","6998400","24787","764","2616","7268","156","46.3",""
"15","","Final Fantasy XV","320763480","33161340","49761","2781","31893","7195","743","9.67",""
"16","","Creative","316645200","11411760","36900","466","7298","7102","255","27.75",""
"17","","World of Tanks","307931880","8043300","58323","379","3798","6907","180","38.28",""
"18","","Arma 3","274130220","5820180","32481","318","2754","6149","130","47.1",""
"19","","Heroes of the Storm","266238240","6651120","22624","253","3609","5972","149","40.03",""
"20","","StarCraft II","257361540","3176040","23512","132","1694","5773","71","81.03",""
"21","","Friday the 13th: The Game","256172340","1208460","111155","308","0","5746","27","211.98",""
"22","","Pokémon Sun/Moon","251684340","2834820","24349","137","1293","5645","63","88.78",""
"23","","Tom Clancy's Rainbow Six Siege","210469140","17476560","24180","787","12847","4721","392","12.04",""
"24","","Poker","201862500","2136420","18348","128","828","4528","47","94.49",""
"25","","Street Fighter V","186254880","2047800","117299","229","1117","4177","45","90.95",""
"26","","Grand Theft Auto V","176394960","21774360","31606","1134","13275","3956","488","8.1",""
