"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","7088590980","541629780","418403","22408","1013029","159008","12149","13.09",""
"2","","League of Legends","4324491060","105748080","341821","3480","174717","97005","2372","40.89",""
"3","","Just Chatting","3263205180","41060460","223139","1847","115690","73198","921","79.47",""
"4","","Dota 2","1977974640","27935400","255770","1310","37524","44369","626","70.81",""
"5","","Hearthstone","1868235360","11344560","205322","1181","25679","41907","254","164.68",""
"6","","PUBG: BATTLEGROUNDS","1690785360","63666420","124698","2399","112351","37926","1428","26.56",""
"7","","Counter-Strike: Global Offensive","1534086840","52475160","273822","3173","150135","34411","1177","29.23",""
"8","","Super Smash Bros. Ultimate","1459988040","20591220","226029","3619","33515","32749","461","70.9",""
"9","","Atlas","1160434620","9056640","318887","2104","14786","26030","203","128.13",""
"10","","Call of Duty: Black Ops 4","1117420320","72558960","207622","3893","175422","25065","1627","15.4",""
"11","","Overwatch","1011732180","58133340","50545","2496","132283","22694","1304","17.4",""
"12","","FIFA 19","980407020","18591240","167405","1063","56638","21992","417","52.73",""
"13","","Path of Exile","966126600","19949880","115737","3008","21982","21671","447","48.43",""
"14","","World of Warcraft","822949980","34753080","63603","2291","46933","18460","779","23.68",""
"15","","Dead by Daylight","593670780","26352480","46689","1057","45644","13316","591","22.53",""
"16","","Grand Theft Auto V","562455240","19927620","59845","1018","55273","12616","447","28.22",""
"17","","Tom Clancy's Rainbow Six Siege","557458500","44724300","53408","1776","124937","12504","1003","12.46",""
"18","","Casino","470014560","2540400","95879","179","1947","10543","56","185.02",""
"19","","Lost Ark","469469760","7018020","47942","451","4804","10530","157","66.89",""
"20","","Sea of Thieves","465834900","7607100","70031","537","15655","10449","170","61.24",""
"21","","Destiny 2","432227520","32719380","109447","2663","54062","9695","733","13.21",""
"22","","Warframe","402730080","10050660","49705","441","20325","9033","225","40.07",""
"23","","Old School RuneScape","400230660","6866940","91808","249","10688","8977","154","58.28",""
"24","","Music","395159100","12392400","50673","387","13559","8864","277","31.89",""
"25","","Minecraft","383858220","17794860","35755","769","49820","8610","399","21.57",""
"26","","Talk Shows & Podcasts","378990000","4387020","92525","262","15229","8501","98","86.39",""
"27","","Magic: The Gathering","356252400","5475720","39841","218","10560","7991","122","65.06",""
"28","","Slots","292939200","2332920","43992","172","1382","6571","52","125.57",""
"29","","Pokémon: Let's Go, Pikachu!","290589900","5963880","36604","466","10820","6518","133","48.72",""
"30","","Poker","253893900","3821400","34327","211","3762","5695","85","66.44",""
"31","","Art","243255000","12880440","29628","478","24716","5456","288","18.89",""
"32","","World of Tanks","238960980","9253500","22320","436","12328","5360","207","25.82",""
"33","","Escape from Tarkov","236409120","9448140","51087","574","10345","5303","211","25.02",""
"34","","StarCraft II","235527360","4269660","40913","164","6872","5283","95","55.16",""
"35","","Always On","225715680","607140","22611","19","43","5063","13","371.77",""
"36","","Black Desert","210033000","8130240","19518","392","9423","4711","182","25.83",""
"37","","Battlefield V","208218240","13578540","41386","716","44553","4670","304","15.33",""
"38","","Red Dead Redemption 2","205432140","23149500","28659","2010","69566","4608","519","8.87",""
"39","","Artifact","204430680","4525020","64803","448","8903","4585","101","45.18",""
"40","","Rocket League","184708380","15617040","77058","650","56693","4143","350","11.83",""
"41","","Street Fighter V","183345900","2418300","94636","150","5176","4112","54","75.82",""
"42","","Warcraft III","182132940","2359620","38170","98","2601","4085","52","77.19",""
"43","","Heroes of the Storm","180940260","6611640","15716","308","11352","4058","148","27.37",""
"44","","DayZ","167737620","4741560","58655","386","10780","3762","106","35.38",""
"45","","Ark: Survival Evolved","163382820","8368800","45885","383","11598","3664","187","19.52",""
"46","","The Game Awards","157007040","458160","819968","2126","2577","3521","10","342.69",""
"47","","Ring Of Elysium","152451840","14785680","44110","913","37287","3419","331","10.31",""
