"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","4465331940","73759440","377429","2620","118820","103507","1709","60.54",""
"2","","PUBG: BATTLEGROUNDS","4384342260","118052460","216000","4354","178706","101630","2736","37.14",""
"3","","Hearthstone","2296648620","11136600","127786","408","24288","53237","258","206.23",""
"4","","Dota 2","1742809680","18119700","206831","718","26486","40398","420","96.18",""
"5","","Counter-Strike: Global Offensive","1637427900","33442560","287694","1521","91958","37956","775","48.96",""
"6","","Destiny 2","1135640880","90252300","203487","14140","131862","26324","2092","12.58",""
"7","","IRL","1056208680","15484200","137735","558","47742","24483","358","68.21",""
"8","","Overwatch","1004804700","45482700","65265","2655","111470","23291","1054","22.09",""
"9","","World of Warcraft","690148860","27901020","66513","1677","38641","15997","646","24.74",""
"10","","Grand Theft Auto V","533806140","16596660","48385","835","45911","12373","384","32.16",""
"11","","FIFA 18","393976020","5605680","77228","1550","22276","9132","129","70.28",""
"12","","Tom Clancy's Rainbow Six Siege","359396700","23805780","45911","1293","69176","8330","551","15.1",""
"13","","Rocket League","331258560","8831640","85291","429","34138","7678","204","37.51",""
"14","","Heroes of the Storm","325326660","8130180","29333","301","14140","7541","188","40.01",""
"15","","RuneScape","314073600","5401620","61019","215","9259","7280","125","58.14",""
"16","","Fortnite","282199800","12595020","77600","2146","50095","6541","291","22.41",""
"17","","Talk Shows & Podcasts","274224180","2623680","76251","279","9154","6356","60","104.52",""
"18","","Path of Exile","270316740","8516700","25862","382","11509","6266","197","31.74",""
"19","","Minecraft","241265940","13441560","51860","684","37948","5592","311","17.95",""
"20","","Z1: Battle Royale","239394420","12492300","38273","598","23001","5549","289","19.16",""
"21","","Divinity: Original Sin II","224858880","5512980","56005","394","8886","5212","127","40.79",""
"22","","Dead by Daylight","215435220","10955520","34493","544","19934","4993","253","19.66",""
"23","","Poker","208018680","2114940","27167","132","2334","4821","49","98.36",""
"24","","StarCraft II","199807380","3279300","35322","131","5328","4631","76","60.93",""
"25","","Creative","198889440","13023300","16004","488","25522","4610","301","15.27",""
"26","","World of Tanks","197508540","6202740","27618","290","8820","4578","143","31.84",""
"27","","Ark: Survival Evolved","190176360","9060300","21882","397","16328","4408","210","20.99",""
"28","","Casino_old","169421460","729660","22949","36","670","3927","16","232.19",""
"29","","The Elder Scrolls: Legends","167819640","1487280","7404","63","1176","3890","34","112.84",""
"30","","XCOM 2: War of the Chosen","160027260","2855160","20635","199","2933","3709","66","56.05",""
"31","","NBA 2K18","154061520","8182980","43330","1847","23307","3571","189","18.83",""
"32","","Black Desert","150686640","6136260","19042","219","6406","3492","142","24.56",""
"33","","SMITE","147378360","5374560","17624","225","10615","3416","124","27.42",""
"34","","Marvel vs. Capcom: Infinite","122544720","896340","47255","213","3997","2840","20","136.72",""
"35","","Street Fighter V","121583100","1525440","34506","82","3777","2818","35","79.7",""
"36","","Call of Duty: WWII","108211500","4325040","72880","1239","33079","2508","100","25.02",""
"37","","Cuphead","96320820","1281120","106835","900","8153","2232","29","75.18",""
"38","","Gwent: The Witcher Card Game","95480040","1321920","11339","70","2199","2213","30","72.23",""
"39","","Magic: The Gathering","94669800","925680","23187","64","1225","2194","21","102.27",""
"40","","Rust","80576220","3256680","11632","187","6295","1867","75","24.74",""
"41","","Warcraft III","78617580","1274400","21011","62","1385","1822","29","61.69",""
"42","","Total War: Warhammer II","78051300","664380","38377","299","1821","1809","15","117.48",""
"43","","Call of Duty: Ghosts","75073860","2041320","17545","152","5765","1740","47","36.78",""
"44","","Dark Souls III","74513280","4027080","17419","157","11739","1727","93","18.5",""
"45","","Madden NFL 18","68479980","10069860","11953","682","24923","1587","233","6.8",""
"46","","Clash Royale","67770360","976440","27064","60","2252","1570","22","69.41",""
"47","","Tekken 7","67204440","1719540","19476","68","6629","1557","39","39.08",""
"48","","Super Mario 64","65539140","1026180","7734","63","2294","1519","23","63.87",""
"49","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","65301120","2784960","8905","156","1868","1513","64","23.45",""
"50","","Music","65168640","3495120","7373","121","4698","1510","81","18.65",""
"51","","StarCraft","63173040","1248000","11692","54","2313","1464","28","50.62",""
"52","","Dungeons & Dragons","55837380","1398900","25906","118","1981","1294","32","39.92",""
"53","","Paladins","52148520","4362720","13054","195","12609","1208","101","11.95",""
"54","","Summoners War: Sky Arena","51097020","961260","22954","54","1049","1184","22","53.16",""
"55","","Final Fantasy XIV Online","48870360","4814880","12362","421","7621","1132","111","10.15",""
"56","","Battlefield 1","48293340","6526500","29758","386","23754","1119","151","7.4",""
"57","","Super Smash Bros. Melee","47831400","838500","22138","66","2285","1108","19","57.04",""
"58","","FIFA 17","47714340","2910600","44803","249","12695","1106","67","16.39",""
"59","","Golf It!","47611980","343500","37163","40","2297","1103","7","138.61",""
"60","","Guild Wars 2","47534880","3153360","17260","432","4659","1101","73","15.07",""
"61","","Super Smash Bros. for Wii U","47453700","872400","13187","68","1679","1099","20","54.39",""
"62","","Pokémon Sun/Moon","47183580","1549800","6272","77","1883","1093","35","30.44",""
"63","","Super Mario Maker","45330360","656280","6924","38","745","1050","15","69.07",""
"64","","Retro","44374440","2418840","5067","109","3153","1028","56","18.35",""
"65","","Monster Hunter Generations Ultimate","44362500","751020","13084","43","590","1028","17","59.07",""
"66","","Shadowverse","43717080","804660","15112","91","1541","1013","18","54.33",""
"67","","Darkwood","43359960","321780","23706","35","1024","1005","7","134.75",""
"68","","Warframe","43207800","4932600","25270","198","11212","1001","114","8.76",""
"69","","Mario + Rabbids Kingdom Battle","43036800","874740","12316","130","1823","997","20","49.2",""
"70","","Heroes of Might and Magic III: The Shadow of Death","42808140","299400","30509","22","374","992","6","142.98",""
"71","","Arma 3","42351480","3411120","9560","243","6465","981","79","12.42",""
"72","","Tibia","41239620","1446180","3937","70","1740","955","33","28.52",""
"73","","Diablo III","40674240","2943960","9257","141","6743","942","68","13.82",""
"74","","The Binding of Isaac: Repentance","38993400","930480","18946","53","2961","903","21","41.91",""
"75","","Blade & Soul","38342760","2260680","7743","158","3017","888","52","16.96",""
"76","","The Legend of Zelda: Breath of the Wild","38155380","1311060","31713","71","2373","884","30","29.1",""
"77","","Escape from Tarkov","37147320","2126280","7225","122","2836","861","49","17.47",""
