"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","VALORANT","20673118740","275300820","1728977","15710","319709","479209","6381","75.09",""
"2","","Just Chatting","8515378680","138202020","548653","4912","272519","197389","3203","61.62",""
"3","","League of Legends","8151568320","207689700","727437","8802","243651","188956","4814","39.25",""
"4","","Fortnite","5862050160","444791700","832660","59676","565926","135884","10310","13.18",""
"5","","Counter-Strike: Global Offensive","5200389660","118878840","535624","5542","215744","120546","2755","43.75",""
"6","","Call of Duty: Warzone","4809858840","332559600","389980","13207","436487","111494","7708","14.46",""
"7","","Grand Theft Auto V","4544666040","87022560","240860","4233","122286","105346","2017","52.22",""
"8","","Dota 2","3268624320","40435980","360147","1747","34147","75767","937","80.83",""
"9","","Minecraft","2467664160","100162560","317297","4077","196386","57201","2321","24.64",""
"10","","World of Warcraft","1980780780","79571760","150840","4515","68562","45915","1844","24.89",""
"11","","Hearthstone","1757679840","15137160","159643","1313","20427","40743","350","116.12",""
"12","","FIFA 20","1603365060","42500520","252777","3825","87226","37166","985","37.73",""
"13","","Final Fantasy VII Remake","1415324820","65242320","229292","9298","54928","32807","1512","21.69",""
"14","","Teamfight Tactics","1368326640","23609100","121033","821","44358","31718","547","57.96",""
"15","","Animal Crossing: New Horizons","1349649840","31170240","130992","1759","38121","31285","722","43.3",""
"16","","Escape from Tarkov","1155314340","43976820","266055","1697","34297","26780","1019","26.27",""
"17","","Music","1111952640","37875420","185533","1954","43889","25775","877","29.36",""
"18","","Apex Legends","1016873100","99514320","74276","3877","135535","23571","2306","10.22",""
"19","","Resident Evil 3","930399360","24948060","318002","5619","51549","21566","578","37.29",""
"20","","Slots","839611320","4897620","114814","230","4130","19462","113","171.43",""
"21","","Overwatch","822515100","52544280","82477","2087","87545","19066","1217","15.65",""
"22","","Mount & Blade II: Bannerlord","806788800","13103580","132049","1010","17732","18701","303","61.57",""
"23","","Dead by Daylight","778293060","40428960","68689","1790","55513","18041","937","19.25",""
"24","","PUBG: BATTLEGROUNDS","717048480","37188720","71953","1371","45116","16621","862","19.28",""
"25","","Tom Clancy's Rainbow Six Siege","683610540","77620080","42454","3131","136957","15846","1799","8.81",""
"26","","Path of Exile","564248400","14398680","26884","598","10489","13079","333","39.19",""
"27","","Rocket League","493203660","31530720","141539","1322","87995","11432","730","15.64",""
"28","","Old School RuneScape","443051100","9112740","37832","329","8735","10270","211","48.62",""
"29","","Last Oasis","440187480","8226720","89047","736","6704","10203","190","53.51",""
"30","","Poker","432023580","6032760","54989","417","6024","10014","139","71.61",""
"31","","Destiny 2","431834400","34729620","58881","1881","40966","10010","805","12.43",""
"32","","Art","416557980","26850240","23175","968","40925","9655","622","15.51",""
"33","","Magic: The Gathering","396427560","7000620","43689","492","8446","9189","162","56.63",""
"34","","NBA 2K20","383402700","33927120","36322","1619","54702","8887","786","11.3",""
"35","","Garena Free Fire","343324080","6262140","151000","403","6173","7958","145","54.83",""
"36","","Talk Shows & Podcasts","310181940","5901000","52404","260","10272","7190","136","52.56",""
"37","","StarCraft II","271002720","4609680","31283","175","5603","6281","106","58.79",""
"38","","World of Tanks","269922540","10697280","22183","543","10399","6256","247","25.23",""
"39","","Super Mario Maker 2","269754600","3644580","48011","342","5159","6253","84","74.02",""
"40","","Sea of Thieves","262069200","15136800","78018","992","23402","6074","350","17.31",""
"41","","ASMR","260514780","3229800","14535","108","1614","6038","74","80.66",""
"42","","SMITE","244295640","10375980","22708","459","14382","5662","240","23.54",""
"43","","The Elder Scrolls Online","230834520","6968160","39160","298","8874","5350","161","33.13",""
"44","","Chess","227098920","2097960","47638","123","2713","5264","48","108.25",""
"45","","Rust","224573760","11404140","40997","742","15530","5205","264","19.69",""
"46","","Black Desert","224133540","10326360","9591","352","9179","5195","239","21.7",""
