"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"79","","Vainglory","21357000","448800","8476","25","611","495","10","47.59",""
"80","","Games + Demos","21309060","193080","14684","21","800","493","4","110.36",""
"81","","Team Fortress 2","21087360","1298460","3143","66","4398","488","30","16.24",""
"82","","The Sims 4","20941620","673620","19325","46","1942","485","15","31.09",""
"83","","7 Days to Die","20187000","2115360","5047","950","7022","467","49","9.54",""
"84","","Garry's Mod","20097120","1605360","11534","99","6093","465","37","12.52",""
"85","","The Elder Scrolls V: Skyrim","20041980","1828140","5215","80","4577","464","42","10.96",""
"86","","Mario Kart 8","19967040","269340","41765","25","966","462","6","74.13",""
"87","","Super Mario 64","19376700","515160","14336","46","1082","449","11","37.61",""
"88","","The Legend of Zelda: Ocarina of Time","19193880","575160","11857","40","930","444","13","33.37",""
"89","","M.U.G.E.N","18946560","47580","937","4","39","439","1","398.2",""
"90","","Warframe","18452700","4077240","10718","198","11013","427","94","4.53",""
"91","","Call of Duty: Black Ops II","17547060","1757940","11764","90","4373","406","40","9.98",""
"92","","Outlast","16765920","1199220","12539","69","7485","388","27","13.98",""
"93","","Guild Wars 2","16619940","1165080","6577","65","2087","385","27","14.27",""
"94","","EVE Online","16151520","470580","4872","26","750","374","10","34.32",""
"95","","Neverwinter","16117680","512340","3137","29","1194","373","11","31.46",""
"96","","Casino Games","15982020","221100","12030","19","328","370","5","72.28",""
"97","","Town of Salem","15728640","481800","44627","35","1951","364","11","32.65",""
"98","","Borderlands 2","15606240","1154040","12750","63","3377","361","26","13.52",""
"99","","Ragnarok Online","14577180","428040","4638","47","546","337","9","34.06",""
"100","","Drawful 2","14506080","199560","33320","50","1178","336","4","72.69",""
