"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","6433687260","408068160","590940","51473","846724","144317","9153","15.77",""
"2","","League of Legends","6170614440","127199820","816163","4081","181289","138416","2853","48.51",""
"3","","Grand Theft Auto V","4483424940","44340780","184274","1806","79099","100570","994","101.11",""
"4","","Just Chatting","3639162060","53698560","194008","1834","139132","81632","1204","67.77",""
"5","","Dota 2","2802623940","29449140","402168","1257","37723","62867","660","95.17",""
"6","","World of Warcraft","2442974280","42795960","207693","2812","53664","54799","959","57.08",""
"7","","Counter-Strike: Global Offensive","1779682920","51600660","234864","2268","129622","39921","1157","34.49",""
"8","","Overwatch","1484300460","50623020","260129","2133","106609","33295","1135","29.32",""
"9","","Hearthstone","1475300100","10362180","86318","541","21818","33093","232","142.37",""
"10","","PUBG: BATTLEGROUNDS","1427183160","58777200","117161","2071","86148","32013","1318","24.28",""
"11","","Apex Legends","838565340","82420740","64389","3109","175115","18810","1848","10.17",""
"12","","Auto Chess","728169600","8149620","60338","324","12948","16333","182","89.35",""
"13","","FIFA 19","647388660","15834120","134539","1192","44941","14521","355","40.89",""
"14","","Tom Clancy's Rainbow Six Siege","571374180","44867940","135807","1753","122817","12816","1006","12.73",""
"15","","Minecraft","535108260","34261920","75748","1467","95355","12003","768","15.62",""
"16","","Call of Duty: Black Ops 4","523526100","49258920","91531","1964","98719","11743","1104","10.63",""
"17","","Dead by Daylight","508056660","25533180","56597","998","43860","11396","572","19.9",""
"18","","Magic: The Gathering","453695580","6774960","59137","294","12038","10177","151","66.97",""
"19","","Slots","386053740","2918340","34182","113","2315","8659","65","132.29",""
"20","","MORDHAU","358182540","10776720","50641","544","28649","8034","241","33.24",""
"21","","Music","348673980","14527860","22161","449","14399","7821","325","24",""
"22","","Rocket League","348524280","16948080","116136","667","64145","7817","380","20.56",""
"23","","Poker","339175740","3410280","32709","215","3437","7608","76","99.46",""
"24","","Escape from Tarkov","328203660","13085940","32931","494","12878","7362","293","25.08",""
"25","","Total War: Three Kingdoms","325179060","2740140","62063","514","4856","7294","61","118.67",""
