"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","10228712820","156467040","508828","5233","328529","229446","3509","65.37",""
"2","","League of Legends","8553094320","195058140","707347","7440","229635","191859","4375","43.85",""
"3","","Fall Guys","6776300460","135468180","713229","7272","395663","152003","3038","50.02",""
"4","","Fortnite","5928845640","477731700","497250","21768","663479","132993","10716","12.41",""
"5","","Call of Duty: Warzone","5059167540","405269520","951957","31506","445223","113485","9090","12.48",""
"6","","Grand Theft Auto V","4999216620","90935280","374879","3525","125748","112140","2039","54.98",""
"7","","VALORANT","3267731700","181019520","564404","8000","256154","73300","4060","18.05",""
"8","","Counter-Strike: Global Offensive","2894600640","64273740","313425","2526","117920","64930","1441","45.04",""
"9","","Minecraft","2421699600","116537880","374683","4520","244197","54322","2614","20.78",""
"10","","Dota 2","2295120300","33297360","170474","1247","26864","51483","746","68.93",""
"11","","Among Us","1832267520","22272900","266564","3044","73330","41100","499","82.26",""
"12","","World of Warcraft","1815080820","73678680","125034","4059","66062","40715","1652","24.64",""
"13","","Apex Legends","1544903100","123088380","173116","5970","166678","34654","2761","12.55",""
"14","","Hearthstone","1520489100","11440200","115789","941","14666","34106","256","132.91",""
"15","","Dead by Daylight","1332975540","61485180","86217","2261","83980","29900","1379","21.68",""
"16","","Music","1289715480","39085380","100859","1509","35380","28930","876","33",""
"17","","Escape from Tarkov","949783260","39575040","50345","1431","30460","21305","887","24",""
"18","","Overwatch","770090820","49579560","63488","2179","81557","17274","1112","15.53",""
"19","","Slots","766122000","4964400","97445","194","3637","17185","111","154.32",""
"20","","Tom Clancy's Rainbow Six Siege","749077680","74200680","114613","3038","137891","16802","1664","10.1",""
"21","","PUBG: BATTLEGROUNDS","686940240","36042780","120025","1275","39123","15409","808","19.06",""
"22","","New World","668004060","9962280","344240","2986","17706","14984","223","67.05",""
"23","","Rocket League","586389660","29099460","182628","1134","82809","13153","652","20.15",""
"24","","Teamfight Tactics","536104380","11347740","90594","415","23579","12025","254","47.24",""
"25","","FIFA 20","517550220","22852320","41935","1235","46172","11609","512","22.65",""
"26","","Art","466505640","29556720","33743","985","45084","10464","663","15.78",""
"27","","Special Events","466477440","2290140","1061765","2241","7027","10463","51","203.69",""
"28","","Garena Free Fire","454815060","8103780","283174","370","11399","10202","181","56.12",""
"29","","Destiny 2","453527640","45455280","26071","2480","50050","10173","1019","9.98",""
"30","","Chess","445220220","2756580","92999","121","5374","9986","61","161.51",""
"31","","NBA 2K20","443583540","40522380","76106","2017","62815","9950","908","10.95",""
"32","","Microsoft Flight Simulator","409075440","6688920","216593","987","15899","9176","150","61.16",""
"33","","Poker","405305400","4703400","124617","317","4744","9091","105","86.17",""
"34","","Rogue Company","380857440","26412300","146743","1919","55621","8543","592","14.42",""
"35","","Warframe","373156440","11888580","433443","1352","14877","8370","266","31.39",""
"36","","Path of Exile","342412560","7539960","26106","350","5688","7680","169","45.41",""
"37","","Talk Shows & Podcasts","326316840","6609900","97129","342","10535","7319","148","49.37",""
"38","","Lost Ark","312875100","3132180","53622","237","2773","7018","70","99.89",""
"39","","SMITE","308806260","13482120","25241","595","18501","6927","302","22.9",""
"40","","ASMR","293093400","4342740","13691","140","2102","6574","97","67.49",""
"41","","Magic: The Gathering","281417460","5489760","24171","242","6859","6312","123","51.26",""
"42","","Horizon Zero Dawn","279958620","10629480","91067","1658","16500","6279","238","26.34",""
"43","","Old School RuneScape","271105980","8128440","18013","299","7200","6081","182","33.35",""
"44","","Rust","263049600","10995000","48044","667","15124","5900","246","23.92",""
"45","","Sea of Thieves","252191100","19189620","46219","844","31000","5657","430","13.14",""
"46","","StarCraft II","249347700","4743180","20715","167","5610","5593","106","52.57",""
"47","","Hyper Scape","248956380","17076840","124014","1796","47132","5584","383","14.58",""
"48","","DayZ","247137000","8439780","106528","383","10369","5543","189","29.28",""
"49","","Tibia","243685020","7966200","15040","352","5226","5466","178","30.59",""
"50","","World of Tanks","239445480","8058360","33817","435","7545","5371","180","29.71",""
"51","","Risk of Rain 2","236944740","8189760","77577","825","19954","5315","183","28.93",""
"52","","Mortal Shell","234691020","4057020","138779","872","9007","5264","91","57.85",""
"53","","Black Desert","232290720","8714580","16699","296","7446","5210","195","26.66",""
"54","","Games + Demos","212097120","3627600","69696","136","8971","4757","81","58.47",""
"55","","Final Fantasy XIV Online","203878140","20094300","19206","1521","21528","4573","450","10.15",""
"56","","Pokémon Sword/Shield","190176420","6507780","99618","254","7952","4265","145","29.22",""
"57","","VRChat","188478960","5838120","28042","282","8890","4227","130","32.28",""
"58","","Sports","182031480","2249400","37705","144","3676","4083","50","80.92",""
"59","","Dungeons & Dragons","179462940","4717920","85514","401","7105","4025","105","38.04",""
"60","","The Elder Scrolls Online","175542660","7300980","27529","293","8929","3937","163","24.04",""
"61","","World of Warships","173374620","4562040","15732","195","4526","3889","102","38",""
"62","","Age of Empires II: Definitive Edition","171626940","2438100","154059","95","3211","3849","54","70.39",""
"63","","Scrutinized","168812580","606660","86338","59","1903","3786","13","278.27",""
"64","","Retro","167554680","7909620","12014","297","8661","3758","177","21.18",""
"65","","Grounded","156273000","9446880","30297","1044","26672","3505","211","16.54",""
"66","","Guild Wars 2","143715240","3274200","34421","141","4182","3223","73","43.89",""
"67","","Ghost of Tsushima","143420820","21349500","18373","1433","27817","3217","478","6.72",""
"68","","Super Smash Bros. Ultimate","139219140","7705020","17072","440","12453","3122","172","18.07",""
"69","","MapleStory","137516640","4462800","19305","216","4644","3084","100","30.81",""
"70","","Legends of Runeterra","136886700","2480940","51472","338","4183","3070","55","55.18",""
"71","","Darkest Dungeon","136415940","1102140","16182","47","2198","3060","24","123.77",""
"72","","EA Sports UFC 4","135216600","1402080","67130","191","5400","3033","31","96.44",""
"73","","Dark Souls III","134403480","9118800","18612","345","16455","3014","204","14.74",""
"74","","Animal Crossing: New Horizons","134171160","6547560","16121","429","12106","3009","146","20.49",""
"75","","Marvel's Avengers","132799200","3280020","103095","753","13395","2978","73","40.49",""
"76","","Heroes of the Storm","127636020","4767720","14071","190","5543","2863","106","26.77",""
"77","","Madden NFL 21","122902260","5961060","39671","1326","13289","2756","133","20.62",""
"78","","Street Fighter V","120708780","2940240","36339","189","4729","2707","65","41.05",""
"79","","Monster Hunter: World","120221520","10347660","28881","504","15880","2696","232","11.62",""
"80","","Warcraft III","119753940","2132220","30470","93","2068","2686","47","56.16",""
"81","","Science & Technology","117357060","9287880","11921","308","8558","2632","208","12.64",""
"82","","Super Mario Maker 2","113248920","2620860","11908","113","3453","2540","58","43.21",""
"83","","Heroes of Might and Magic III: The Shadow of Death","112826100","909600","18250","51","633","2530","20","124.04",""
"84","","Remnant: From the Ashes","111339360","12342660","52768","976","27987","2497","276","9.02",""
"85","","Red Dead Redemption 2","110385300","15250080","9385","637","20736","2476","342","7.24",""
"86","","Marbles On Stream","107799180","3646140","19463","186","12886","2418","81","29.57",""
"87","","Food & Drink","107499900","1863540","23492","86","5978","2411","41","57.69",""
"88","","F1 2020","99397740","5289180","18230","491","11984","2229","118","18.79",""
"89","","Brawlhalla","98437500","6511080","31930","275","20676","2208","146","15.12",""
"90","","PGA TOUR 2K21","98144340","2646720","58027","500","6368","2201","59","37.08",""
"91","","Ark: Survival Evolved","96946080","13233480","5719","533","13889","2174","296","7.33",""
"92","","osu!","95189940","11997240","9576","441","30337","2135","269","7.93",""
"93","","SCP: Secret Laboratory","95126040","1095180","95543","70","3579","2133","24","86.86",""
"94","","Wasteland 3","94214100","1175160","52734","369","2658","2113","26","80.17",""
"95","","Krunker","93080040","2756520","15661","140","4290","2087","61","33.77",""
"96","","For The King","82237560","506520","56517","68","1572","1844","11","162.36",""
"97","","7 Days to Die","81619980","7387380","12154","301","9189","1830","165","11.05",""
"98","","Epic Seven","79521840","1086660","21079","50","1022","1783","24","73.18",""
"99","","Clash Royale","79500780","1324980","19487","69","2649","1783","29","60",""
"100","","Roblox","79408920","15920220","6311","590","35109","1781","357","4.99",""
