"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","10892194920","156157800","839576","6961","314436","244329","3502","69.75",""
"2","","VALORANT","8686823100","285807900","790635","16287","363116","194859","6411","30.39",""
"3","","League of Legends","7661908320","211061700","504630","8347","245122","171868","4734","36.3",""
"4","","Fortnite","7370531340","614742240","623197","39752","749518","165332","13789","11.99",""
"5","","Grand Theft Auto V","6002999820","126114840","373709","5847","197660","134656","2828","47.6",""
"6","","Call of Duty: Warzone","5499887040","351727560","352914","14850","420751","123371","7889","15.64",""
"7","","Counter-Strike: Global Offensive","4607208480","107027280","380494","4853","187999","103346","2400","43.05",""
"8","","Dota 2","3061430820","43044060","199291","1758","33057","68672","965","71.12",""
"9","","Minecraft","2465486280","106930320","481719","4034","210206","55304","2398","23.06",""
"10","","FIFA 20","2423410500","56481420","256298","4961","105866","54360","1266","42.91",""
"11","","World of Warcraft","2202139620","83921940","123076","4731","69030","49397","1882","26.24",""
"12","","Apex Legends","1847533140","143391000","222753","8000","178385","41443","3216","12.88",""
"13","","Music","1600503180","46525320","170584","2168","50281","35901","1043","34.4",""
"14","","Hearthstone","1356690660","12400440","66948","483","15434","30432","278","109.41",""
"15","","Teamfight Tactics","1286465700","20279520","68163","711","37590","28857","454","63.44",""
"16","","Escape from Tarkov","1026849600","41373060","125105","4195","35078","23033","928","24.82",""
"17","","Dead by Daylight","983465580","49395240","128138","2183","62995","22060","1108","19.91",""
"18","","Overwatch","889155540","56146860","142904","2434","87808","19945","1259","15.84",""
"19","","PUBG: BATTLEGROUNDS","853046880","35681940","72660","1220","40736","19135","800","23.91",""
"20","","Slots","848419260","5230980","100892","225","4263","19031","117","162.19",""
"21","","Sea of Thieves","802935900","23085420","76126","992","33764","18011","517","34.78",""
"22","","Terraria","797965140","23245140","125768","4989","39524","17899","521","34.33",""
"23","","Tom Clancy's Rainbow Six Siege","689009820","80286060","106988","2972","139671","15455","1800","8.58",""
"24","","Animal Crossing: New Horizons","609046920","18360060","58370","862","25999","13661","411","33.17",""
"25","","Old School RuneScape","557628900","9990300","77627","352","8980","12508","224","55.82",""
"26","","Poker","552772200","5947680","66482","378","5481","12399","133","92.94",""
"27","","NBA 2K20","518280120","42362580","61229","1868","62943","11625","950","12.23",""
"28","","Minecraft Dungeons","485756940","17493840","199475","5340","46892","10896","392","27.77",""
"29","","Chess","480874680","2732760","81672","208","5060","10786","61","175.97",""
"30","","Art","463601940","29237280","30391","1010","43298","10399","655","15.86",""
"31","","Talk Shows & Podcasts","418203120","6695340","413745","379","11278","9380","150","62.46",""
"32","","Rocket League","417536520","32126700","92615","1202","87250","9366","720","13",""
"33","","Destiny 2","412714860","32940960","33126","1490","37636","9257","738","12.53",""
"34","","Special Events","360030720","2282940","541073","676","4834","8076","51","157.7",""
"35","","Legends of Runeterra","348426000","7469940","55832","333","13640","7815","167","46.64",""
"36","","Magic: The Gathering","332312280","6396420","19364","393","7599","7454","143","51.95",""
"37","","Path of Exile","326835060","8063520","20628","386","6467","7331","180","40.53",""
"38","","Garena Free Fire","315627900","11143140","73967","516","8209","7080","249","28.32",""
"39","","The Elder Scrolls Online","303075180","6738960","48995","329","7674","6798","151","44.97",""
"40","","StarCraft II","298981260","5116980","30027","183","5740","6706","114","58.43",""
"41","","Super Mario 64","290323920","2378340","47195","104","4102","6512","53","122.07",""
"42","","ASMR","285585180","3485580","15521","107","1652","6406","78","81.93",""
"43","","SMITE","280798740","11195040","32960","491","15103","6298","251","25.08",""
"44","","Dark Souls III","258320580","11152320","43941","421","18693","5794","250","23.16",""
"45","","Super Mario Maker 2","257396340","3934140","25509","173","5158","5773","88","65.43",""
"46","","SnowRunner","247207260","10463880","57672","651","12536","5545","234","23.62",""
"47","","Games + Demos","243832560","3851760","40050","196","9358","5469","86","63.3",""
"48","","World of Tanks","241368000","10286280","22401","548","9489","5414","230","23.47",""
"49","","Rust","238964700","11912520","40436","755","15413","5360","267","20.06",""
"50","","Black Desert","227564580","10887180","38909","362","8699","5104","244","20.9",""
"51","","Super Smash Bros. Ultimate","211156680","7975260","38697","430","12123","4736","178","26.48",""
"52","","Tibia","209875200","8839380","10977","400","5649","4707","198","23.74",""
"53","","Red Dead Redemption 2","205688820","14109480","24318","570","22278","4613","316","14.58",""
"54","","Madden NFL 20","196687980","16708020","43829","929","28434","4412","374","11.77",""
"55","","Final Fantasy VII Remake","196673940","16154280","42902","1059","19541","4411","362","12.17",""
"56","","Warcraft III","188920860","2653140","25153","113","2354","4237","59","71.21",""
"57","","F1 2019","182998320","3273840","150704","282","10710","4104","73","55.9",""
"58","","World of Warships","181967100","4907280","15875","238","4789","4081","110","37.08",""
"59","","Retro","177556920","7972380","12242","315","8574","3982","178","22.27",""
"60","","Age of Empires II: Definitive Edition","173136000","2707620","29594","118","3623","3883","60","63.94",""
"61","","Monster Hunter: World","167689860","11774220","34107","556","15953","3761","264","14.24",""
"62","","Star Citizen","164403240","4750140","35775","327","5091","3687","106","34.61",""
"63","","Scrap Mechanic","151164660","3940800","114076","329","6519","3390","88","38.36",""
"64","","VRChat","149156160","5342280","22944","243","7914","3345","119","27.92",""
"65","","Pokémon Sword/Shield","146352060","5988300","12536","240","7190","3282","134","24.44",""
"66","","Maneater","144887820","2986680","111724","774","7754","3250","66","48.51",""
"67","","MapleStory","144140760","4432380","16661","181","3964","3233","99","32.52",""
"68","","Fallout 76","142195380","8974080","22899","499","10289","3189","201","15.85",""
"69","","Crucible","141085980","3779520","122695","1371","13344","3164","84","37.33",""
"70","","Marbles On Stream","139573620","4488180","59363","194","13601","3130","100","31.1",""
"71","","Assassin's Creed Odyssey","138916440","6935880","17395","291","13504","3116","155","20.03",""
"72","","Final Fantasy XIV Online","136907220","16699620","11933","1059","16916","3071","374","8.2",""
"73","","Korean Baseball League","135741060","226980","44930","62","245","3044","5","598.03",""
"74","","The Sims 4","135565560","4907820","31223","210","11717","3040","110","27.62",""
"75","","Pummel Party","132916920","2238660","101819","198","9890","2981","50","59.37",""
"76","","Mortal Kombat 11","132399120","4632900","93972","825","9449","2969","103","28.58",""
"77","","Heroes of the Storm","130073580","5470080","12825","217","6096","2917","122","23.78",""
"78","","Heroes of Might and Magic III: The Shadow of Death","129318540","881520","13395","50","756","2900","19","146.7",""
"79","","iRacing","126995100","6248520","23949","543","6636","2848","140","20.32",""
"80","","Sekiro: Shadows Die Twice","122591040","3476700","14474","163","8659","2749","77","35.26",""
"81","","Detroit: Become Human","122116800","1245300","96478","70","4681","2739","27","98.06",""
"82","","The Legend of Zelda: Breath of the Wild","120380640","3604200","27416","151","5193","2700","80","33.4",""
"83","","Dark Souls","119784960","4394940","43047","202","7205","2686","98","27.26",""
"84","","Ark: Survival Evolved","119670240","12223320","20631","505","11787","2684","274","9.79",""
