"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"75","","Black Desert","172747800","5745000","29291","224","6762","4290","142","30.07",""
"76","","NBA 2K22","164694120","19382760","29555","1147","58980","4090","481","8.5",""
"77","","World of Warships","160065420","3579000","25242","193","5212","3975","88","44.72",""
"78","","Dofus","154344840","2331240","51973","393","2717","3833","57","66.21",""
"79","","Games + Demos","153781200","20496780","59029","835","105058","3819","509","7.5",""
"80","","Super Mario 64","150034800","2095740","67617","112","4858","3726","52","71.59",""
"81","","The Sims 4","149443560","5935920","44979","317","20002","3711","147","25.18",""
"82","","Madden NFL 22","148444560","13907820","65306","924","44877","3687","345","10.67",""
"83","","Cities: Skylines","148419420","1686660","84726","91","5751","3686","41","88",""
"84","","Dark Souls","142115520","4435980","28431","227","10321","3529","110","32.04",""
"85","","Heroes of Might and Magic III: The Restoration of Erathia","140086140","1311360","20772","80","909","3479","32","106.83",""
"86","","Roblox","136134000","20374200","78804","981","150485","3381","506","6.68",""
"87","","Animal Crossing: New Horizons","132817200","4469760","17104","203","9638","3298","111","29.71",""
"88","","Travel & Outdoors","127282380","3922440","96043","142","10291","3161","97","32.45",""
"89","","Brawlhalla","118274580","4443480","43451","219","28531","2937","110","26.62",""
"90","","God of War","118102080","9392760","30126","656","29282","2933","233","12.57",""
"91","","Goose Goose Duck","117086820","1884120","49335","168","7660","2908","46","62.14",""
"92","","MapleStory","115489800","3532560","16678","187","3837","2868","87","32.69",""
"93","","Animals, Aquariums, and Zoos","114927300","7246980","12211","227","3593","2854","180","15.86",""
"94","","The King of Fighters XV","112414860","2038620","25580","372","5910","2792","50","55.14",""
"95","","Street Fighter V","101759940","2132940","143276","153","4709","2527","52","47.71",""
"96","","Anime World","99213240","937620","57493","49","1242","2464","23","105.81",""
"97","","Dungeons & Dragons","94633800","4322700","66968","403","8490","2350","107","21.89",""
"98","","New World","94462440","5703420","26944","340","8812","2346","141","16.56",""
"99","","Ark: Survival Evolved","92763000","12081240","29194","503","28661","2304","300","7.68",""
"100","","Tibia","91012560","4751400","7945","240","4433","2260","118","19.15",""
