"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","5430535320","342296460","1299699","47033","619076","121815","7678","15.87",""
"2","","Teamfight Tactics","4100175000","61682640","358190","2966","110297","91973","1383","66.47",""
"3","","League of Legends","4092627540","108211020","280370","3413","179936","91804","2427","37.82",""
"4","","Grand Theft Auto V","3762995280","54147780","217246","2729","108065","84409","1214","69.49",""
"5","","Just Chatting","3637474500","56368620","175774","1771","146862","81594","1264","64.53",""
"6","","Dota 2","2458511880","27708180","278581","1081","35274","55148","621","88.73",""
"7","","Counter-Strike: Global Offensive","2442001020","54854280","407519","2224","138472","54777","1230","44.52",""
"8","","World of Warcraft","2216545320","42292380","218084","3039","47346","49720","948","52.41",""
"9","","Overwatch","1754247120","48223680","206996","1769","101433","39350","1081","36.38",""
"10","","Apex Legends","1649203560","99548820","232821","6402","193078","36994","2233","16.57",""
"11","","PUBG: BATTLEGROUNDS","1315463220","57970920","97726","2165","89261","29507","1300","22.69",""
"12","","Minecraft","1123828200","65793900","152011","2547","172853","25209","1475","17.08",""
"13","","Super Mario Maker 2","1001899920","11383380","78727","701","14975","22474","255","88.01",""
"14","","Hearthstone","678549900","5815020","70561","250","11514","15220","130","116.69",""
"15","","Tom Clancy's Rainbow Six Siege","644113380","54174720","66962","1975","140104","14448","1215","11.89",""
"16","","Call of Duty: Black Ops 4","529967520","51368100","81713","2213","89759","11888","1152","10.32",""
"17","","Dead by Daylight","515235660","26446080","37274","916","46790","11557","593","19.48",""
"18","","Path of Exile","466604580","12211200","29067","490","13183","10466","273","38.21",""
"19","","Destiny 2","375253740","28059540","30731","1617","42494","8417","629","13.37",""
"20","","Slots","360630840","2729820","72565","109","2497","8089","61","132.11",""
"21","","Magic: The Gathering","344669520","4756320","32612","311","8349","7731","106","72.47",""
"22","","FIFA 19","338691720","11087580","157634","689","28856","7597","248","30.55",""
"23","","Dota Underlords","316908180","6613920","22869","305","14548","7108","148","47.92",""
"24","","Final Fantasy XIV Online","303943920","20217420","23624","1833","23022","6817","453","15.03",""
"25","","StarCraft II","278079840","3748140","59758","133","5921","6237","84","74.19",""
"26","","Rust","262665840","9586140","41730","457","18145","5892","215","27.4",""
"27","","Old School RuneScape","252067920","6187740","23261","239","8372","5654","138","40.74",""
"28","","Art","251955420","16075500","14360","574","28328","5651","360","15.67",""
"29","","Music","251070900","14776440","18299","454","13127","5631","331","16.99",""
"30","","Warframe","239611620","9170100","419066","359","17442","5374","205","26.13",""
"31","","DayZ","237082140","8356740","47011","347","13293","5318","187","28.37",""
"32","","Rocket League","218019360","16952880","56243","634","63382","4890","380","12.86",""
"33","","Talk Shows & Podcasts","206878860","3391980","90644","135","7784","4640","76","60.99",""
"34","","Poker","202765500","3179160","24074","190","3120","4548","71","63.78",""
"35","","Black Desert","198487980","8780400","13110","309","9416","4452","196","22.61",""
"36","","ASMR","192884880","2565420","9036","82","1348","4326","57","75.19",""
"37","","They Are Billions","186861240","1544280","22019","83","2126","4191","34","121",""
"38","","Super Smash Bros. Ultimate","185838420","5038380","51242","799","10431","4168","113","36.88",""
"39","","NBA 2K19","183225840","14014620","24707","662","35665","4110","314","13.07",""
"40","","Escape from Tarkov","181907580","9770640","12637","375","10144","4080","219","18.62",""
"41","","Games + Demos","172908180","2281200","36365","98","7082","3878","51","75.8",""
"42","","World of Tanks","168262260","6399120","14358","302","8434","3774","143","26.29",""
"43","","Fire Emblem: Three Houses","159442800","3150720","34642","833","5109","3576","70","50.61",""
"44","","The Elder Scrolls Online","133829700","4531020","26418","178","6924","3002","101","29.54",""
"45","","Ark: Survival Evolved","131580060","9365640","10695","393","12697","2951","210","14.05",""
"46","","Sea of Thieves","128389980","5479860","50956","248","12189","2879","122","23.43",""
"47","","Monster Hunter: World","125496180","8451300","22005","403","18572","2815","189","14.85",""
"48","","Warcraft III","106494240","1919100","21305","81","1993","2388","43","55.49",""
"49","","Tibia","105231780","4652880","7455","208","4396","2360","104","22.62",""
"50","","Tekken 7","103783440","2573580","29620","95","6461","2328","57","40.33",""
"51","","The Witcher 3: Wild Hunt","99031440","4213380","19077","197","9779","2221","94","23.5",""
"52","","World of Warships","97373280","3048180","8078","160","4026","2184","68","31.94",""
