"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","17372874660","212676060","975333","8037","474257","402709","4929","81.69",""
"2","","Grand Theft Auto V","14366339040","150532560","1116923","7043","211141","333016","3489","95.44",""
"3","","League of Legends","9419650200","215563200","938847","8343","260952","218350","4996","43.7",""
"4","","Call of Duty: Warzone","6034296420","215784660","1654695","22657","218805","139877","5001","27.96",""
"5","","Fortnite","5646740220","348618540","498791","17877","588089","130893","8081","16.2",""
"6","","VALORANT","5138149800","206106540","456071","8565","306540","119104","4777","24.93",""
"7","","Minecraft","4783717560","186759240","763078","8914","405918","110888","4329","25.61",""
"8","","Counter-Strike: Global Offensive","4204369140","87895980","442510","4182","158206","97458","2037","47.83",""
"9","","Apex Legends","3085503300","221320260","177682","8162","297846","71523","5130","13.94",""
"10","","Dota 2","2987121420","39970680","379835","1668","32754","69242","926","74.73",""
"11","","FIFA 21","1919849280","51423480","280430","4131","99006","44502","1192","37.33",""
"12","","World of Warcraft","1736147700","70475340","157874","4963","61988","40244","1633","24.63",""
"13","","Rocket League","1578193680","79599840","214487","3996","241744","36583","1845","19.83",""
"14","","Tom Clancy's Rainbow Six Siege","1449920100","65724960","138725","3326","135325","33609","1523","22.06",""
"15","","Music","1448364420","60526260","91294","2811","58338","33573","1403","23.93",""
"16","","Hearthstone","1385404560","12348780","83246","553","16526","32114","286","112.19",""
"17","","Slots","1317216900","7204020","190826","277","5177","30533","166","182.84",""
"18","","Dead by Daylight","1291477800","73284900","128125","2981","99018","29936","1698","17.62",""
"19","","Escape from Tarkov","1243195020","49543560","160575","1947","39253","28817","1148","25.09",""
"20","","Among Us","1166898720","20909940","375391","4332","87073","27049","484","55.81",""
"21","","Path of Exile","1147477200","19028340","320831","4075","16702","26598","441","60.3",""
"22","","Chess","1019117340","5914200","163548","307","13061","23623","137","172.32",""
"23","","The Binding of Isaac: Repentance","985609500","12271980","71753","651","21305","22846","284","80.31",""
"24","","Teamfight Tactics","900409500","18529140","114721","1713","36550","20871","429","48.59",""
"25","","Outriders","856169340","53577120","181538","6632","68168","19846","1241","15.98",""
"26","","It Takes Two","820078200","17347080","230196","1072","41757","19009","402","47.27",""
"27","","PUBG: BATTLEGROUNDS","788669820","36627000","84101","1459","39155","18281","849","21.53",""
"28","","Garena Free Fire","766819080","20503080","139453","1005","29999","17775","475","37.4",""
"29","","Rust","766404480","17728860","122912","1396","23343","17765","410","43.23",""
"30","","Overwatch","734398680","48182820","74604","2220","84414","17023","1116","15.24",""
"31","","Call Of Duty: Modern Warfare","656844960","269725200","63692","35271","356138","15225","6252","2.44",""
"32","","Sports","654358500","5262480","204973","418","11327","15168","121","124.34",""
"33","","Art","623232900","38883300","50245","1447","63925","14446","901","16.03",""
"34","","Sea of Thieves","618099060","26954520","141852","1580","45956","14327","624","22.93",""
"35","","Genshin Impact","572163660","29995920","85750","2626","53069","13262","695","19.07",""
"36","","Enlisted","563876520","9737640","493883","1221","26446","13070","225","57.91",""
"37","","Poker","529196400","5580540","59501","362","5024","12266","129","94.83",""
"38","","Lost Ark","493277820","7463520","76434","517","4774","11434","173","66.09",""
"39","","ASMR","489185880","6474780","28893","212","5323","11339","150","75.55",""
"40","","Monster Hunter Rise","454058640","25821480","54202","1736","27321","10525","598","17.58",""
"41","","Talk Shows & Podcasts","453600180","11859000","98509","711","18751","10514","274","38.25",""
"42","","Call of Duty: Black Ops Cold War","417786720","62601060","66989","4071","121427","9684","1451","6.67",""
"43","","Destiny 2","396946800","33079560","33860","1740","41859","9201","766","12",""
"44","","NBA 2K21","379602960","37427220","50075","1951","61785","8799","867","10.14",""
"45","","SMITE","377913420","13478040","36655","630","18181","8760","312","28.04",""
"46","","Magic: The Gathering","348987300","6579720","41013","491","9254","8089","152","53.04",""
"47","","Diablo II: Resurrected","318413400","666540","403891","203","1775","7380","15","477.71",""
"48","","World of Tanks","316274160","9616320","34123","523","9720","7331","222","32.89",""
"49","","Ark: Survival Evolved","304094580","16718880","43145","738","23231","7049","387","18.19",""
"50","","League of Legends: Wild Rift","278760960","10524540","53444","685","15629","6461","243","26.49",""
"51","","DayZ","275457300","12145260","47381","554","14354","6385","281","22.68",""
"52","","Old School RuneScape","265740600","7450320","17507","274","6620","6159","172","35.67",""
"53","","Diablo III","259896540","10760040","51231","1610","15191","6024","249","24.15",""
"54","","Fall Guys","252162360","13253700","119237","702","49275","5845","307","19.03",""
"55","","Hunt: Showdown","247305900","13211880","44510","701","16139","5732","306","18.72",""
"56","","Travel & Outdoors","236279700","5760600","124200","188","4229","5477","133","41.02",""
