"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15572813820","184616940","942556","6259","601893","349322","4141","84.35",""
"2","","League of Legends","8313739020","148549080","684463","5036","242170","186490","3332","55.97",""
"3","","Elden Ring","7895949120","331890720","519859","14659","434645","177118","7444","23.79",""
"4","","Grand Theft Auto V","7675969980","121528080","465143","5414","260867","172184","2726","63.16",""
"5","","VALORANT","6628853460","218952960","376658","7434","404788","148695","4911","30.28",""
"6","","Fortnite","4368990420","229981080","685560","14479","792664","98003","5158","19",""
"7","","Apex Legends","4088174700","242251260","242146","8925","489397","91704","5434","16.88",""
"8","","Counter-Strike: Global Offensive","3358459320","51895620","360389","2341","133185","75335","1164","64.72",""
"9","","World of Warcraft","3354279480","57331920","284679","4420","52850","75241","1286","58.51",""
"10","","Lost Ark","2458874760","64095000","206110","2943","80352","55156","1437","38.36",""
"11","","Call of Duty: Warzone","2317823880","133199520","139024","6138","196766","51992","2987","17.4",""
"12","","Slots","2222837280","6267240","116199","250","6664","49861","140","354.68",""
"13","","Dota 2","2084321400","34088880","187801","1355","43660","46754","764","61.14",""
"14","","Minecraft","1850217600","96822900","420147","4382","361526","41503","2171","19.11",""
"15","","FIFA 22","1390461960","36717060","166112","2320","128059","31190","823","37.87",""
"16","","Dead by Daylight","1334371020","81969900","119817","4000","131831","29932","1838","16.28",""
"17","","Music","1323279240","53789940","73874","1962","78564","29683","1206","24.6",""
"18","","Hearthstone","1055005500","7200540","50580","263","12285","23665","161","146.52",""
"19","","Teamfight Tactics","976872540","14733840","85629","476","38389","21912","330","66.3",""
"20","","Escape from Tarkov","942763800","41510580","47446","1477","38046","21147","931","22.71",""
"21","","Rust","915932160","16516320","136869","979","31147","20545","370","55.46",""
"22","","Sports","914599620","6232140","373701","509","24938","20515","139","146.76",""
"23","","Destiny 2","800230140","60206460","357728","19199","93492","17950","1350","13.29",""
"24","","PUBG: BATTLEGROUNDS","746331960","37275420","64979","1305","68260","16741","836","20.02",""
"25","","Rocket League","716575560","40369380","241879","1762","160871","16073","905","17.75",""
"26","","ASMR","710221260","8291460","40453","249","15877","15931","185","85.66",""
"27","","Overwatch","585227160","29250780","89382","1051","70963","13127","656","20.01",""
"28","","Genshin Impact","561237180","36054300","540080","3086","84151","12589","808","15.57",""
"29","","Art","539894880","34073520","43603","1159","72744","12110","764","15.84",""
"30","","Tom Clancy's Rainbow Six Siege","526884120","35444160","63663","2013","117323","11818","795","14.87",""
"31","","Virtual Casino","427476780","1423860","87726","86","2124","9588","31","300.22",""
"32","","Chess","411549780","2868240","86411","135","6823","9231","64","143.49",""
"33","","Talk Shows & Podcasts","390025680","10610580","129432","539","25290","8748","238","36.76",""
"34","","Special Events","388577820","2631180","404131","1357","14504","8716","59","147.68",""
"35","","World of Tanks","358298520","7982040","33737","391","12738","8037","179","44.89",""
"36","","Mario Kart 8 Deluxe","342159180","5780880","129335","1165","23427","7675","129","59.19",""
"37","","WWE 2K22","340896000","9526620","144561","734","25064","7646","213","35.78",""
"38","","I'm Only Sleeping","329165580","5358000","59459","239","5437","7383","120","61.43",""
"39","","Mahjong Soul","296416740","1691400","54977","132","4002","6649","37","175.25",""
"40","","Super Smash Bros. Ultimate","295291020","5694840","116371","323","13714","6623","127","51.85",""
"41","","Sea of Thieves","283936080","15896280","32744","847","38691","6369","356","17.86",""
"42","","Path of Exile","281222640","7383360","62806","332","6805","6308","165","38.09",""
"43","","Clash Royale","271777560","4770240","76588","206","53852","6096","107","56.97",""
"44","","Yu-Gi-Oh! Master Duel","271253040","8738880","23812","368","25028","6084","196","31.04",""
"45","","Poker","268056480","4014240","29134","277","4484","6012","90","66.78",""
"46","","Among Us","261635940","5039580","167122","363","37909","5868","113","51.92",""
"47","","VRChat","255143580","6491100","100025","480","16462","5723","145","39.31",""
"48","","Gran Turismo 7","254455200","11328540","90922","1192","28797","5707","254","22.46",""
"49","","Pools, Hot Tubs, and Beaches","253733460","2288940","85039","81","4098","5691","51","110.85",""
"50","","SMITE","251021640","9217440","17753","433","18220","5630","206","27.23",""
"51","","Retro","247223340","9037980","20124","330","11678","5545","202","27.35",""
"52","","Tiny Tina's Wonderlands","245701440","10767240","126688","2317","28701","5511","241","22.82",""
"53","","Call of Duty: Vanguard","245487060","26400900","43965","1181","75324","5506","592","9.3",""
"54","","Politics","240666480","2335920","53855","136","4533","5398","52","103.03",""
"55","","Call Of Duty: Modern Warfare","234629580","97871280","24481","4046","259196","5263","2195","2.4",""
"56","","DayZ","230854320","10645920","32179","469","19655","5178","238","21.68",""
"57","","F1 2021","230178060","7028820","118001","848","24011","5163","157","32.75",""
"58","","Final Fantasy XIV Online","223147080","17379720","43910","1360","26617","5005","389","12.84",""
"59","","The Cycle: Frontier","219652740","5995380","48214","676","14276","4927","134","36.64",""
"60","","Magic: The Gathering","212087400","3495360","21832","151","6226","4757","78","60.68",""
"61","","Black Desert","206327880","6456420","48527","233","6295","4628","144","31.96",""
"62","","Old School RuneScape","200862000","5661120","11049","214","5783","4505","126","35.48",""
"63","","Garena Free Fire","199255380","8979300","52336","432","56939","4469","201","22.19",""
"64","","Kirby and the Forgotten Land","197791200","4855020","85246","1402","16627","4436","108","40.74",""
"65","","NBA 2K22","189675120","22779660","41193","1132","65890","4254","510","8.33",""
"66","","Fall Guys","189241560","6606180","154782","310","37701","4244","148","28.65",""
"67","","Pokémon Legends: Arceus","181522800","11569560","27168","832","24703","4071","259","15.69",""
"68","","Phasmophobia","178328700","14516040","33878","787","60144","4000","325","12.28",""
"69","","Games + Demos","168414900","17658300","64381","635","89531","3777","396","9.54",""
"70","","Food & Drink","167379720","2209320","281352","94","10812","3754","49","75.76",""
"71","","Crypto","155476320","4545660","11189","159","3600","3487","101","34.2",""
"72","","Hunt: Showdown","151654380","10862760","16123","691","15564","3401","243","13.96",""
"73","","Core Keeper","151569840","3643500","54297","211","9204","3399","81","41.6",""
"74","","Call of Duty: Modern Warfare 3","151127700","347880","417697","62","2207","3390","7","434.42",""
"75","","Red Dead Redemption 2","149679780","13003380","15079","545","33451","3357","291","11.51",""
"76","","Risk of Rain 2","149226240","6106800","93049","679","20930","3347","136","24.44",""
"77","","Stranger of Paradise: Final Fantasy Origin","146605200","3332760","50415","403","7304","3288","74","43.99",""
"78","","New World","145898340","4470840","71578","282","6222","3272","100","32.63",""
"79","","Ghostwire: Tokyo","138905880","3165900","69857","717","9972","3115","71","43.88",""
"80","","The Sims 4","138804540","6279780","56594","279","19774","3113","140","22.1",""
"81","","Heroes of Might and Magic III: The Restoration of Erathia","137315460","1170720","13092","60","841","3080","26","117.29",""
"82","","Animal Crossing: New Horizons","132138120","4694760","22660","189","9969","2964","105","28.15",""
"83","","Terraria","128886180","4786740","46986","218","17545","2891","107","26.93",""
"84","","World of Warships","124169580","3289740","14113","160","4606","2785","73","37.74",""
"85","","League of Legends: Wild Rift","124033080","5905860","26985","249","23208","2782","132","21",""
"86","","Roblox","116415960","21013140","85206","944","147423","2611","471","5.54",""
"87","","Horizon Forbidden West","115080480","17492760","20123","1101","28818","2581","392","6.58",""
"88","","StarCraft II","114938580","2420100","12888","109","3961","2578","54","47.49",""
"89","","Super Mario 64","114753840","2111400","48731","183","4845","2574","47","54.35",""
