"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"78","","Crisis Core: Final Fantasy VII - Reunion","135591540","5969880","41625","955","11410","3041","133","22.71",""
"79","","World of Warships","132574800","3019020","14012","155","4238","2973","67","43.91",""
"80","","Yu-Gi-Oh! Master Duel","128940000","3319500","20324","145","10258","2892","74","38.84",""
"81","","Super Smash Bros. Ultimate","128159940","3468840","94668","223","8843","2874","77","36.95",""
"82","","Madden NFL 23","120541320","19704840","36849","1198","63142","2703","442","6.12",""
"83","","MapleStory","119198220","3655080","31559","242","3724","2673","81","32.61",""
"84","","Marvel's Midnight Suns","119167620","3274140","27336","290","5128","2673","73","36.4",""
"85","","Food & Drink","118293120","1831680","22092","117","5875","2653","41","64.58",""
"86","","Star Citizen","112447200","3136920","34699","182","4305","2522","70","35.85",""
"87","","Mario Kart 8 Deluxe","111273840","3029340","61875","524","14511","2496","67","36.73",""
"88","","StarCraft","110143980","960780","49201","61","1752","2470","21","114.64",""
"89","","RimWorld","103813680","2233020","18822","113","3410","2328","50","46.49",""
"90","","Grounded","103178280","5707920","36170","315","16580","2314","128","18.08",""
"91","","Need for Speed Unbound","102653700","7413840","18247","637","22988","2302","166","13.85",""
"92","","Animals, Aquariums, and Zoos","101527020","8199600","25615","276","1153","2277","183","12.38",""
"93","","The Sims 4","101123160","4931100","15903","243","18472","2268","110","20.51",""
"94","","The Dark Pictures Anthology: The Devil in Me","96788640","2108520","55677","186","8288","2171","47","45.9",""
"95","","WWE SuperCard","94210500","551580","16127","60","898","2113","12","170.8",""
"96","","Age of Empires II","91193040","1647840","12966","86","3061","2045","36","55.34",""
"97","","DKO: Divine Knockout","90962640","2291520","110193","229","9316","2040","51","39.7",""
"98","","Football Manager 2023","88772700","1677300","34903","109","2422","1991","37","52.93",""
"99","","Stalcraft","87668640","1750680","11735","113","3980","1966","39","50.08",""
"100","","Clash Royale","84866820","1599660","22779","81","13817","1903","35","53.05",""
