"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","16484893860","176814000","1344603","5706","559671","369782","3966","93.23",""
"2","","League of Legends","9569340300","152081460","1385974","5157","237227","214655","3411","62.92",""
"3","","Grand Theft Auto V","7328855700","116541420","514531","4901","223537","164397","2614","62.89",""
"4","","VALORANT","6016248300","226154700","330830","7251","414170","134953","5073","26.6",""
"5","","Counter-Strike: Global Offensive","5635854900","50709420","1687805","2202","121653","126421","1137","111.14",""
"6","","Apex Legends","4872618480","230679480","559133","11258","434139","109300","5174","21.12",""
"7","","Fortnite","3299195160","194160960","291756","7328","624828","74006","4355","16.99",""
"8","","Dota 2","2936340120","35173860","449377","1361","44246","65866","789","83.48",""
"9","","Slots","2312881500","6307380","262776","241","6856","51881","141","366.69",""
"10","","Call of Duty: Warzone","2138373600","128799480","193443","5896","203005","47967","2889","16.6",""
"11","","FIFA 22","1883207040","46453920","398057","3266","172865","42243","1042","40.54",""
"12","","Minecraft","1470347760","84239700","413359","3500","316410","32982","1889","17.45",""
"13","","World of Warcraft","1346252220","52384740","129241","3589","55681","30198","1175","25.7",""
"14","","Dead by Daylight","1231766520","76645080","150040","3080","122497","27630","1719","16.07",""
"15","","Rust","1231435860","15771420","217217","993","29195","27623","353","78.08",""
"16","","Lost Ark","1154999040","27361020","154423","1279","26887","25908","613","42.21",""
"17","","Music","1114309980","49685640","79658","1769","72559","24995","1114","22.43",""
"18","","Sports","1090674480","6511080","349838","908","24199","24465","146","167.51",""
"19","","Hearthstone","1064555580","8354160","58099","435","13941","23879","187","127.43",""
"20","","Elden Ring","1057285440","61067400","147092","2893","129502","23716","1369","17.31",""
"21","","Path of Exile","896353740","13300980","240019","2639","11544","20106","298","67.39",""
"22","","V Rising","848314980","15790860","137720","1213","28792","19029","354","53.72",""
"23","","Escape from Tarkov","797072880","29700960","41968","1071","30200","17879","666","26.84",""
"24","","Rocket League","761071920","36103800","126322","1442","141529","17072","809","21.08",""
"25","","Teamfight Tactics","754079580","11777640","79613","650","30391","16915","264","64.03",""
"26","","PUBG: BATTLEGROUNDS","634103100","33114480","92548","1212","57320","14223","742","19.15",""
"27","","ASMR","590283600","8888760","39437","261","13709","13240","199","66.41",""
"28","","Art","574066380","32530800","33976","1112","67689","12877","729","17.65",""
"29","","Tom Clancy's Rainbow Six Siege","527881020","29006460","108780","1179","97032","11841","650","18.2",""
"30","","Final Fantasy XIV Online","525157800","33098340","60804","2640","34607","11780","742","15.87",""
"31","","Vampire: The Masquerade - Bloodhunt","472231740","18769080","127830","1046","67799","10592","421","25.16",""
"32","","Overwatch","469056840","29909100","57877","1215","80409","10521","670","15.68",""
"33","","Destiny 2","431945100","33460920","57777","3720","60445","9689","750","12.91",""
