"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Apex Legends","7385458140","334820220","666868","18932","663781","183444","8316","22.06",""
"2","","League of Legends","5699477760","106742580","387330","4518","167824","141566","2651","53.39",""
"3","","Fortnite","5043897540","434319000","658887","67544","810687","125283","10787","11.61",""
"4","","Just Chatting","3101885880","44018820","182185","2336","121349","77046","1093","70.47",""
"5","","Dota 2","3015554160","31683420","272771","1601","43882","74901","786","95.18",""
"6","","Counter-Strike: Global Offensive","2835366540","44691060","524985","2575","120461","70426","1110","63.44",""
"7","","Overwatch","1422469320","43041900","289347","2420","102530","35332","1069","33.05",""
"8","","World of Warcraft","1302652200","40753020","211037","2747","46004","32355","1012","31.96",""
"9","","PUBG: BATTLEGROUNDS","1077845880","47361540","98146","2450","78993","26772","1176","22.76",""
"10","","Hearthstone","821664180","7520040","58328","292","15298","20408","186","109.26",""
"11","","Grand Theft Auto V","768976080","21366720","76912","1189","46978","19100","530","35.99",""
"12","","Tom Clancy's Rainbow Six Siege","677159760","37769220","223099","2244","110696","16819","938","17.93",""
"13","","FIFA 19","648256860","15453840","92237","1082","44591","16101","383","41.95",""
"14","","Call of Duty: Black Ops 4","632847600","52897800","141895","4227","104237","15719","1313","11.96",""
"15","","Anthem","549684360","24640740","145975","3940","54212","13653","612","22.31",""
"16","","Resident Evil 2","476623260","23764860","58175","1977","62263","11838","590","20.06",""
"17","","Super Smash Bros. Ultimate","475983000","6978480","168665","462","14256","11822","173","68.21",""
"18","","Dead by Daylight","437572440","21592860","50797","999","38382","10868","536","20.26",""
"19","","Old School RuneScape","390060960","6746160","34040","287","10640","9688","167","57.82",""
"20","","Metro Exodus","379763460","8604480","154978","1593","20142","9432","213","44.14",""
"21","","Minecraft","376020720","19935960","82949","933","52021","9339","495","18.86",""
"22","","StarCraft II","370513500","3662940","50967","156","5956","9203","90","101.15",""
"23","","Magic: The Gathering","366219540","5221860","60503","266","8979","9096","129","70.13",""
"24","","Sea of Thieves","357730500","12945060","55263","1303","25920","8885","321","27.63",""
"25","","Music","316537620","12002220","32127","421","13490","7862","298","26.37",""
"26","","Talk Shows & Podcasts","298691220","3939720","126696","609","12925","7419","97","75.82",""
"27","","Slots","286862820","2322060","44412","121","2923","7125","57","123.54",""
"28","","Poker","253658940","3482340","31582","215","3603","6300","86","72.84",""
"29","","Art","236330400","14193600","16357","564","26058","5870","352","16.65",""
"30","","Rocket League","226087080","14003880","62205","734","53636","5615","347","16.14",""
"31","","Path of Exile","197376600","4463160","21449","237","6259","4902","110","44.22",""
"32","","World of Tanks","192704820","7535580","15421","466","10386","4786","187","25.57",""
"33","","Escape from Tarkov","174321240","9833340","26278","622","11250","4329","244","17.73",""
"34","","Kingdom Hearts III","171211380","11173860","46780","2087","18165","4252","277","15.32",""
"35","","Tom Clancy's The Division 2","164709840","5439840","107475","2653","23542","4091","135","30.28",""
"36","","Black Desert","150033780","6789120","7650","269","7701","3726","168","22.1",""
"37","","Atlas","149337840","3821160","10198","246","3406","3709","94","39.08",""
"38","","ASMR","149118360","2030160","10028","71","1554","3703","50","73.45",""
"39","","Destiny 2","145623180","15445320","12042","920","30888","3617","383","9.43",""
"40","","Games + Demos","142734660","2062680","28364","108","6665","3545","51","69.2",""
"41","","Far Cry New Dawn","132841860","3051600","54881","558","10085","3299","75","43.53",""
"42","","Warcraft III","132296460","1923840","29556","84","2118","3286","47","68.77",""
"43","","NBA 2K19","130839900","13287240","43230","745","33257","3249","330","9.85",""
"44","","Final Fantasy XIV Online","122915040","8183700","84888","566","11927","3053","203","15.02",""
"45","","Heroes of Might and Magic III: The Shadow of Death","115724100","671820","18632","44","728","2874","16","172.25",""
"46","","Sid Meier's Civilization VI","113559300","1620900","68833","170","3884","2820","40","70.06",""
"47","","Tetris","107939520","1192020","53346","176","5578","2681","29","90.55",""
"48","","DEVOTION","102926700","817860","106816","564","4185","2556","20","125.85",""
"49","","Dungeons & Dragons","102102960","2201220","56390","210","3764","2536","54","46.38",""
"50","","SMITE","101072100","6225060","10306","299","12248","2510","154","16.24",""
"51","","Jump Force","99640920","4089300","68421","697","18487","2474","101","24.37",""
"52","","Knight Online","98030760","1114080","16433","72","1457","2434","27","87.99",""
"53","","The Elder Scrolls Online","97454100","3810060","24707","190","6219","2420","94","25.58",""
"54","","Dark Souls III","92406600","5161500","18803","222","12825","2295","128","17.9",""
"55","","Chess","91804500","922620","14673","61","1360","2280","22","99.5",""
"56","","Rust","87803940","5625180","12044","287","10818","2180","139","15.61",""
"57","","World of Warships","87803760","2834940","7362","139","4099","2180","70","30.97",""
"58","","Marbles On Stream","86916720","2140020","23665","119","5218","2158","53","40.61",""
"59","","Super Smash Bros. Melee","84176580","664020","163773","53","1787","2090","16","126.77",""
"60","","Tibia","83161500","3387240","6234","147","3472","2065","84","24.55",""
"61","","Heroes of the Storm","81938700","3674340","7977","166","6176","2035","91","22.3",""
"62","","Retro","81259440","4509060","8549","187","5475","2018","111","18.02",""
"63","","Slay the Spire","78164160","1352640","22255","65","4094","1941","33","57.79",""
"64","","The Isle","77261100","1446060","49466","81","1958","1919","35","53.43",""
"65","","Monster Hunter: World","76226820","6459360","9659","291","17416","1893","160","11.8",""
"66","","Anno 1800","75123300","797220","59432","354","2362","1865","19","94.23",""
"67","","Always On","70364820","351240","12967","14","21","1747","8","200.33",""
"68","","Street Fighter V","68919000","1780080","40587","78","3317","1711","44","38.72",""
"69","","Diablo III","67809360","5154480","4865","353","10308","1684","128","13.16",""
"70","","Astroneer","67286940","2311620","30583","195","6005","1671","57","29.11",""
"71","","Warframe","65404440","6345900","47085","273","12503","1624","157","10.31",""
"72","","Borderlands 2","63289200","2610480","22440","266","6300","1572","64","24.24",""
"73","","Ark: Survival Evolved","63088560","5572020","8805","276","7826","1567","138","11.32",""
"74","","The Legend of Zelda: Ocarina of Time","63058200","1820700","8240","176","2295","1566","45","34.63",""
"75","","Lost Ark","62648580","2054640","15652","149","1461","1556","51","30.49",""
"76","","Tekken 7","61971540","2170020","43736","150","5953","1539","53","28.56",""
"77","","Special Events","60800160","533700","131730","94","2175","1510","13","113.92",""
"78","","Madden NFL 19","60258600","8457480","27580","612","21234","1496","210","7.12",""
"79","","Subnautica","58923720","3636540","25338","275","10552","1463","90","16.2",""
"80","","Realm Royale Reforged","58717620","8607840","21071","1064","28231","1458","213","6.82",""
"81","","Age of Empires II","58404240","836100","12274","50","1849","1450","20","69.85",""
"82","","The Binding of Isaac: Repentance","54820920","1179120","15379","70","3646","1361","29","46.49",""
"83","","Bloodborne","53006100","2094720","28281","102","5400","1316","52","25.3",""
"84","","PUBG Mobile","51724500","7397460","3460","331","15791","1284","183","6.99",""
"85","","Super Mario Maker","51523620","655080","6567","51","766","1279","16","78.65",""
"86","","Trials Rising","50752560","491640","34851","174","2504","1260","12","103.23",""
"87","","Super Mario World","49851780","760020","11759","58","1399","1238","18","65.59",""
"88","","The Sims 4","48571500","2733900","13286","197","8289","1206","67","17.77",""
"89","","Food & Drink","48432000","723660","11796","42","3433","1202","17","66.93",""
"90","","osu!","48369180","7414680","6482","335","26457","1201","184","6.52",""
"91","","VRChat","47971440","3062100","7763","184","5532","1191","76","15.67",""
"92","","Travel & Outdoors","47792700","3355200","32854","197","20883","1187","83","14.24",""
"93","","Dark Souls","45778140","2220180","20264","106","4757","1137","55","20.62",""
"94","","Pokémon: Let's Go, Pikachu!","45236520","1887360","22081","194","3408","1123","46","23.97",""
"95","","Science & Technology","45141600","3680460","9457","158","5388","1121","91","12.27",""
"96","","The Elder Scrolls V: Skyrim","44624460","3784920","11325","165","9470","1108","94","11.79",""
"97","","Summoners War: Sky Arena","41769300","889500","3251","52","963","1037","22","46.96",""
"98","","Metro: Last Light","40523760","835080","21205","82","2369","1006","20","48.53",""
"99","","Gears of War 4","40367340","1765740","26206","131","4064","1002","43","22.86",""
"100","","Hearts of Iron IV","39834720","732780","7449","109","1696","989","18","54.36",""
