"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","13355679060","178955880","785055","8506","394043","309589","4148","74.63",""
"2","","Grand Theft Auto V","8671554000","113511180","602172","5099","139075","201009","2631","76.39",""
"3","","League of Legends","6444395400","163422480","649344","5560","201351","149383","3788","39.43",""
"4","","VALORANT","5543618520","178349640","746991","7148","257779","128502","4134","31.08",""
"5","","Minecraft","4590812400","127201920","803027","5700","275316","106416","2948","36.09",""
"6","","Apex Legends","4121497260","210678000","330106","9096","273660","95537","4883","19.56",""
"7","","Counter-Strike: Global Offensive","3692024640","60452280","725556","2823","105073","85582","1401","61.07",""
"8","","Fortnite","3613609860","249629700","1212148","82928","415949","83764","5786","14.48",""
"9","","Call of Duty: Warzone","3235160940","139794300","354154","6183","143456","74992","3240","23.14",""
"10","","New World","2428330380","48014400","983406","16345","71631","56289","1112","50.58",""
"11","","FIFA 22","2157234420","18556020","515344","5044","46786","50005","430","116.26",""
"12","","Dota 2","2088444720","40968660","164304","1793","33889","48410","949","50.98",""
"13","","Dead by Daylight","1724279160","97023900","119110","4006","126846","39969","2249","17.77",""
"14","","Slots","1565329080","5932080","208467","220","5378","36284","137","263.88",""
"15","","Hearthstone","1456081740","10806000","84477","460","13193","33752","250","134.75",""
"16","","Music","1378123560","51644580","94895","1860","47338","31945","1197","26.68",""
"17","","Genshin Impact","1186469880","73818000","137073","5455","98814","27502","1711","16.07",""
"18","","Diablo II: Resurrected","1145558460","18369900","414909","5938","26042","26554","425","62.36",""
"19","","World of Warcraft","1023601740","54478080","97771","4539","46353","23727","1262","18.79",""
"20","","Rust","968737260","16348020","154424","1067","20625","22455","378","59.26",""
"21","","ASMR","892832280","8734500","42494","271","5951","20696","202","102.22",""
"22","","Tom Clancy's Rainbow Six Siege","850517520","39299640","68568","1775","80001","19715","910","21.64",""
"23","","NBA 2K22","790575300","46059240","159548","7211","58275","18325","1067","17.16",""
"24","","Escape from Tarkov","768174360","34258740","35404","1334","27708","17806","794","22.42",""
"25","","Lost Ark","753314580","11714640","66341","774","6601","17462","271","64.31",""
"26","","Sports","724392660","5477580","244744","376","9958","16791","126","132.25",""
"27","","Special Events","698735100","2448000","1336553","3847","9875","16196","56","285.43",""
"28","","Final Fantasy XIV Online","613256580","31086360","134136","1678","32858","14215","720","19.73",""
"29","","Rocket League","581511840","45549720","111310","2231","125139","13479","1055","12.77",""
"30","","Destiny 2","580740960","49512300","46150","2626","59911","13461","1147","11.73",""
"31","","PUBG: BATTLEGROUNDS","578320920","29948640","66587","1093","30872","13405","694","19.31",""
"32","","Art","576842580","34357680","30278","1207","56359","13371","796","16.79",""
"33","","Teamfight Tactics","543831840","9347340","34251","349","18429","12606","216","58.18",""
"34","","Overwatch","504085680","31309860","78397","1146","53834","11684","725","16.1",""
"35","","Chess","439081440","3372060","87732","183","6174","10178","78","130.21",""
"36","","Garena Free Fire","398549100","15327720","89623","837","20881","9238","355","26",""
"37","","Phasmophobia","396539220","28378020","123680","1912","92019","9191","657","13.97",""
"38","","Poker","386258340","4458180","55942","275","3917","8953","103","86.64",""
"39","","Talk Shows & Podcasts","379676400","10186380","192745","552","13500","8801","236","37.27",""
"40","","Project Zomboid","361893720","2945100","51706","141","3961","8388","68","122.88",""
"41","","Call Of Duty: Modern Warfare","353790240","151472220","46407","7051","199783","8200","3511","2.34",""
"42","","Call of Duty: Vanguard","346942320","13488780","222517","4038","43193","8042","312","25.72",""
"43","","Fall Guys","341833440","10890720","121838","505","44356","7923","252","31.39",""
"44","","Old School RuneScape","318379440","6652980","96743","280","6192","7380","154","47.86",""
"45","","DEATHLOOP","317110980","5272500","147459","1000","11199","7350","122","60.14",""
"46","","SMITE","303671880","11157600","35908","556","14859","7039","258","27.22",""
"47","","FIFA 21","302625840","19591320","66068","1534","43210","7014","454","15.45",""
"48","","Magic: The Gathering","296151240","4979040","25382","371","6904","6864","115","59.48",""
"49","","Vampire: The Masquerade - Bloodhunt","284574840","10547580","78484","899","33568","6596","244","26.98",""
"50","","Among Us","282238620","6476760","108551","449","28497","6542","150","43.58",""
"51","","Path of Exile","282143160","6207720","36405","469","4652","6540","143","45.45",""
"52","","Hunt: Showdown","268994520","13092300","37698","686","16042","6235","303","20.55",""
"53","","DayZ","260112960","10864980","34872","501","12745","6029","251","23.94",""
"54","","Sea of Thieves","259425300","17183700","37788","1040","27652","6013","398","15.1",""
"55","","World of Tanks","257739000","8710920","53950","476","8722","5974","201","29.59",""
"56","","Red Dead Redemption 2","248728620","16255320","41480","673","23856","5765","376","15.3",""
"57","","Clash Royale","242978280","3415980","69459","160","9401","5632","79","71.13",""
"58","","Axie Infinity","240038940","4226040","20961","195","5312","5564","97","56.8",""
"59","","Naraka: Bladepoint","233666460","6093240","103612","276","8992","5416","141","38.35",""
"60","","Tales of Arise","233256360","16566900","48344","1428","15551","5406","384","14.08",""
"61","","Kena: Bridge of Spirits","224580540","7666380","152423","2065","16933","5205","177","29.29",""
"62","","Bloons TD 6","221095200","2774700","88675","155","9343","5125","64","79.68",""
"63","","Super Smash Bros. Ultimate","218190420","6035640","86042","481","11924","5057","139","36.15",""
"64","","Gas Station Simulator","216363240","2641140","73039","283","7089","5015","61","81.92",""
"65","","StarCraft II","214948620","3120780","32033","118","3759","4982","72","68.88",""
"66","","Pokémon Unite","210547440","12751140","136938","1340","26328","4880","295","16.51",""
"67","","Pools, Hot Tubs, and Beaches","207789780","3177960","27544","104","3787","4816","73","65.38",""
"68","","Life is Strange: True Colors","197911380","5903580","97414","1039","12131","4587","136","33.52",""
"69","","Heroes of Might and Magic III: The Restoration of Erathia","194792880","1235700","20456","68","777","4515","28","157.64",""
"70","","Madden NFL 22","192932940","10979040","75515","681","18442","4472","254","17.57",""
"71","","Age of Empires II","185412120","2643720","58854","123","3838","4297","61","70.13",""
"72","","Retro","178610400","7864620","23501","424","8577","4140","182","22.71",""
