"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"67","","Detroit: Become Human","912724080","11670780","236767","856","44040","1736","22","78.21",""
"68","","Assassin's Creed Odyssey","906306720","23675880","105475","1221","49923","1724","45","38.28",""
"69","","Diablo III","897891840","59721300","21395","1347","83522","1708","113","15.03",""
"70","","NBA 2K19","865884900","61406820","47830","2267","93690","1647","116","14.1",""
"71","","Retro","849473280","47397480","29487","171","23552","1616","90","17.92",""
"72","","Z1: Battle Royale","833176800","48154020","136561","675","82831","1585","91","17.3",""
"73","","Dungeons & Dragons","831928980","18363480","96446","185","12260","1582","34","45.3",""
"74","","SCUM","814927080","25467180","217830","2803","43267","1550","48","32",""
"75","","The Elder Scrolls Online","809222340","42169560","64268","209","48707","1539","80","19.19",""
"76","","Chess","803588100","8724720","135778","67","7062","1529","16","92.1",""
"77","","Art","788720640","37879140","29628","478","48353","1500","72","20.82",""
"78","","Final Fantasy XIV Online","783761880","77722020","88767","801","41970","1491","147","10.08",""
"79","","Subnautica","766035840","31872240","60950","548","64077","1457","60","24.03",""
"80","","Kingdom Come: Deliverance","764288220","20757840","211281","1561","33362","1454","39","36.82",""
"81","","Super Smash Bros. Melee","755176080","10263240","179128","66","13015","1436","19","73.58",""
"82","","DayZ","742672920","25903380","79522","386","31717","1413","49","28.67",""
"83","","NBA 2K18","715476120","65004540","61960","1591","103808","1361","123","11.01",""
"84","","The Elder Scrolls: Legends","699138840","8396700","44757","57","5247","1330","15","83.26",""
"85","","Jurassic World Evolution","666908520","13529100","202465","1717","27334","1268","25","49.29",""
"86","","Super Mario Maker","658210380","7058940","164695","41","3456","1252","13","93.24",""
"87","","Bloodborne","654393000","34897860","215882","476","77043","1245","66","18.75",""
"88","","Tibia","653678760","34242120","6267","172","15043","1243","65","19.09",""
"89","","Darkest Dungeon","642591900","15397200","34401","242","26632","1222","29","41.73",""
"90","","Hunt: Showdown","633915300","22724040","135761","308","34524","1206","43","27.9",""
"91","","osu!","598679400","82418700","24897","333","119469","1139","156","7.26",""
"92","","Pokémon Ultra Sun/Ultra Moon","591109560","19800060","24443","117","13074","1124","37","29.85",""
"93","","The Witcher 3: Wild Hunt","586122780","35991900","27995","181","68280","1115","68","16.28",""
"94","","Terraria","582507420","23244660","34646","100","50593","1108","44","25.06",""
"95","","The Elder Scrolls V: Skyrim","580487340","48542040","195899","205","88317","1104","92","11.96",""
"96","","Welcome to the Game II","569563200","2515080","129007","147","8719","1083","4","226.46",""
"97","","Arma 3","568406460","43668060","24231","286","41540","1081","83","13.02",""
"98","","Summoners War: Sky Arena","566876100","12274320","42720","72","5592","1078","23","46.18",""
"99","","No Man's Sky","555284820","25773480","118853","1264","51344","1056","49","21.54",""
"100","","Conan Exiles","547712580","28764360","89655","712","31878","1042","54","19.04",""
