"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15713244900","178952880","1068622","10463","592053","352472","4014","87.81",""
"2","","League of Legends","7997070240","133480560","854400","7219","222853","179386","2994","59.91",""
"3","","Grand Theft Auto V","7830334080","138117240","727079","6992","290234","175646","3098","56.69",""
"4","","VALORANT","6682018140","253442040","721411","13550","451029","149888","5685","26.37",""
"5","","Minecraft","5521744620","129393480","813879","6347","440525","123861","2902","42.67",""
"6","","Apex Legends","3423667140","229398480","245792","11461","429428","76798","5145","14.92",""
"7","","Dota 2","3408608520","39069660","666026","1514","49178","76460","876","87.24",""
"8","","Slots","3047009580","7014720","202211","429","8969","68349","157","434.37",""
"9","","Fortnite","2710154400","226408740","230914","11312","719684","60793","5078","11.97",""
"10","","Counter-Strike: Global Offensive","2553379500","52611600","313850","2220","133460","57276","1180","48.53",""
"11","","Rust","2167600080","19255020","384738","1097","34917","48622","431","112.57",""
"12","","Call of Duty: Warzone","2008021560","128887980","149036","7062","220914","45043","2891","15.58",""
"13","","World of Warcraft","1540008000","48287040","123167","2950","52733","34544","1083","31.89",""
"14","","Dead by Daylight","1462958340","74739660","127542","4960","129163","32816","1676","19.57",""
"15","","Teamfight Tactics","1236772440","14629980","80917","567","36948","27742","328","84.54",""
"16","","Cult of the Lamb","1164611880","29525880","157382","2919","62712","26124","662","39.44",""
"17","","Music","1138860420","44233800","97948","2185","69988","25546","992","25.75",""
"18","","Hearthstone","1129889580","7905780","66929","581","13360","25345","177","142.92",""
"19","","Escape from Tarkov","1127452200","42595620","81465","2225","40122","25290","955","26.47",""
"20","","Tower of Fantasy","1078406640","35220780","276098","6305","69442","24190","790","30.62",""
"21","","Lost Ark","1075726800","20912880","182691","1143","16789","24130","469","51.44",""
"22","","Fall Guys","1011942420","43239900","200867","2504","272711","22699","969","23.4",""
"23","","Path of Exile","966577560","11580600","257112","2927","11573","21681","259","83.47",""
"24","","Rocket League","912462420","36785040","348465","1884","146106","20467","825","24.81",""
"25","","Sports","899522400","5604540","163934","466","22370","20177","125","160.5",""
"26","","FIFA 22","846918780","33789480","102680","1819","134531","18997","757","25.06",""
