"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","4975049100","80546580","1084257","2869","130486","115323","1867","61.77",""
"2","","PUBG: BATTLEGROUNDS","2977572480","90968460","218135","3136","149718","69021","2108","32.73",""
"3","","Dota 2","2377783080","20562060","227242","826","28991","55117","476","115.64",""
"4","","Hearthstone","1649311200","11279280","135561","403","23373","38231","261","146.22",""
"5","","Counter-Strike: Global Offensive","1542201720","34450980","287276","1552","91409","35748","798","44.77",""
"6","","IRL","1431773880","18942840","100262","748","54932","33189","439","75.58",""
"7","","Fortnite","1403457780","59421120","147556","2593","148535","32532","1377","23.62",""
"8","","Overwatch","1338584700","50124780","329834","2057","112654","31028","1161","26.71",""
"9","","Call of Duty: WWII","1093649580","31929720","126011","2811","124774","25351","740","34.25",""
"10","","World of Warcraft","1061255940","32262540","114050","3142","45047","24600","747","32.89",""
"11","","Grand Theft Auto V","593973360","14576880","47263","677","38178","13768","337","40.75",""
"12","","FIFA 18","592309740","10977480","88649","710","33474","13729","254","53.96",""
"13","","Destiny 2","394794720","39862560","111655","2765","77034","9151","924","9.9",""
"14","","Minecraft","376414440","12656340","63658","654","35012","8725","293","29.74",""
"15","","Getting Over It with Bennett Foddy","373274340","1415640","86187","107","6682","8652","32","263.68",""
"16","","Super Mario Odyssey","343508640","5081700","32050","414","8426","7962","117","67.6",""
"17","","Talk Shows & Podcasts","298450500","2625660","55412","138","8430","6918","60","113.67",""
"18","","Dead by Daylight","296409780","12014280","42683","657","20372","6870","278","24.67",""
"19","","Tom Clancy's Rainbow Six Siege","294365580","19561080","82332","993","61248","6823","453","15.05",""
"20","","StarCraft II","290846880","3877680","102646","183","8046","6741","89","75.01",""
"21","","Heroes of the Storm","282202800","7884000","67844","301","13956","6541","182","35.79",""
"22","","Star Wars Battlefront II","262077960","5456340","68004","673","21146","6075","126","48.03",""
"23","","Rocket League","257403600","8796540","180582","406","33939","5966","203","29.26",""
"24","","RuneScape","237070920","5357160","16300","196","7675","5495","124","44.25",""
"25","","Poker","214622940","2037420","39295","112","2335","4975","47","105.34",""
"26","","Creative","195671340","13479720","16494","533","25907","4535","312","14.52",""
"27","","World of Tanks","188108640","6273120","47012","334","8829","4360","145","29.99",""
"28","","Casino_old","188005380","919740","29034","53","874","4358","21","204.41",""
"29","","SMITE","185686200","5847720","29029","388","11802","4304","135","31.75",""
"30","","Assassin's Creed Origins","180276720","6204840","38453","466","22512","4178","143","29.05",""
"31","","Path of Exile","179813220","4286100","29389","519","5351","4168","99","41.95",""
"32","","Diablo III","176169540","8872740","17578","1059","15319","4083","205","19.86",""
"33","","Battlerite","167601660","5421780","52855","320","17780","3885","125","30.91",""
"34","","Rust","165555240","4203240","56947","262","8394","3837","97","39.39",""
"35","","Z1: Battle Royale","154766760","8997780","17849","503","15471","3587","208","17.2",""
"36","","Black Desert","152053320","5743680","19785","217","6831","3524","133","26.47",""
"37","","Twitch Presents","147697920","43200","33756","8","19","3423","1","3418.93",""
"38","","Magic: The Gathering","130913880","1001460","31768","57","1255","3034","23","130.72",""
"39","","Pokémon Ultra Sun/Ultra Moon","126021600","1753560","15145","239","1974","2921","40","71.87",""
"40","","Warframe","122475360","10434960","43831","504","20898","2839","241","11.74",""
"41","","Music","117105060","4295400","20562","147","5657","2714","99","27.26",""
"42","","The Elder Scrolls: Legends","104486760","824640","4484","46","919","2422","19","126.71",""
