"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","5589286320","76002900","475784","2712","117996","134035","1822","73.54",""
"2","","Counter-Strike: Global Offensive","2695993080","45294060","235027","2097","106074","64652","1086","59.52",""
"3","","Dota 2","2470453740","23070000","241065","1015","36912","59243","553","107.09",""
"4","","Hearthstone","2398944720","12037920","117067","498","29785","57528","288","199.28",""
"5","","Call of Duty: Black Ops III","1092051000","83538000","95397","4443","225521","26188","2003","13.07",""
"6","","Minecraft","537913860","26432940","68098","1441","77621","12899","633","20.35",""
"7","","Talk Shows & Podcasts","454977420","3250860","106073","154","10865","10910","77","139.96",""
"8","","Z1: Battle Royale","428101980","11433060","48867","442","19414","10266","274","37.44",""
"9","","XCOM 2","383975940","6063060","76838","782","9604","9208","145","63.33",""
"10","","World of Warcraft","379844700","17359800","29872","1179","28060","9108","416","21.88",""
"11","","StarCraft II","338136660","3615600","26454","155","5835","8108","86","93.52",""
"12","","Destiny","332933100","32011380","24859","1851","54425","7984","767","10.4",""
"13","","Overwatch","284115780","4081740","94851","546","7075","6813","97","69.61",""
"14","","Street Fighter V","274954920","4120680","76768","760","15635","6593","98","66.73",""
"15","","World of Tanks","274836000","7731600","36650","354","15359","6590","185","35.55",""
"16","","RuneScape","240757800","4303140","21428","199","7119","5773","103","55.95",""
"17","","FIFA 16","212048340","10086720","29691","546","36279","5085","241","21.02",""
"18","","Tom Clancy's Rainbow Six Siege","194239380","13147620","28240","628","36759","4658","315","14.77",""
"19","","Grand Theft Auto V","192961020","20573820","40319","1113","70020","4627","493","9.38",""
"20","","Heroes of the Storm","192365460","5915460","37268","256","12483","4613","141","32.52",""
"21","","Creative","183390600","8043900","39076","323","16936","4397","192","22.8",""
"22","","Arma 3","174722040","5168700","35446","291","8273","4189","123","33.8",""
"23","","SMITE","165658800","6831720","18077","360","16537","3972","163","24.25",""
"24","","Tom Clancy's The Division","164852880","5365980","77859","2086","49778","3953","128","30.72",""
"25","","Diablo III","164265300","7035900","28509","344","15718","3939","168","23.35",""
