"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","7611599340","407860860","1460297","23749","847488","176439","9454","18.66",""
"2","","League of Legends","4349492640","79633740","241343","3310","136011","100822","1845","54.62",""
"3","","Dota 2","2885911740","25239060","341454","1126","34627","66896","585","114.34",""
"4","","IRL","2634095760","35910000","165033","1285","111721","61059","832","73.35",""
"5","","PUBG: BATTLEGROUNDS","2249318520","82181820","197029","3026","149726","52139","1905","27.37",""
"6","","Hearthstone","1657768980","10325220","101753","417","22763","38427","239","160.56",""
"7","","E3 2018","1407566580","3898200","1817345","5125","13346","32627","90","361.08",""
"8","","Overwatch","1387664280","48149760","220801","1875","119586","32166","1116","28.82",""
"9","","Counter-Strike: Global Offensive","1313869020","36011580","262105","1578","105655","30455","834","36.48",""
"10","","Realm Royale Reforged","1104725400","29170320","195317","2408","88418","25607","676","37.87",""
"11","","Grand Theft Auto V","731028360","18569940","68403","868","46694","16945","430","39.37",""
"12","","World of Warcraft","720366960","30228840","138109","1687","45116","16698","700","23.83",""
"13","","Jurassic World Evolution","611703660","9266760","202465","1717","18478","14179","214","66.01",""
"14","","Path of Exile","576864660","15325920","84219","1987","16866","13371","355","37.64",""
"15","","Tom Clancy's Rainbow Six Siege","531685560","36590040","60790","1977","106227","12324","848","14.53",""
"16","","Heroes of the Storm","525941820","8690820","74026","333","15134","12191","201","60.52",""
"17","","Dead by Daylight","492417540","18126060","50339","793","29956","11414","420","27.17",""
"18","","RuneScape","427352400","6721980","70446","255","9704","9906","155","63.58",""
"19","","Dark Souls","347026020","8207280","54056","474","16070","8044","190","42.28",""
"20","","StarCraft II","297549180","3673560","61872","136","6228","6897","85","81",""
"21","","Talk Shows & Podcasts","295705800","3034740","54624","354","9348","6854","70","97.44",""
"22","","Warframe","287814780","8924640","38079","559","19203","6671","206","32.25",""
"23","","Destiny 2","276029280","22921860","177513","1194","43290","6398","531","12.04",""
"24","","Music","257279340","9575400","40457","295","10203","5963","221","26.87",""
"25","","Creative","249049980","16690620","15642","660","31942","5773","386","14.92",""
"26","","FIFA 18","246863040","9226740","66256","630","34867","5722","213","26.76",""
"27","","Rocket League","245940120","12766680","173257","502","52849","5700","295","19.26",""
"28","","Casino_old","233981100","3535980","25343","119","1340","5423","81","66.17",""
"29","","Magic: The Gathering","221564760","2441460","34591","133","3894","5135","56","90.75",""
"30","","Detroit: Become Human","219071400","3973980","31786","257","15510","5078","92","55.13",""
"31","","Poker","197143320","2575980","25339","159","2539","4569","59","76.53",""
"32","","Doctor Who Pinball","195136980","47940","22462","3","21","4523","1","4070.44",""
"33","","Darkest Dungeon","189693180","2379240","34401","242","5759","4397","55","79.73",""
"34","","Diablo III","186370800","8632560","20620","1347","16417","4320","200","21.59",""
"35","","Minecraft","184778640","14051100","27186","552","43784","4283","325","13.15",""
"36","","Mario Tennis Aces","179868000","1388040","56535","348","4532","4169","32","129.58",""
"37","","Vampyr","175358760","5512020","114271","1223","13170","4064","127","31.81",""
"38","","Black Desert","174546180","7501140","10815","264","9284","4046","173","23.27",""
"39","","Call of Duty: WWII","144040200","5721900","71491","314","36058","3338","132","25.17",""
"40","","Always On","140215080","555900","11700","15","26","3250","12","252.23",""
"41","","World of Tanks","137718660","5737620","10805","276","8589","3192","133","24",""
"42","","NBA 2K18","137299440","7454820","21697","377","21132","3182","172","18.42",""
"43","","Escape from Tarkov","132324840","6327480","17625","279","7629","3067","146","20.91",""
"44","","Final Fantasy XIV Online","120646320","7655760","21284","549","9652","2796","177","15.76",""
"45","","Z1: Battle Royale","119502000","7162080","98486","526","21789","2770","166","16.69",""
"46","","Street Fighter V","117798240","1731360","25316","111","4071","2730","40","68.04",""
"47","","Ark: Survival Evolved","110118720","7272960","28635","321","14588","2552","168","15.14",""
"48","","The Witcher 3: Wild Hunt","109826160","3410100","27995","174","9461","2545","79","32.21",""
"49","","Dungeons & Dragons","107080980","2305560","42492","180","3435","2482","53","46.44",""
"50","","Rust","105976740","5165280","34699","338","10694","2456","119","20.52",""
"51","","Dragon Ball FighterZ","99523440","1899960","34244","206","8298","2306","44","52.38",""
"52","","Warcraft III","97198440","1617000","10517","70","1665","2253","37","60.11",""
"53","","TrackMania 2: Stadium","93260280","482280","67328","121","1562","2161","11","193.37",""
"54","","E3","92058600","227940","566191","1547","2063","2133","5","403.87",""
"55","","DayZ","91038360","2599860","46198","166","6252","2110","60","35.02",""
"56","","The Elder Scrolls Online","88928820","4855860","29815","209","10181","2061","112","18.31",""
"57","","The Elder Scrolls: Legends","88796880","751740","3765","33","894","2058","17","118.12",""
"58","","Battlefield V","86357700","455640","92955","217","1952","2001","10","189.53",""
"59","","SMITE","82969320","6195000","9590","257","13457","1923","143","13.39",""
"60","","Quake Champions","82927800","3817680","46969","234","15842","1922","88","21.72",""
"61","","Games + Demos","79274880","1342200","25818","61","4373","1837","31","59.06",""
