"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Just Chatting","15671946060","173627460","1320834","6357","570609","363281","4024","90.26",""
"2","","League of Legends","7120883640","133995360","487688","4476","222695","165064","3106","53.14",""
"3","","Grand Theft Auto V","6325317720","112945080","434806","4896","230655","146623","2618","56",""
"4","","VALORANT","6105731160","220721280","384579","8172","413509","141532","5116","27.66",""
"5","","Counter-Strike: Global Offensive","3386557980","50405580","534107","2173","125497","78501","1168","67.19",""
"6","","Fortnite","3113564220","230755020","945769","48299","754617","72173","5348","13.49",""
"7","","Apex Legends","3010771020","185024220","206916","6629","373814","69790","4288","16.27",""
"8","","Slots","2547030540","6380340","207956","249","7538","59041","147","399.2",""
"9","","Dota 2","2402706960","35449500","167501","1430","45672","55695","821","67.78",""
"10","","Minecraft","2398988100","93947460","1124877","3623","353250","55609","2177","25.54",""
"11","","Special Events","2042242680","4688460","3366021","4881","24797","47339","108","435.59",""
"12","","Rust","1996452780","17046720","250342","1200","33161","46278","395","117.12",""
"13","","Call of Duty: Warzone","1965000840","122333580","188348","6316","201740","45549","2835","16.06",""
"14","","Teamfight Tactics","1954566180","23248260","107634","1461","51305","45307","538","84.07",""
"15","","Fall Guys","1466650680","42767460","341658","6833","283489","33997","991","34.29",""
"16","","Dead by Daylight","1448502240","89883720","94042","4230","147155","33576","2083","16.12",""
"17","","FIFA 22","1337187720","37056780","155920","2128","149973","30996","858","36.08",""
"18","","World of Warcraft","1175472660","45721320","122452","3036","49719","27247","1059","25.71",""
"19","","Music","1158333180","46848000","114185","1642","71094","26850","1085","24.73",""
"20","","The Quarry","1126309260","12210300","354599","1637","30258","26108","283","92.24",""
"21","","The Cycle: Frontier","1124668560","19643460","98080","1011","38774","26070","455","57.25",""
"22","","Escape from Tarkov","1019930340","32204820","307396","5313","39118","23642","746","31.67",""
"23","","Lost Ark","935024280","21735660","144527","1204","20516","21674","503","43.02",""
"24","","Hearthstone","823446300","6814380","41070","287","11199","19087","157","120.84",""
"25","","DayZ","744451140","11949480","109745","553","23209","17256","276","62.3",""
"26","","Sports","737958840","5575440","315598","327","21573","17106","129","132.36",""
"27","","Diablo Immortal","686849580","16048200","241991","2773","37406","15921","372","42.8",""
"28","","ASMR","616635780","9848580","32811","291","13987","14293","228","62.61",""
"29","","Rocket League","589948080","35294280","183748","1794","144989","13675","818","16.72",""
"30","","Elden Ring","567349200","33705300","158789","1488","79513","13151","781","16.83",""
"31","","PUBG: BATTLEGROUNDS","560569680","29726520","119401","1148","51484","12994","689","18.86",""
"32","","Genshin Impact","520455120","41780460","39699","2187","80494","12064","968","12.46",""
"33","","Virtual Casino","513486000","2266260","68322","105","2894","11902","52","226.58",""
"34","","Art","512927040","31088580","34358","1069","66733","11889","720","16.5",""
"35","","World of Tanks","471948060","7690020","57570","356","11249","10939","178","61.37",""
"36","","Pools, Hot Tubs, and Beaches","464158920","2625720","44141","94","6795","10759","60","176.77",""
"37","","Tom Clancy's Rainbow Six Siege","458310420","31324800","51048","1438","105044","10623","726","14.63",""
"38","","Overwatch","446827920","26524020","98128","1236","69090","10357","614","16.85",""
"39","","Raft","426576000","8586420","209125","900","25532","9888","199","49.68",""
"40","","SMITE","420968880","9059100","150372","415","18528","9758","209","46.47",""
"41","","Albion Online","406878060","2783160","29256","114","3602","9431","64","146.19",""
"42","","Among Us","405452100","6137520","193244","427","46628","9398","142","66.06",""
"43","","Path of Exile","393684060","8900700","25987","379","8299","9125","206","44.23",""
"44","","Chess","385749120","2290260","113009","123","5613","8941","53","168.43",""
"45","","Destiny 2","384145620","30946140","30977","1762","60289","8904","717","12.41",""
"46","","The Elder Scrolls Online","350244240","6200160","60978","300","10046","8118","143","56.49",""
"47","","Red Dead Redemption 2","331195080","14379420","46834","594","38202","7677","333","23.03",""
"48","","Final Fantasy XIV Online","328803780","26608740","94670","1828","30534","7621","616","12.36",""
"49","","Talk Shows & Podcasts","319692300","10042560","98184","521","22378","7410","232","31.83",""
"50","","Old School RuneScape","290455620","5855520","26311","227","6581","6732","135","49.6",""
"51","","Umamusume: Pretty Derby","270445740","1074540","75300","242","2705","6269","24","251.69",""
"52","","I'm Only Sleeping","267704520","5678820","21553","253","5673","6205","131","47.14",""
"53","","Ark: Survival Evolved","262474860","20907840","40675","1035","48441","6084","484","12.55",""
"54","","VRChat","260146500","6059520","58769","474","14861","6030","140","42.93",""
"55","","NBA 2K22","257221080","29091600","28565","1367","88293","5962","674","8.84",""
"56","","Retro","242724900","9167460","14442","347","11816","5626","212","26.48",""
"57","","Phasmophobia","240533880","16109580","97177","1369","66996","5575","373","14.93",""
"58","","Sea of Thieves","224351520","14963880","28986","686","39454","5200","346","14.99",""
"59","","Poker","216388800","3720840","26643","207","4149","5015","86","58.16",""
