"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","Fortnite","8676139560","458744340","576926","18000","930299","194619","10290","18.91",""
"2","","League of Legends","4925300340","86544180","504394","2820","140412","110482","1941","56.91",""
"3","","PUBG: BATTLEGROUNDS","2650302300","89848200","221743","3227","163947","59450","2015","29.5",""
"4","","IRL","2439916080","33517020","247304","1135","97063","54731","751","72.8",""
"5","","Dota 2","2343866160","25640460","363879","1210","33916","52576","575","91.41",""
"6","","Hearthstone","2023873500","12189180","95676","483","27186","45398","273","166.04",""
"7","","Overwatch","1889604000","57512520","201890","2982","135510","42386","1290","32.86",""
"8","","Counter-Strike: Global Offensive","1585767120","36747420","242438","1566","103243","35571","824","43.15",""
"9","","World of Warcraft","795041400","33935460","70073","2032","46595","17834","761","23.43",""
"10","","Grand Theft Auto V","700719780","18417420","76870","881","44093","15718","413","38.05",""
"11","","Detroit: Become Human","565958400","3794520","236767","856","16222","12695","85","149.15",""
"12","","Tom Clancy's Rainbow Six Siege","564808980","33236700","181907","1310","99068","12669","745","16.99",""
"13","","FIFA 18","427209420","10497780","87840","1216","36954","9582","235","40.7",""
"14","","Destiny 2","422112960","30846780","67071","4991","55443","9468","691","13.68",""
"15","","Talk Shows & Podcasts","373410180","2723040","167421","172","8767","8376","61","137.13",""
"16","","Dark Souls","359867760","6330300","103455","871","14997","8072","141","56.85",""
"17","","Conan Exiles","336097620","12081840","89655","712","17505","7539","271","27.82",""
"18","","Casino_old","292431180","1794000","28447","93","1265","6559","40","163.01",""
"19","","Dead by Daylight","292254540","14089080","34931","647","24224","6555","316","20.74",""
"20","","Poker","290247420","2551920","33916","153","2837","6510","57","113.74",""
"21","","Music","283278480","9025980","19525","268","9876","6354","202","31.38",""
"22","","RuneScape","274146300","6895800","20452","252","9852","6149","154","39.76",""
"23","","StarCraft II","261564540","4084020","22793","157","6744","5867","91","64.05",""
"24","","Creative","252881280","17315760","20131","624","32806","5672","388","14.6",""
"25","","Escape from Tarkov","241763100","9630120","23997","420","10592","5423","216","25.1",""
"26","","God of War","232671660","17245380","31601","1415","42225","5219","386","13.49",""
"27","","Heroes of the Storm","220958940","8396280","27139","303","14526","4956","188","26.32",""
"28","","Path of Exile","213414900","6245760","24215","904","7994","4787","140","34.17",""
"29","","Black Desert","211573740","8104800","9941","377","10135","4745","181","26.1",""
"30","","State of Decay 2","207823440","8028660","84104","1197","23308","4661","180","25.89",""
"31","","Magic: The Gathering","190003500","2947140","20167","128","4435","4262","66","64.47",""
"32","","Minecraft","184469580","12808020","16149","544","38700","4137","287","14.4",""
"33","","World of Tanks","176211120","6614880","17373","303","9769","3952","148","26.64",""
"34","","The Forest","158749260","5430600","44129","276","16054","3560","121","29.23",""
"35","","Bless Online","158368920","2593140","203056","1457","5705","3552","58","61.07",""
"36","","Stardew Valley","157582860","8733960","37846","479","22012","3534","195","18.04",""
"37","","Raft","154875120","2435400","136594","415","8531","3474","54","63.59",""
"38","","Always On","152458620","531120","14751","15","28","3419","11","287.05",""
"39","","Street Fighter V","143540040","1821900","62084","81","4190","3219","40","78.79",""
"40","","TrackMania 2: Stadium","141178260","490320","40190","47","1434","3166","10","287.93",""
"41","","Rocket League","134968980","12156240","56942","594","51573","3027","272","11.1",""
"42","","Wizard of Legend","132346440","1884180","63341","175","6830","2968","42","70.24",""
"43","","Call of Duty: WWII","131440140","5366160","55715","239","40170","2948","120","24.49",""
"44","","Super Smash Bros. Melee","129848940","888780","60376","54","2362","2912","19","146.1",""
"45","","DayZ","127926000","2237280","79522","198","4952","2869","50","57.18",""
"46","","SMITE","122945280","6789660","15719","294","14075","2757","152","18.11",""
"47","","Games + Demos","105790800","1432260","24684","65","4323","2373","32","73.86",""
"48","","Warcraft III","104416680","1708500","38924","70","1898","2342","38","61.12",""
"49","","Pillars of Eternity II: Deadfire","103881900","1553220","23893","275","2196","2330","34","66.88",""
"50","","NBA 2K18","100403820","6851880","17632","341","20414","2252","153","14.65",""
"51","","Dungeons & Dragons","95493120","2251500","45977","182","3304","2142","50","42.41",""
"52","","Slay the Spire","94785420","1725540","21509","81","5073","2126","38","54.93",""
"53","","The Elder Scrolls: Legends","93874320","839700","20355","38","801","2105","18","111.8",""
"54","","Z1: Battle Royale","93571140","5155500","51588","675","20111","2098","115","18.15",""
"55","","Sea of Thieves","89860500","6507060","51691","614","14657","2015","145","13.81",""
"56","","House Flipper","87722100","1334580","33266","147","4373","1967","29","65.73",""
"57","","Gwent: The Witcher Card Game","85550880","1209900","34742","61","1810","1919","27","70.71",""
"58","","Dragon Ball FighterZ","84651300","2011380","56869","201","8476","1898","45","42.09",""
"59","","Ark: Survival Evolved","83029500","6034140","9528","254","12129","1862","135","13.76",""
"60","","Rust","78647760","4072380","14839","260","8261","1764","91","19.31",""
"61","","The Binding of Isaac: Repentance","78345660","1658340","25617","89","5004","1757","37","47.24",""
"62","","Dark Souls III","77880840","5005380","18369","184","14232","1746","112","15.56",""
"63","","Tekken 7","77478000","1710960","37121","62","5599","1737","38","45.28",""
"64","","Retro","77373420","4088280","11897","156","4885","1735","91","18.93",""
"65","","VRChat","75454980","3579600","7115","171","5391","1692","80","21.08",""
"66","","Frostpunk","72453120","2042040","40514","264","6396","1625","45","35.48",""
"67","","Dauntless","67772820","5268540","40962","907","15625","1520","118","12.86",""
"68","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","66221400","2288460","5853","147","1756","1485","51","28.94",""
"69","","Warframe","63578700","6282120","32053","231","13656","1426","140","10.12",""
"70","","The Elder Scrolls Online","62284560","3523260","7061","174","6772","1397","79","17.68",""
