"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"79","","Warframe","25904520","4362420","30385","185","12764","581","97","5.94",""
"80","","Golf With Your Friends","25813740","579600","26068","45","3792","579","13","44.54",""
"81","","Blade & Soul","25327620","1738620","5444","75","2504","568","39","14.57",""
"82","","Necropolis","25174980","331140","55052","199","1335","564","7","76.03",""
"83","","Kerbal Space Program","24505260","795660","4592","52","2373","549","17","30.8",""
"84","","Super Mario Sunshine","23935740","209760","148484","18","512","536","4","114.11",""
"85","","Diablo III","23509380","1947840","16494","90","6030","527","43","12.07",""
"86","","World of Warships","23324340","1464780","1897","67","2878","523","32","15.92",""
"87","","Terraria","22375620","1815660","7328","87","6128","501","40","12.32",""
"88","","DNC 2016","21762120","21300","47549","24","59","488","0","1021.7",""
"89","","Summoners War: Sky Arena","21634980","554820","8944","33","703","485","12","38.99",""
"90","","Casino Games","21411000","239220","13718","19","313","480","5","89.5",""
"91","","Retro","21348720","951840","2345","42","1164","478","21","22.43",""
"92","","Team Fortress 2","21308940","1363500","4071","67","4810","477","30","15.63",""
"93","","Vainglory","21257340","402240","6518","23","577","476","9","52.85",""
"94","","The Culling","21242580","590160","6674","35","1325","476","13","35.99",""
"95","","Super Mario 64","20830680","543420","126229","134","1181","467","12","38.33",""
"96","","Call of Duty: Black Ops II","20634180","1902120","6355","87","4846","462","42","10.85",""
"97","","Super Mario Bros. 3","20400480","70620","150992","12","296","457","1","288.88",""
"98","","Total War: Warhammer","20081340","610380","13405","51","1227","450","13","32.9",""
"99","","Ragnarok Online","19445700","710700","6661","40","661","436","15","27.36",""
"100","","Subnautica","19320240","847620","19531","62","2860","433","19","22.79",""
