"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","League of Legends","4971161580","70758840","489683","2540","97370","115233","1640","70.25",""
"2","","Hearthstone","3203440980","13325760","277440","843","26529","74256","308","240.39",""
"3","","Dota 2","2942440020","17054340","671452","923","21427","68206","395","172.53",""
"4","","PUBG: BATTLEGROUNDS","2774355660","50449620","143613","2120","64430","64310","1169","54.99",""
"5","","Counter-Strike: Global Offensive","2194155600","37834620","417435","1805","82803","50861","877","57.99",""
"6","","Overwatch","1272001260","51478440","123529","2814","99965","29485","1193","24.71",""
"7","","Grand Theft Auto V","925729620","16568220","146629","831","43573","21458","384","55.87",""
"8","","IRL","642623100","7604100","58627","299","20962","14896","176","84.51",""
"9","","World of Warcraft","549352680","26209680","39841","1524","32234","12734","607","20.96",""
"10","","Destiny","467463780","56657760","24898","2872","63558","10835","1313","8.25",""
"11","","Z1: Battle Royale","466886400","20562300","42479","896","30682","10822","476","22.71",""
"12","","Casino_old","433605180","840240","23429","49","608","10051","19","516.05",""
"13","","Minecraft","390526320","15800220","55946","790","37623","9052","366","24.72",""
"14","","FIFA 17","382990500","9189000","57931","515","22377","8877","213","41.68",""
"15","","Heroes of the Storm","348645480","8299620","126179","718","15250","8081","192","42.01",""
"16","","Talk Shows & Podcasts","323356980","3458760","85506","185","10493","7495","80","93.49",""
"17","","RuneScape","298393440","5433180","32124","212","8119","6916","125","54.92",""
"18","","Creative","281383620","12948960","24435","561","22295","6522","300","21.73",""
"19","","Outlast 2","279800160","4847400","212319","1589","18779","6485","112","57.72",""
"20","","SMITE","258501060","6668280","38214","298","11834","5992","154","38.77",""
"21","","World of Tanks","241986180","7097340","46388","355","9385","5609","164","34.1",""
"22","","Tom Clancy's Rainbow Six Siege","233810640","20112960","22865","998","44700","5419","466","11.62",""
"23","","StarCraft II","231936540","3063420","37126","118","4442","5376","71","75.71",""
"24","","Dark Souls III","229684500","10496580","23436","584","22938","5324","243","21.88",""
"25","","Path of Exile","188423220","4959180","18980","204","5135","4367","114","37.99",""
"26","","Poker","183211860","2156400","22335","173","2136","4246","49","84.96",""
"27","","Rocket League","172162620","8560740","43757","372","28463","3990","198","20.11",""
"28","","Arma 3","170330400","5238420","23933","317","7286","3948","121","32.52",""
"29","","Persona 5","168477480","4309860","45615","488","5925","3905","99","39.09",""
"30","","Street Fighter V","153381480","1830780","51127","91","3898","3555","42","83.78",""
"31","","NBA 2K17","136473540","10293840","20169","607","23345","3163","238","13.26",""
"32","","Clash Royale","136406100","1633380","29908","84","4107","3161","37","83.51",""
"33","","Diablo III","123695760","8879460","38210","1165","14451","2867","205","13.93",""
"34","","Dead by Daylight","112391940","5090460","8590","237","6398","2605","117","22.08",""
"35","","Magic: The Gathering","109250040","1013340","17783","74","1097","2532","23","107.81",""
"36","","The Legend of Zelda: Breath of the Wild","108912960","3488040","18123","210","4928","2524","80","31.22",""
"37","","Black Desert","103101540","4040400","11246","145","3909","2389","93","25.52",""
"38","","Super Smash Bros. Melee","82284600","789720","43381","58","1961","1907","18","104.19",""
"39","","Call of Duty: Infinite Warfare","82015020","8890440","10074","404","21173","1901","206","9.23",""
"40","","Rust","80713200","3684180","48109","268","6132","1870","85","21.91",""
"41","","Call of Duty: Black Ops II","66942000","3300240","19496","278","7844","1551","76","20.28",""
"42","","Super Smash Bros. for Wii U","64588800","925560","32095","66","1692","1497","21","69.78",""
"43","","Ark: Survival Evolved","64239960","6261360","4114","274","10138","1489","145","10.26",""
"44","","For Honor","63418080","3278580","6943","171","8256","1470","75","19.34",""
"45","","Lineage II: The Chaotic Throne - The 1st Throne: The Kamael","57004140","1772700","6381","97","1301","1321","41","32.16",""
"46","","Mario Kart 8","55838700","888300","59013","377","3263","1294","20","62.86",""
"47","","Call of Duty: Black Ops III","55614840","11848620","4935","576","32920","1289","274","4.69",""
"48","","Call of Duty: Modern Warfare Remastered","54637140","4761000","16519","444","15026","1266","110","11.48",""
"49","","Gears of War 4","53455260","2149800","42896","129","4546","1239","49","24.87",""
"50","","Dungeons & Dragons","53293980","1031340","30143","94","1591","1235","23","51.67",""
"51","","Super Mario Maker","53093220","715440","5902","38","761","1230","16","74.21",""
"52","","NieR: Automata","52326900","1920960","22184","134","7137","1212","44","27.24",""
"53","","Music","51907380","2069700","5972","95","3885","1203","47","25.08",""
"54","","The Binding of Isaac: Repentance","51814500","1178640","8581","57","2732","1201","27","43.96",""
"55","","Pokémon Sun/Moon","51537180","1538160","5201","74","1527","1194","35","33.51",""
"56","","Battlefield 1","49438740","7640700","12837","371","21787","1146","177","6.47",""
"57","","Dark Souls","48211680","1833060","13792","93","3832","1117","42","26.3",""
"58","","Warcraft III","48006000","1137720","7194","56","1082","1112","26","42.19",""
"59","","Warhammer 40,000: Dawn of War III","45184200","760140","28233","249","2077","1047","17","59.44",""
"60","","Tibia","42427620","1439520","10898","69","1512","983","33","29.47",""
"61","","Paladins","42378420","3402900","8953","154","8723","982","78","12.45",""
"62","","StarCraft: Brood War","41929200","878100","9538","48","1538","971","20","47.75",""
"63","","Summoners War: Sky Arena","41768340","950340","3594","58","959","968","22","43.95",""
"64","","World of Warships","40975860","1852500","7355","90","2652","949","42","22.12",""
"65","","Yooka-Laylee","40340640","1656060","36126","413","4491","935","38","24.36",""
"66","","Halo 5: Guardians","39688020","2803260","6927","174","5299","919","64","14.16",""
"67","","The Witcher 3: Wild Hunt","38692740","2319540","13279","116","5066","896","53","16.68",""
"68","","MLB The Show 17","38612340","888300","9944","65","4267","895","20","43.47",""
"69","","Little Nightmares","37436580","690780","52331","329","4231","867","16","54.19",""
"70","","Mass Effect: Andromeda","36903960","3706980","8865","275","5969","855","85","9.96",""
"71","","Paragon","35827920","3847020","3511","173","5340","830","89","9.31",""
"72","","Shadowverse","35732700","812460","25570","48","1280","828","18","43.98",""
"73","","Madden NFL 17","35560140","6199740","19591","428","13382","824","143","5.74",""
"74","","Deceit","34786260","411780","10251","30","848","806","9","84.48",""
"75","","Domina","33698280","288060","34274","29","835","781","6","116.98",""
"76","","Retro","32516220","1852140","2933","75","2021","753","42","17.56",""
"77","","osu!","32338680","4256040","15398","205","12966","749","98","7.6",""
"78","","The Legend of Zelda: A Link to the Past","31519800","806880","3911","89","962","730","18","39.06",""
"79","","Blade & Soul","31289640","2088480","10498","108","2190","725","48","14.98",""
"80","","Bloodborne","30030900","2195700","4478","98","5244","696","50","13.68",""
"81","","Borderlands 2","29736540","1704360","5112","85","3437","689","39","17.45",""
"82","","Tom Clancy's The Division","28941840","4281180","2387","207","6782","670","99","6.76",""
"83","","Welcome to the Game","28627140","101460","28533","17","549","663","2","282.15",""
"84","","Final Fantasy XIV: Heavensward","28559280","2799660","14414","139","5625","662","64","10.2",""
"85","","Gwent: The Witcher Card Game","28090740","845160","4536","45","1493","651","19","33.24",""
"86","","Warframe","26377200","3745560","13658","151","7188","611","86","7.04",""
"87","","Garry's Mod","26172720","1173780","17638","80","4219","606","27","22.3",""
"88","","Stellaris","25961220","859440","4579","68","1389","601","19","30.21",""
"89","","Kingdom Hearts HD 1.5 + 2.5 ReMIX","24935700","1431480","2289","104","2025","578","33","17.42",""
"90","","The Elder Scrolls Online","24329220","2843520","2184","149","5976","563","65","8.56",""
"91","","The Legend of Zelda: Ocarina of Time","24277800","499260","3996","34","829","562","11","48.63",""
"92","","Super Mario 64","24222960","663960","5543","37","1103","561","15","36.48",""
"93","","I Wanna Be The Boshy","24192060","84240","15049","11","261","560","1","287.18",""
"94","","Bayonetta","23810160","556020","24966","71","1909","551","12","42.82",""
"95","","Outlast","22741260","1095000","13352","96","6070","527","25","20.77",""
"96","","Yakuza 0","22671240","324120","10737","18","616","525","7","69.95",""
"97","","Darkest Dungeon","22284780","659220","10589","39","1402","516","15","33.8",""
"98","","Escape from Tarkov","22077120","900660","11416","56","965","511","20","24.51",""
"99","","Games + Demos","21745800","506220","9756","28","1391","504","11","42.96",""
"100","","Vainglory","21429120","400680","8390","21","507","496","9","53.48",""
